acc_x[mg],acc_y[mg],acc_z[mg]
54.656,819.84,513.376
37.088,823.744,556.32
52.704,819.84,540.704
35.136,829.6,530.944
44.896,825.696,525.088
37.088,831.552,532.896
44.896,821.792,525.088
39.04,829.6,519.232
39.04,827.648,538.752
52.704,817.888,521.184
33.184,833.504,528.992
42.944,831.552,534.848
50.752,851.072,532.896
37.088,833.504,542.656
54.656,813.984,499.712
76.128,837.408,493.856
81.984,841.312,521.184
81.984,815.936,532.896
85.888,835.456,566.08
72.224,800.32,556.32
42.944,817.888,460.672
29.28,853.024,505.568
95.648,788.608,419.68
21.472,1073.6,560.224
78.08,767.136,472.384
99.552,776.896,589.504
93.696,827.648,519.232
48.8,931.104,515.328
126.88,698.816,540.704
56.608,1034.56,407.968
214.72,864.736,517.28
286.944,800.32,530.944
316.224,798.368,308.416
402.112,712.48,406.016
585.6,671.488,433.344
624.64,663.68,447.008
745.664,501.664,345.504
743.712,427.488,404.064
946.72,324.032,267.424
864.736,269.376,273.28
1015.04,181.536,76.128
1044.32,128.832,103.456
1016.992,111.264,66.368
1036.512,80.032,56.608
1020.896,56.608,21.472
1024.8,17.568,40.992
1036.512,-3.904,3.904
1042.368,-23.424,-11.712
1057.984,-40.992,15.616
1007.232,-19.52,-40.992
1040.416,-44.896,17.568
1032.608,-23.424,13.664
1028.704,-27.328,7.808
1026.752,-33.184,17.568
1003.328,-33.184,3.904
1018.944,-31.232,0.0
1038.464,-35.136,3.904
1015.04,-25.376,3.904
1020.896,-31.232,15.616
1022.848,-25.376,13.664
1038.464,-37.088,17.568
1022.848,-21.472,27.328
1022.848,-31.232,23.424
1022.848,-27.328,3.904
1026.752,-31.232,19.52
1016.992,-25.376,13.664
1022.848,-23.424,23.424
1026.752,-21.472,15.616
1022.848,-17.568,35.136
1022.848,-19.52,35.136
1016.992,-13.664,21.472
1018.944,-17.568,31.232
1018.944,-17.568,25.376
1018.944,-13.664,21.472
1009.184,-9.76,29.28
1016.992,-25.376,29.28
1015.04,-11.712,37.088
1020.896,-15.616,46.848
1024.8,-13.664,48.8
1026.752,-11.712,50.752
1018.944,-11.712,48.8
1024.8,-7.808,58.56
1020.896,-13.664,44.896
1032.608,-17.568,72.224
1015.04,-9.76,60.512
1011.136,-9.76,81.984
1026.752,-17.568,93.696
1011.136,-11.712,107.36
1001.376,-9.76,91.744
1018.944,-13.664,105.408
1013.088,-17.568,115.168
1016.992,-25.376,115.168
1026.752,-23.424,134.688
1007.232,-21.472,124.928
1022.848,-25.376,146.4
1022.848,-29.28,136.64
1009.184,-27.328,134.688
1016.992,-33.184,132.736
1015.04,-27.328,130.784
1009.184,-23.424,130.784
1016.992,-13.664,126.88
1030.656,-19.52,138.592
1038.464,-5.856,134.688
1034.56,17.568,144.448
1046.272,44.896,156.16
993.568,89.792,183.488
1057.984,105.408,199.104
931.104,169.824,183.488
995.52,210.816,216.672
977.952,257.664,203.008
858.88,310.368,230.336
894.016,413.824,296.704
851.072,425.536,302.56
808.128,499.712,318.176
751.52,538.752,324.032
712.48,599.264,335.744
694.912,642.208,349.408
659.776,644.16,386.496
622.688,700.768,361.12
581.696,720.288,308.416
482.144,743.712,433.344
464.576,747.616,450.912
488.0,759.328,335.744
341.6,810.08,511.424
335.744,802.272,433.344
279.136,837.408,427.488
189.344,886.208,452.864
173.728,868.64,425.536
158.112,854.976,443.104
99.552,858.88,468.48
103.456,870.592,517.28
105.408,862.784,431.392
72.224,837.408,488.0
37.088,858.88,505.568
74.176,925.248,433.344
1.952,897.92,527.04
91.744,862.784,472.384
58.56,862.784,530.944
89.792,864.736,499.712
83.936,845.216,447.008
89.792,843.264,437.248
80.032,851.072,474.336
105.408,837.408,472.384
105.408,845.216,448.96
103.456,835.456,466.528
93.696,868.64,462.624
103.456,847.168,478.24
70.272,876.448,470.432
50.752,872.544,454.816
33.184,878.4,470.432
81.984,843.264,437.248
89.792,853.024,464.576
105.408,858.88,466.528
78.08,853.024,499.712
91.744,843.264,488.0
85.888,839.36,466.528
91.744,837.408,466.528
89.792,847.168,478.24
93.696,854.976,482.144
89.792,864.736,480.192
115.168,843.264,486.048
115.168,849.12,486.048
115.168,856.928,480.192
109.312,858.88,501.664
113.216,847.168,501.664
119.072,839.36,480.192
119.072,845.216,470.432
107.36,849.12,488.0
109.312,849.12,489.952
107.36,853.024,484.096
101.504,849.12,480.192
103.456,847.168,478.24
109.312,849.12,478.24
99.552,851.072,495.808
