acc_x[mg],acc_y[mg],acc_z[mg]
66.368,716.384,689.056
48.8,737.856,661.728
72.224,730.048,681.248
62.464,726.144,679.296
64.416,728.096,669.536
76.128,714.432,671.488
72.224,714.432,683.2
72.224,714.432,681.248
66.368,722.24,675.392
68.32,720.288,675.392
80.032,720.288,671.488
58.56,726.144,692.96
68.32,722.24,671.488
70.272,724.192,661.728
46.848,733.952,689.056
87.84,716.384,667.584
54.656,732.0,671.488
83.936,720.288,683.2
56.608,730.048,661.728
58.56,739.808,661.728
70.272,745.664,644.16
89.792,761.28,599.264
52.704,780.8,642.208
80.032,802.272,609.024
93.696,810.08,509.472
85.888,837.408,486.048
31.232,856.928,495.808
70.272,788.608,462.624
17.568,876.448,431.392
-76.128,853.024,472.384
-113.216,925.248,400.16
-206.912,851.072,257.664
-331.84,730.048,378.688
-396.256,718.336,261.568
-372.832,782.752,302.56
-560.224,534.848,294.752
-470.432,845.216,156.16
-700.768,671.488,245.952
-769.088,515.328,267.424
-825.696,495.808,269.376
-763.232,378.688,304.512
-935.008,417.728,306.464
-872.544,298.656,122.976
-882.304,224.48,290.848
-897.92,181.536,294.752
-944.768,195.2,279.136
-954.528,175.68,257.664
-915.488,126.88,218.624
-892.064,111.264,234.24
-989.664,183.488,214.72
-868.64,126.88,197.152
-976.0,56.608,167.872
-985.76,101.504,185.44
-972.096,66.368,160.064
-899.872,35.136,136.64
-976.0,113.216,150.304
-938.912,29.28,140.544
-946.72,17.568,103.456
-944.768,72.224,103.456
-977.952,21.472,146.4
-927.2,27.328,101.504
-960.384,48.8,89.792
-954.528,11.712,121.024
-958.432,25.376,124.928
-935.008,35.136,99.552
-923.296,11.712,136.64
-954.528,40.992,117.12
-935.008,13.664,122.976
-940.864,31.232,93.696
-960.384,23.424,117.12
-974.048,9.76,107.36
-940.864,27.328,89.792
-966.24,17.568,97.6
-940.864,11.712,115.168
-954.528,31.232,97.6
-960.384,3.904,113.216
-950.624,13.664,78.08
-942.816,21.472,81.984
-954.528,25.376,101.504
-954.528,3.904,105.408
-956.48,29.28,107.36
-956.48,25.376,105.408
-935.008,19.52,107.36
-954.528,19.52,103.456
-962.336,27.328,99.552
-940.864,5.856,109.312
-960.384,21.472,99.552
-935.008,13.664,103.456
-952.576,19.52,107.36
-956.48,23.424,105.408
-948.672,9.76,103.456
-979.904,25.376,121.024
-929.152,25.376,111.264
-970.144,19.52,113.216
-976.0,68.32,121.024
-976.0,68.32,169.824
-942.816,74.176,187.392
-954.528,144.448,165.92
-1018.944,171.776,177.632
-1001.376,189.344,181.536
-993.568,204.96,181.536
-993.568,279.136,238.144
-860.832,286.944,201.056
-903.776,363.072,267.424
-794.464,404.064,304.512
-757.376,486.048,253.76
-774.944,546.56,394.304
-579.744,554.368,296.704
-648.064,642.208,335.744
-552.416,683.2,378.688
-521.184,708.576,359.168
-376.736,784.704,294.752
-318.176,732.0,398.208
-199.104,763.232,363.072
-220.576,794.464,411.872
-169.824,847.168,390.4
-132.736,831.552,437.248
-121.024,831.552,415.776
-97.6,845.216,429.44
-101.504,882.304,409.92
-40.992,856.928,437.248
-19.52,874.496,413.824
-50.752,888.16,429.44
29.28,839.36,454.816
54.656,827.648,468.48
27.328,856.928,493.856
99.552,817.888,491.904
39.04,837.408,544.608
52.704,831.552,521.184
80.032,827.648,536.8
81.984,800.32,577.792
119.072,792.512,569.984
126.88,813.984,528.992
122.976,810.08,589.504
163.968,794.464,562.176
134.688,810.08,583.648
111.264,810.08,583.648
150.304,796.416,554.368
132.736,790.56,568.032
111.264,800.32,568.032
138.592,786.656,554.368
142.496,786.656,575.84
140.544,794.464,554.368
130.784,800.32,552.416
101.504,806.176,589.504
132.736,796.416,566.08
121.024,804.224,560.224
121.024,804.224,550.464
119.072,800.32,558.272
121.024,800.32,564.128
117.12,810.08,554.368
101.504,808.128,558.272
105.408,810.08,542.656
97.6,808.128,548.512
103.456,806.176,542.656
101.504,804.224,560.224
89.792,808.128,550.464
93.696,817.888,540.704
76.128,817.888,560.224
103.456,806.176,552.416
95.648,808.128,544.608
95.648,808.128,552.416
97.6,810.08,536.8
101.504,808.128,546.56
83.936,819.84,550.464
85.888,810.08,558.272
78.08,815.936,556.32
