acc_x[mg],acc_y[mg],acc_z[mg]
17.568,-7.808,1013.088
7.808,1.952,1013.088
15.616,0.0,1003.328
21.472,0.0,999.424
21.472,-15.616,1020.896
17.568,0.0,993.568
19.52,0.0,1003.328
21.472,1.952,1015.04
46.848,-13.664,997.472
37.088,-3.904,999.424
27.328,0.0,1016.992
27.328,5.856,999.424
31.232,1.952,1015.04
39.04,-7.808,1007.232
21.472,9.76,1003.328
33.184,-1.952,1003.328
40.992,3.904,1005.28
33.184,5.856,1013.088
40.992,5.856,1009.184
15.616,17.568,1042.368
17.568,-13.664,1110.688
78.08,66.368,1026.752
29.28,101.504,1046.272
-56.608,210.816,1136.064
-29.28,372.832,911.584
-124.928,466.528,1011.136
-64.416,468.48,944.768
44.896,501.664,812.032
15.616,585.6,927.2
140.544,632.448,536.8
-15.616,735.904,810.08
105.408,741.76,558.272
208.864,769.088,363.072
15.616,882.304,335.744
29.28,931.104,206.912
111.264,905.728,130.784
72.224,892.064,25.376
25.376,938.912,48.8
44.896,962.336,-85.888
81.984,907.68,13.664
19.52,974.048,-83.936
42.944,958.432,-72.224
105.408,929.152,-40.992
40.992,987.712,-80.032
72.224,958.432,-50.752
85.888,940.864,-56.608
74.176,977.952,-60.512
62.464,968.192,-66.368
68.32,981.856,-56.608
68.32,962.336,-37.088
56.608,966.24,-15.616
72.224,968.192,-42.944
44.896,966.24,-21.472
68.32,950.624,-39.04
56.608,972.096,-9.76
48.8,970.144,-31.232
76.128,948.672,-15.616
52.704,977.952,-3.904
66.368,966.24,-29.28
60.512,968.192,-17.568
66.368,968.192,-39.04
60.512,958.432,-3.904
48.8,974.048,-33.184
64.416,956.48,-7.808
40.992,972.096,-19.52
52.704,974.048,-13.664
72.224,958.432,-13.664
66.368,972.096,0.0
54.656,976.0,-3.904
66.368,970.144,-15.616
50.752,966.24,-7.808
52.704,970.144,-5.856
68.32,970.144,-19.52
58.56,960.384,-21.472
44.896,964.288,-15.616
58.56,968.192,-1.952
50.752,974.048,-1.952
52.704,964.288,-21.472
48.8,964.288,-11.712
62.464,964.288,-3.904
44.896,976.0,-3.904
58.56,966.24,1.952
50.752,972.096,-5.856
44.896,962.336,-11.712
52.704,964.288,-5.856
56.608,966.24,-5.856
46.848,974.048,-1.952
48.8,972.096,-1.952
50.752,970.144,0.0
60.512,972.096,-5.856
48.8,968.192,0.0
50.752,968.192,-13.664
44.896,956.48,-15.616
62.464,950.624,11.712
44.896,976.0,11.712
48.8,972.096,17.568
58.56,958.432,11.712
68.32,966.24,40.992
46.848,995.52,-21.472
31.232,954.528,-9.76
91.744,950.624,27.328
81.984,866.688,15.616
80.032,858.88,242.048
40.992,903.776,228.384
29.28,821.792,407.968
95.648,784.704,507.52
107.36,653.92,702.72
132.736,607.072,835.456
124.928,614.88,810.08
119.072,523.136,897.92
89.792,548.512,909.632
23.424,542.656,927.2
93.696,480.192,944.768
19.52,534.848,903.776
52.704,509.472,892.064
35.136,523.136,856.928
19.52,515.328,876.448
44.896,505.568,851.072
25.376,527.04,854.976
11.712,527.04,882.304
37.088,523.136,823.744
29.28,523.136,858.88
35.136,521.184,837.408
37.088,523.136,845.216
40.992,521.184,862.784
52.704,517.28,864.736
40.992,521.184,829.6
37.088,523.136,845.216
39.04,530.944,856.928
60.512,528.992,839.36
50.752,532.896,849.12
50.752,525.088,854.976
56.608,519.232,841.312
62.464,519.232,851.072
58.56,523.136,841.312
62.464,519.232,847.168
66.368,517.28,843.264
62.464,527.04,835.456
62.464,519.232,849.12
58.56,532.896,835.456
74.176,525.088,853.024
68.32,527.04,843.264
70.272,525.088,841.312
70.272,521.184,854.976
80.032,521.184,845.216
