acc_x[mg],acc_y[mg],acc_z[mg]
-60.512,599.264,671.488
11.712,646.112,733.952
13.664,648.064,778.848
5.856,692.96,935.008
46.848,702.72,839.36
1.952,706.624,823.744
-50.752,663.68,845.216
-9.76,691.008,755.424
-50.752,702.72,714.432
-83.936,726.144,712.48
-163.968,657.824,597.312
-99.552,681.248,571.936
-240.096,655.872,614.88
-203.008,636.352,486.048
-249.856,618.784,548.512
-339.648,632.448,659.776
-279.136,655.872,663.68
-251.808,677.344,726.144
-251.808,673.44,714.432
-275.232,681.248,683.2
-273.28,685.152,655.872
-240.096,677.344,624.64
-294.752,675.392,675.392
-312.32,677.344,607.072
-265.472,646.112,546.56
-292.8,618.784,486.048
-232.288,511.424,294.752
17.568,491.904,665.632
-72.224,515.328,944.768
-148.352,437.248,858.88
60.512,476.288,1264.896
-23.424,372.832,913.536
80.032,216.672,813.984
52.704,249.856,1481.568
81.984,81.984,782.752
-19.52,171.776,1788.032
-13.664,128.832,923.296
-21.472,74.176,993.568
-44.896,3.904,993.568
-52.704,-78.08,1110.688
-95.648,-195.2,1069.696
66.368,9.76,942.816
33.184,0.0,983.808
21.472,-3.904,1016.992
21.472,-3.904,995.52
23.424,-3.904,1003.328
19.52,-3.904,1001.376
21.472,-1.952,1001.376
23.424,0.0,1003.328
19.52,0.0,1003.328
23.424,-1.952,1003.328
25.376,-1.952,1003.328
23.424,0.0,999.424
19.52,-1.952,1003.328
23.424,0.0,1003.328
21.472,-3.904,1001.376
19.52,0.0,1005.28
23.424,-3.904,1003.328
19.52,0.0,1003.328
21.472,0.0,1001.376
23.424,-3.904,1001.376
21.472,-5.856,1003.328
21.472,0.0,1001.376
25.376,0.0,1003.328
21.472,-1.952,1001.376
21.472,-1.952,1007.232
23.424,-3.904,1001.376
21.472,-1.952,999.424
23.424,-3.904,1007.232
23.424,0.0,1001.376
23.424,-3.904,1003.328
21.472,-1.952,1003.328
21.472,0.0,1005.28
25.376,-1.952,1007.232
21.472,0.0,1005.28
25.376,-1.952,1003.328
23.424,0.0,1005.28
23.424,-3.904,1005.28
27.328,-3.904,1005.28
25.376,-3.904,1003.328
23.424,0.0,1005.28
23.424,-1.952,1005.28
21.472,-3.904,1005.28
23.424,0.0,1005.28
21.472,-1.952,1003.328
27.328,0.0,1001.376
23.424,-3.904,1003.328
21.472,-3.904,1005.28
25.376,-1.952,1003.328
23.424,-1.952,1001.376
23.424,-1.952,1001.376
23.424,-1.952,1003.328
25.376,0.0,1001.376
21.472,0.0,1003.328
23.424,0.0,1007.232
25.376,-3.904,1005.28
27.328,-3.904,1007.232
21.472,0.0,1003.328
23.424,0.0,1005.28
23.424,0.0,1005.28
23.424,0.0,1003.328
21.472,-3.904,1003.328
25.376,-3.904,1003.328
21.472,0.0,1005.28
25.376,-3.904,1005.28
19.52,-1.952,1003.328
23.424,-1.952,1005.28
27.328,-3.904,1001.376
21.472,-3.904,1001.376
23.424,0.0,1005.28
19.52,0.0,1005.28
23.424,-1.952,1005.28
21.472,0.0,1003.328
21.472,-3.904,1005.28
23.424,-1.952,1001.376
23.424,-1.952,1005.28
21.472,0.0,1005.28
7.808,42.944,997.472
-44.896,-3.904,1081.408
111.264,-9.76,993.568
199.104,113.216,1024.8
117.12,17.568,1262.944
187.392,220.576,1460.096
99.552,232.288,798.368
-91.744,419.68,907.68
-130.784,327.936,946.72
-117.12,447.008,591.456
-146.4,478.24,739.808
-197.152,495.808,689.056
-134.688,540.704,571.936
-107.36,556.32,700.768
-109.312,575.84,741.76
-103.456,595.36,753.472
-89.792,612.928,796.416
-50.752,607.072,782.752
-66.368,595.36,765.184
-81.984,587.552,763.232
-80.032,599.264,767.136
-95.648,605.12,790.56
-81.984,605.12,765.184
-52.704,609.024,771.04
-39.04,607.072,757.376
-50.752,607.072,772.992
-62.464,612.928,792.512
-64.416,603.168,800.32
-66.368,609.024,804.224
-58.56,595.36,765.184
-62.464,599.264,786.656
-74.176,591.456,794.464
-70.272,591.456,784.704
-52.704,589.504,780.8
-40.992,595.36,786.656
-56.608,597.312,792.512
-46.848,597.312,796.416
-50.752,583.648,798.368
-54.656,589.504,800.32
-60.512,593.408,815.936
-62.464,591.456,790.56
-46.848,583.648,796.416
-46.848,585.6,812.032
-44.896,577.792,772.992
-46.848,585.6,808.128
-39.04,589.504,806.176
-46.848,581.696,800.32
-40.992,587.552,800.32
-52.704,589.504,806.176
