acc_x[mg],acc_y[mg],acc_z[mg]
29.28,35.136,991.616
35.136,31.232,1003.328
39.04,23.424,1013.088
48.8,27.328,999.424
39.04,31.232,1003.328
48.8,27.328,1011.136
46.848,35.136,999.424
35.136,39.04,1001.376
48.8,35.136,991.616
54.656,35.136,987.712
50.752,31.232,997.472
42.944,29.28,1009.184
44.896,27.328,1026.752
40.992,29.28,1024.8
60.512,27.328,1013.088
35.136,60.512,985.76
54.656,48.8,995.52
25.376,66.368,1009.184
64.416,56.608,1016.992
39.04,81.984,1030.656
60.512,76.128,1015.04
52.704,111.264,1013.088
23.424,144.448,1036.512
40.992,173.728,974.048
0.0,175.68,1075.552
31.232,259.616,927.2
68.32,267.424,964.288
89.792,298.656,936.96
3.904,363.072,991.616
134.688,382.592,835.456
1.952,433.344,1026.752
66.368,528.992,796.416
89.792,544.608,817.888
19.52,714.432,704.672
95.648,669.536,657.824
95.648,714.432,595.36
52.704,772.992,575.84
85.888,761.28,577.792
83.936,827.648,521.184
111.264,878.4,415.776
146.4,856.928,365.024
130.784,880.352,359.168
74.176,907.68,357.216
117.12,895.968,374.784
66.368,950.624,269.376
119.072,905.728,251.808
76.128,952.576,240.096
58.56,966.24,160.064
70.272,960.384,177.632
66.368,964.288,148.352
83.936,946.72,99.552
80.032,950.624,111.264
93.696,921.344,179.584
70.272,964.288,148.352
83.936,956.48,144.448
50.752,977.952,128.832
66.368,948.672,171.776
83.936,960.384,152.256
64.416,966.24,146.4
87.84,950.624,152.256
39.04,976.0,126.88
83.936,936.96,138.592
52.704,966.24,126.88
66.368,956.48,115.168
46.848,960.384,148.352
91.744,956.48,132.736
52.704,977.952,126.88
66.368,948.672,140.544
78.08,954.528,126.88
78.08,964.288,109.312
50.752,966.24,140.544
64.416,956.48,146.4
64.416,956.48,124.928
66.368,962.336,111.264
68.32,962.336,144.448
80.032,956.48,134.688
40.992,979.904,115.168
72.224,950.624,142.496
54.656,966.24,122.976
64.416,960.384,121.024
70.272,950.624,121.024
56.608,966.24,122.976
81.984,954.528,113.216
50.752,972.096,124.928
62.464,964.288,119.072
66.368,956.48,115.168
58.56,964.288,124.928
70.272,960.384,134.688
56.608,968.192,95.648
62.464,960.384,101.504
62.464,956.48,124.928
56.608,960.384,124.928
58.56,970.144,109.312
68.32,958.432,130.784
50.752,966.24,115.168
72.224,950.624,130.784
62.464,968.192,111.264
48.8,966.24,126.88
70.272,958.432,101.504
58.56,962.336,103.456
68.32,960.384,109.312
46.848,974.048,107.36
72.224,964.288,97.6
72.224,958.432,105.408
37.088,981.856,91.744
72.224,956.48,103.456
48.8,970.144,83.936
52.704,968.192,89.792
52.704,983.808,70.272
70.272,964.288,74.176
60.512,976.0,21.472
85.888,964.288,15.616
60.512,972.096,25.376
64.416,968.192,-17.568
74.176,958.432,-37.088
74.176,962.336,-70.272
107.36,950.624,-136.64
70.272,981.856,-111.264
78.08,952.576,-138.592
74.176,950.624,-119.072
91.744,940.864,-146.4
81.984,948.672,-173.728
105.408,936.96,-156.16
70.272,958.432,-183.488
91.744,938.912,-199.104
85.888,942.816,-204.96
78.08,938.912,-222.528
74.176,942.816,-210.816
97.6,931.104,-261.568
103.456,931.104,-257.664
97.6,919.392,-288.896
89.792,917.44,-279.136
83.936,927.2,-284.992
107.36,921.344,-286.944
76.128,940.864,-286.944
101.504,923.296,-283.04
101.504,919.392,-284.992
81.984,923.296,-267.424
91.744,917.44,-308.416
70.272,925.248,-275.232
81.984,923.296,-281.088
89.792,911.584,-292.8
68.32,931.104,-275.232
93.696,921.344,-288.896
72.224,931.104,-277.184
91.744,935.008,-267.424
81.984,940.864,-267.424
95.648,923.296,-283.04
80.032,927.2,-275.232
87.84,911.584,-265.472
64.416,927.2,-277.184
68.32,929.152,-277.184
70.272,919.392,-267.424
83.936,917.44,-283.04
83.936,927.2,-290.848
78.08,935.008,-271.328
76.128,919.392,-286.944
81.984,919.392,-271.328
80.032,925.248,-275.232
74.176,929.152,-283.04
80.032,925.248,-271.328
