acc_x[mg],acc_y[mg],acc_z[mg]
54.656,-25.376,1007.232
19.52,-13.664,1016.992
21.472,-17.568,1007.232
44.896,-13.664,999.424
29.28,-11.712,999.424
19.52,-15.616,1007.232
29.28,-3.904,995.52
33.184,-13.664,1003.328
35.136,-17.568,1009.184
29.28,0.0,999.424
56.608,-19.52,1003.328
42.944,-11.712,1001.376
35.136,-11.712,1013.088
35.136,-17.568,1011.136
37.088,-9.76,1003.328
52.704,-11.712,997.472
23.424,-5.856,1022.848
52.704,-31.232,1007.232
42.944,-19.52,1007.232
46.848,-27.328,1009.184
44.896,-9.76,995.52
46.848,-7.808,995.52
27.328,0.0,1001.376
54.656,-7.808,1015.04
50.752,-7.808,1009.184
40.992,-3.904,1003.328
50.752,1.952,995.52
62.464,-5.856,985.76
44.896,-7.808,1001.376
33.184,-1.952,1007.232
35.136,-1.952,1009.184
48.8,-17.568,1030.656
52.704,-11.712,1034.56
40.992,-11.712,1204.384
-35.136,78.08,1036.512
33.184,89.792,1015.04
25.376,191.296,981.856
46.848,216.672,977.952
33.184,269.376,1011.136
91.744,298.656,985.76
124.928,392.352,876.448
138.592,528.992,747.616
91.744,636.352,642.208
111.264,638.304,609.024
126.88,706.624,527.04
111.264,677.344,599.264
97.6,761.28,556.32
19.52,784.704,659.776
81.984,776.896,607.072
62.464,821.792,562.176
39.04,829.6,575.84
54.656,845.216,499.712
42.944,874.496,445.056
89.792,841.312,437.248
76.128,853.024,427.488
87.84,872.544,406.016
60.512,864.736,439.2
85.888,854.976,443.104
72.224,882.304,413.824
64.416,858.88,468.48
52.704,880.352,431.392
48.8,876.448,447.008
87.84,864.736,435.296
46.848,884.256,450.912
68.32,870.592,441.152
78.08,860.832,452.864
64.416,878.4,435.296
85.888,862.784,429.44
66.368,870.592,456.768
64.416,874.496,443.104
50.752,880.352,431.392
68.32,862.784,447.008
66.368,876.448,443.104
58.56,870.592,445.056
72.224,866.688,441.152
64.416,872.544,439.2
46.848,872.544,447.008
60.512,878.4,439.2
50.752,870.592,437.248
62.464,868.64,435.296
54.656,878.4,448.96
60.512,874.496,443.104
52.704,882.304,433.344
50.752,870.592,431.392
56.608,876.448,447.008
54.656,876.448,443.104
56.608,882.304,433.344
50.752,888.16,398.208
87.84,839.36,439.2
105.408,856.928,355.264
-35.136,802.272,626.592
165.92,722.24,480.192
25.376,718.336,552.416
52.704,511.424,786.656
83.936,454.816,765.184
-23.424,400.16,987.712
85.888,255.712,1016.992
9.76,255.712,1036.512
37.088,206.912,1022.848
103.456,150.304,1032.608
74.176,146.4,997.472
56.608,81.984,1077.504
35.136,122.976,1015.04
78.08,81.984,1001.376
39.04,54.656,1036.512
39.04,81.984,1018.944
62.464,72.224,1005.28
44.896,95.648,993.568
64.416,64.416,999.424
48.8,76.128,999.424
52.704,76.128,995.52
68.32,70.272,999.424
42.944,68.32,1009.184
60.512,66.368,999.424
46.848,74.176,1015.04
58.56,72.224,985.76
44.896,68.32,1005.28
56.608,76.128,997.472
62.464,70.272,999.424
46.848,81.984,1001.376
52.704,68.32,1005.28
62.464,74.176,991.616
54.656,89.792,979.904
74.176,72.224,1001.376
50.752,76.128,1018.944
58.56,64.416,1022.848
52.704,78.08,1005.28
54.656,68.32,991.616
52.704,66.368,997.472
44.896,80.032,991.616
42.944,78.08,993.568
58.56,78.08,999.424
54.656,85.888,993.568
64.416,76.128,1001.376
68.32,66.368,1013.088
68.32,70.272,1005.28
60.512,76.128,1009.184
52.704,85.888,991.616
62.464,76.128,999.424
64.416,76.128,999.424
64.416,85.888,985.76
