acc_x[mg],acc_y[mg],acc_z[mg]
22.432,-2.604,932.799
24.548,-7.071,1025.488
22.868,-5.566,984.844
22.023,-3.059,1006.314
23.875,-5.047,994.586
24.406,-4.828,1007.518
18.108,-6.214,992.608
20.731,-4.001,1004.006
23.464,-5.600,995.439
22.578,-4.085,997.350
18.892,-5.380,999.980
22.448,-6.871,1002.953
20.099,-9.517,996.639
21.833,-3.076,998.555
23.304,-2.275,998.124
26.010,-5.431,1001.368
26.523,-3.474,995.642
22.299,-2.022,999.671
23.383,-7.531,996.319
21.158,-4.054,999.767
27.301,-8.286,997.239
20.595,-8.905,997.975
21.750,0.005,996.343
20.205,-4.881,997.540
16.468,-7.928,996.512
24.602,-6.246,1000.671
23.307,-2.714,997.838
24.240,-5.178,994.941
24.247,-1.967,996.412
23.831,-5.453,1000.027
18.738,-0.675,1000.533
24.965,-1.324,1000.993
20.881,-6.961,1001.015
19.784,-0.866,998.573
20.995,-5.458,998.339
23.296,-3.578,998.429
20.353,-9.379,997.705
23.020,-7.283,998.015
24.280,-5.566,1000.191
16.757,-5.857,995.836
25.230,-4.968,998.319
24.060,-5.198,995.639
20.082,-5.264,999.254
21.269,-5.211,1002.246
19.784,-1.550,1000.514
23.692,-3.369,997.210
20.003,-8.438,999.025
19.619,-4.007,1002.587
22.035,-3.090,996.626
22.189,-7.891,1001.775
23.398,-5.511,998.573
20.435,-6.727,996.654
21.669,-4.837,998.888
25.491,-4.274,999.592
21.847,-7.542,997.250
21.383,-6.389,996.126
24.076,-1.043,999.878
20.429,-4.833,994.417
24.488,-2.454,994.627
22.059,-4.161,998.076
17.012,-1.052,996.291
24.051,-7.799,995.751
18.196,-6.032,997.049
17.833,-3.644,1000.119
23.990,-4.721,997.486
20.133,-1.787,999.601
23.344,-4.408,1000.801
21.988,-0.808,998.493
20.484,-4.202,1002.365
21.352,-4.530,1000.969
17.820,-2.907,1001.561
20.523,-4.650,1003.552
19.310,-4.974,1001.084
23.770,-3.633,1000.600
19.726,1.989,994.626
20.638,-3.836,999.980
21.326,-1.394,998.121
22.191,-4.800,997.719
20.145,-3.695,1000.622
20.726,-5.566,1001.854
18.881,-4.533,995.103
21.414,-3.479,998.882
23.522,-8.514,998.070
20.538,-5.635,997.058
20.358,-4.648,1000.362
20.480,-5.550,998.505
22.003,-4.296,999.732
21.710,-4.010,996.001
21.676,-5.432,997.061
19.487,-2.674,1000.367
19.701,-3.871,999.120
18.779,-9.569,997.915
20.948,-5.174,998.618
22.526,-0.450,999.427
20.430,-7.737,999.901
22.579,-4.308,997.549
19.665,-6.915,996.457
19.142,1.232,1000.098
23.451,0.244,1000.908
21.578,1.445,997.860
22.952,-7.864,995.683
22.713,-2.466,1003.103
21.394,-6.449,997.028
22.644,-4.334,999.510
19.741,-1.974,998.136
22.962,-7.380,998.941
20.448,-6.783,999.653
23.907,-3.458,1002.490
24.364,-3.355,997.969
21.442,-1.166,999.287
23.021,-6.959,997.942
22.378,-0.534,997.455
19.105,-4.502,993.921
21.048,-2.501,998.664
21.988,-0.627,997.504
21.520,-2.319,999.765
21.197,-5.050,996.241
21.588,-4.350,995.909
20.904,-3.280,1000.577
21.544,-3.908,996.489
19.617,-4.927,999.380
20.070,-7.962,994.930
19.366,-2.136,997.452
22.122,-4.704,997.693
17.758,-6.053,997.519
20.463,-7.787,997.950
19.508,-1.551,999.908
22.585,-9.176,999.179
25.014,-6.241,1001.381
22.167,-4.601,997.743
23.012,-5.712,999.570
24.475,-6.131,998.889
23.195,-0.422,1001.813
24.572,-4.815,1001.639
21.165,-0.048,998.920
22.036,-6.951,996.625
3.580,18.088,998.426
-26.984,71.196,974.465
30.612,-12.573,984.549
17.918,11.918,1002.369
24.831,2.079,1000.291
21.358,5.514,997.390
