acc_x[mg],acc_y[mg],acc_z[mg]
23.424,-3.904,999.424
24.888,-4.880,1001.864
22.448,-8.784,999.912
23.424,-0.976,996.008
20.984,-6.344,999.912
26.352,-2.928,1001.376
21.960,-6.832,1002.840
19.032,-4.880,995.032
19.520,-4.880,1002.352
23.912,-4.880,997.472
22.936,-4.880,996.984
20.496,-4.392,996.008
19.520,-5.856,1005.768
22.936,-7.808,997.472
19.520,-9.272,1000.400
21.960,-2.928,995.520
23.424,-1.952,999.912
24.400,-4.880,1000.400
28.304,-4.880,997.472
22.936,-1.952,997.960
23.912,-3.416,997.960
21.472,-8.296,997.960
22.936,-2.928,998.448
25.376,-8.784,998.936
24.400,-9.272,996.496
17.568,-2.928,997.960
25.376,-0.488,996.008
14.640,-7.808,997.960
20.496,-7.320,996.496
23.424,-5.856,1001.864
24.400,-2.928,996.984
23.424,-4.392,996.008
24.400,-3.904,994.544
24.888,-1.952,999.912
20.496,-6.832,999.424
20.496,3.416,1001.864
24.888,-5.368,999.912
20.984,-4.880,1002.352
19.032,-2.440,997.472
21.472,-3.416,999.424
21.960,-5.368,997.472
22.936,-4.880,998.936
19.520,-11.224,996.984
24.888,-4.880,998.936
23.424,-6.832,1000.400
16.104,-4.880,995.032
24.888,-5.856,999.424
24.888,-4.392,995.032
21.472,-5.856,998.448
20.008,-4.880,999.912
21.472,-4.880,1003.816
19.520,-0.488,997.960
24.400,-4.392,999.424
20.008,-7.808,996.496
19.032,-5.856,1005.280
21.960,-1.464,996.008
21.472,-6.832,1000.400
23.424,-6.832,1000.888
22.448,-5.856,997.960
20.496,-6.344,996.496
21.472,-5.368,999.424
25.376,-3.416,999.424
23.424,-7.320,998.448
20.008,-7.320,995.520
23.912,-3.904,998.448
22.448,-0.976,998.936
20.984,-5.856,993.568
24.400,-1.464,995.032
22.936,-4.880,998.448
16.592,-0.976,996.496
21.960,-4.880,996.008
22.936,-9.272,996.008
15.128,-2.928,998.448
20.984,-5.368,1000.400
22.936,-3.416,996.496
20.984,-2.440,1000.888
21.960,-3.904,999.912
23.912,-1.952,999.912
19.520,-1.952,999.424
21.960,-5.368,1003.816
20.008,-3.904,999.424
17.568,-2.440,1002.840
21.472,-5.856,1003.816
18.056,-3.416,1000.400
24.400,-6.344,1002.840
20.496,2.928,994.056
20.008,-2.440,998.936
20.984,-2.440,998.448
21.472,-2.440,999.424
22.448,-4.392,996.008
19.520,-4.392,1002.840
21.472,-4.392,1000.400
18.544,-6.344,998.448
20.496,-1.952,994.544
22.448,-6.832,1001.864
23.424,-7.808,995.032
19.520,-5.368,999.424
20.984,-4.392,999.424
20.008,-5.856,999.424
21.960,-4.392,999.424
21.960,-3.904,997.472
21.472,-4.880,996.008
21.472,-4.880,997.960
18.544,-1.952,1001.864
20.496,-4.880,996.984
18.056,-9.272,1000.400
20.984,-6.832,996.008
22.448,0.488,1001.864
20.984,-5.856,997.472
21.472,-6.344,1001.376
21.960,-4.880,995.032
19.520,-6.344,997.960
18.544,1.952,1000.400
24.400,0.000,1000.400
20.984,1.952,1000.400
22.936,-4.880,993.080
22.936,-6.832,1002.352
21.960,-1.464,999.912
21.960,-8.296,997.960
21.960,-2.928,998.936
20.496,-1.952,998.936
21.472,-7.320,998.448
22.936,-6.832,999.424
19.520,-5.368,1001.864
27.816,-2.440,1000.888
20.496,-3.416,997.472
23.912,-0.976,999.912
20.984,-7.808,997.472
24.400,-0.488,998.448
18.056,-2.928,993.568
20.984,-5.368,997.472
21.472,0.976,998.448
21.960,-2.928,997.960
21.472,-1.464,999.912
20.984,-6.344,995.520
21.960,-3.904,996.008
20.496,-2.928,1000.888
21.960,-4.880,996.984
20.008,-2.440,998.448
20.008,-8.784,997.960
19.520,-4.880,994.544
20.008,-2.928,998.448
21.960,-4.392,997.472
18.056,-5.856,997.960
19.520,-8.784,997.472
20.496,-1.952,999.912
20.008,-5.856,998.936
24.400,-8.784,1000.888
24.888,-5.856,999.912
20.984,-3.904,998.936
24.400,-6.344,997.960
22.936,-6.344,1001.376
24.888,-0.976,997.960
22.936,-3.904,1005.768
23.912,-1.464,996.984
21.472,-3.904,1001.376
19.032,-1.952,993.568
5.856,13.664,1001.864
-35.624,84.424,972.096
28.792,-10.248,982.344
20.496,5.368,997.472
21.960,8.296,1003.328
23.424,1.952,998.448
21.960,5.368,997.472
20.984,2.928,1004.792
20.984,5.856,998.936
21.472,6.344,1000.888
20.496,5.368,996.008
24.888,8.784,1002.840
21.960,9.272,998.448
21.960,10.248,999.912
26.352,5.856,996.496
25.376,2.928,1001.864
18.544,3.904,994.056
22.448,5.856,1001.864
22.448,7.320,996.984
20.984,4.392,1001.376
22.936,3.904,1000.400
20.496,7.808,997.960
20.496,3.904,1000.400
22.936,6.344,997.960
21.472,4.392,1002.352
19.032,8.296,998.448
25.864,7.320,1001.864
21.960,6.344,997.960
18.544,4.880,1001.864
19.520,6.832,998.936
20.496,2.928,1001.376
22.448,7.808,997.472
20.008,7.320,1004.304
21.472,8.784,996.008
25.864,1.952,995.520
21.960,4.392,996.008
21.472,8.296,1000.888
22.448,7.808,995.520
17.568,3.904,997.472
20.008,8.296,1000.400
20.984,5.856,1005.280
22.936,3.416,996.496
25.864,6.832,1002.352
19.520,6.344,996.008
23.424,4.880,999.912
23.424,2.928,998.448
22.448,6.832,1001.864
22.448,0.488,999.424
22.448,9.272,998.936
20.008,9.272,997.960
20.496,7.320,997.472
21.472,3.416,997.472
21.960,7.808,998.448
19.032,7.320,1003.816
20.496,3.904,997.472
16.592,14.152,1008.696
-21.472,10.248,998.936
29.280,7.808,997.960
11.224,-12.200,1000.888
21.960,-2.928,993.080
20.496,0.976,997.472
23.424,6.832,1000.888
20.496,8.296,995.032
23.912,5.368,1003.328
18.056,6.344,1000.888
22.448,6.344,996.496
