acc_x[mg],acc_y[mg],acc_z[mg]
-16.310,78.016,-907.399
-17.189,87.127,-1022.287
-18.964,86.985,-977.203
-15.929,88.108,-1004.236
-13.035,83.886,-988.543
-18.556,89.281,-1001.387
-17.076,84.970,-988.704
-17.249,84.559,-995.970
-11.460,87.567,-988.150
-15.898,85.589,-994.833
-17.963,85.861,-994.447
-11.223,87.159,-991.709
-15.285,82.085,-994.501
-15.984,83.582,-996.719
-16.555,83.257,-990.291
-12.575,85.363,-992.801
-16.895,86.555,-994.656
-15.928,86.228,-993.602
-12.658,81.583,-991.645
-11.213,86.837,-991.334
-13.797,84.904,-988.443
-14.655,79.208,-993.979
-7.840,83.669,-990.553
-11.270,86.532,-993.184
-11.877,87.609,-987.766
-9.271,85.244,-1001.561
-11.947,84.596,-993.128
-13.917,87.027,-993.134
-11.485,81.122,-991.435
-11.654,87.843,-994.361
-11.675,84.318,-991.407
-12.866,85.014,-995.378
-12.609,87.617,-990.949
-11.528,86.753,-991.609
-13.618,83.950,-995.851
-15.367,86.539,-996.384
-10.713,84.756,-995.055
-14.980,85.470,-996.636
-12.304,84.980,-997.293
-14.808,82.583,-993.155
-12.652,86.048,-992.733
-8.783,84.144,-989.824
-12.104,86.376,-994.751
-11.659,86.978,-998.469
-11.807,86.239,-990.871
-13.318,84.871,-992.459
-10.406,83.590,-995.602
-10.738,86.449,-993.306
-10.181,81.246,-987.299
-12.452,86.294,-996.622
-13.224,76.186,-993.642
-9.741,86.317,-989.901
-16.037,91.650,-990.315
-5.269,84.674,-993.777
-11.756,80.198,-997.610
-9.880,81.310,-991.240
-11.897,83.384,-991.457
-8.390,88.660,-995.748
-15.513,82.913,-992.777
-14.589,86.062,-995.387
-10.774,79.215,-992.375
-7.348,81.340,-992.946
-13.170,84.284,-991.489
-6.484,84.692,-993.424
-13.036,81.023,-988.046
-10.297,85.938,-999.644
-8.126,74.517,-1007.904
-18.253,70.046,-988.170
-7.110,90.260,-993.789
-9.310,80.457,-990.257
-7.618,87.495,-992.766
-9.790,82.991,-993.989
-5.962,80.898,-992.876
-6.567,86.956,-991.719
-7.258,80.618,-993.800
-6.874,79.005,-989.375
-10.322,81.450,-993.379
-7.541,81.723,-990.994
-8.559,84.116,-992.843
-10.288,77.800,-989.504
-6.657,85.126,-994.645
-9.441,81.725,-989.620
-6.513,80.726,-996.591
