acc_x[mg],acc_y[mg],acc_z[mg]
-16.718,79.454,-923.775
-16.915,86.625,-1017.152
-19.061,86.953,-980.304
-16.478,88.511,-1001.780
-12.839,83.752,-989.905
-17.645,88.674,-1000.462
-17.814,86.338,-990.148
-17.119,83.844,-995.310
-13.711,86.917,-989.096
-12.280,86.866,-993.292
-19.955,84.627,-993.927
-12.472,87.937,-994.818
-13.475,83.869,-989.519
-15.572,82.572,-999.866
-16.971,83.492,-990.503
-14.505,83.967,-993.564
-13.545,85.890,-990.972
-17.722,87.023,-997.702
-14.550,84.633,-989.601
-12.256,81.988,-994.591
-11.183,87.918,-987.687
-14.762,83.126,-991.634
-13.601,79.561,-992.103
-7.710,84.089,-992.009
-11.565,86.789,-991.793
-11.869,87.407,-988.539
-9.095,85.489,-1001.235
-12.016,84.151,-993.738
-13.715,87.633,-992.929
-12.022,80.909,-991.410
-11.169,87.185,-994.248
-12.076,85.353,-991.545
-12.097,84.083,-994.714
-13.403,87.345,-992.485
-11.221,87.362,-990.312
-12.842,84.600,-994.726
-15.242,85.222,-996.680
-12.745,86.329,-995.426
-11.937,84.065,-995.590
-15.305,86.508,-997.299
-11.428,82.741,-995.546
-16.493,84.365,-992.509
-9.044,85.576,-992.237
-10.787,84.307,-989.747
-11.488,87.170,-997.613
-12.230,86.500,-996.148
-11.471,86.338,-990.436
-13.843,84.109,-993.191
-9.318,84.260,-995.941
-11.608,85.991,-992.226
-9.440,81.269,-987.393
-13.207,86.377,-997.095
-12.795,76.014,-993.401
-9.863,85.782,-990.137
-15.976,91.993,-990.010
-6.269,85.353,-993.122
-10.215,80.645,-997.564
-11.044,80.799,-992.926
-10.881,82.670,-989.919
-9.776,87.756,-995.646
-11.932,85.098,-992.976
-17.228,84.014,-994.722
-11.098,83.736,-993.860
-9.038,77.414,-992.354
-9.399,85.267,-992.405
-12.183,83.129,-991.894
-5.642,84.614,-991.892
-16.809,80.596,-988.983
-4.568,86.672,-1007.799
-14.759,66.625,-1000.661
-14.403,78.736,-987.522
-7.311,88.346,-994.549
-8.818,80.851,-989.048
-8.197,88.024,-994.341
-9.336,81.810,-993.129
-5.812,81.509,-993.316
-6.663,87.054,-990.904
-7.224,80.258,-994.777
-6.949,78.954,-988.185
-10.073,81.668,-994.596
-8.180,81.098,-989.681
-7.519,84.942,-994.142
-11.353,77.545,-988.128
-6.018,84.268,-995.687
-9.988,82.841,-988.909
-6.091,80.564,-995.867
-11.388,81.977,-992.064
-10.374,84.978,-994.103
-5.374,81.097,-995.000
-12.384,83.504,-992.381
-11.724,85.620,-994.609
-8.759,80.432,-991.312
-12.892,81.158,-993.234
-4.560,84.431,-996.164
-12.299,80.631,-988.167
-10.708,84.348,-993.354
-5.869,84.218,-995.903
-5.816,79.328,-991.874
-12.244,84.553,-994.377
-6.510,81.281,-992.015
-5.993,77.763,-998.708
-5.409,81.928,-992.036
-4.184,79.257,-998.366
-8.560,80.534,-991.176
-8.291,83.876,-991.871
-8.206,81.409,-996.881
-6.635,79.884,-992.287
-8.282,81.746,-993.581
-2.386,80.916,-993.758
-5.386,84.339,-992.406
-2.564,82.931,-995.307
-7.008,83.191,-992.677
-3.137,82.338,-992.408
-6.874,79.742,-991.402
-6.253,78.657,-990.248
-3.795,81.556,-993.053
-5.757,78.750,-994.814
-6.048,79.571,-993.541
-5.611,83.992,-992.709
-3.682,83.060,-990.216
-8.446,79.477,-993.179
-5.504,81.688,-989.416
-6.528,81.563,-992.470
-8.839,83.894,-991.329
-4.467,80.787,-994.712
-3.542,80.844,-993.642
-12.415,80.810,-992.283
-6.527,82.497,-993.611
-7.784,81.573,-993.196
-5.982,78.422,-990.483
-7.485,86.118,-989.846
-5.865,80.954,-991.803
-4.795,83.185,-989.850
-9.638,81.541,-993.938
-2.105,81.946,-991.560
-3.750,82.516,-994.062
-6.336,83.214,-992.299
-8.090,82.256,-994.532
-7.950,83.330,-987.931
-4.643,82.994,-996.095
-8.047,80.614,-995.419
-6.638,77.186,-993.194
-6.662,80.102,-996.314
-5.706,81.982,-993.202
-8.355,82.496,-991.338
-8.761,83.224,-990.208
-6.664,83.094,-996.106
-4.575,82.140,-991.078
-8.328,84.881,-995.716
-7.507,85.679,-990.680
-8.829,81.339,-995.312
-7.974,80.550,-993.688
-9.992,82.889,-995.006
-6.043,78.487,-992.419
-5.162,81.747,-991.844
-7.745,84.884,-992.896
-6.107,84.563,-993.019
-3.532,81.206,-989.076
-8.255,80.809,-989.015
-4.858,81.783,-995.399
-6.506,85.413,-990.406
-7.244,80.217,-992.813
-3.776,81.661,-991.147
-4.917,81.790,-991.386
-6.189,79.924,-989.735
-5.123,79.090,-992.394
-7.183,78.669,-996.325
-4.449,79.991,-994.214
-4.447,80.828,-996.371
-3.681,81.842,-993.105
-5.218,82.364,-993.932
-0.764,83.943,-992.336
-5.028,81.793,-993.987
-6.283,80.653,-990.588
-2.989,84.307,-993.997
-3.330,78.738,-990.400
-4.121,79.962,-991.819
-2.398,84.870,-992.434
-0.886,80.750,-994.820
-4.645,79.632,-992.806
0.320,81.521,-992.165
-3.981,83.254,-988.946
-0.620,79.718,-994.094
-1.956,81.134,-996.118
-1.668,77.331,-995.946
-5.143,80.129,-991.508
4.192,78.502,-995.177
-4.808,79.816,-989.495
-2.548,77.546,-990.714
-3.938,83.877,-995.532
-3.712,74.299,-993.107
-3.990,84.524,-995.566
2.885,79.587,-990.726
-5.806,82.828,-993.619
1.675,74.550,-995.859
-3.883,82.385,-996.824
0.166,74.924,-993.838
-6.626,84.153,-995.136
9.718,76.720,-994.747
-6.673,84.326,-993.587
8.578,70.314,-995.387
-12.890,86.703,-991.654
9.481,69.837,-998.277
-13.347,91.379,-988.275
16.246,62.869,-999.473
-17.523,93.331,-993.195
20.653,62.211,-999.911
-23.642,98.395,-991.567
27.885,54.018,-1000.229
-34.091,108.679,-989.366
25.735,47.464,-1001.962
-102.555,129.986,-939.107
45.687,-4.675,-1012.992
-756.252,529.986,-916.716
-804.448,80.595,-1379.174
-790.119,13.376,-1579.979
-593.941,152.578,-929.888
-778.674,235.640,-390.109
-722.954,196.121,-379.493
-131.146,413.655,-864.171
-279.981,442.851,16.714
-7.990,147.852,811.926
-124.500,213.486,1209.673
-188.100,149.207,1216.899
284.113,149.244,971.642
14.872,49.966,1008.178
394.612,155.307,662.493
156.062,-159.839,1630.927
521.522,21.348,682.219
-77.065,61.987,722.949
-76.371,-249.401,1729.881
613.753,-71.552,862.778
-92.665,-65.560,1099.875
499.109,-4.454,748.212
31.232,-30.127,1073.445
194.780,-48.689,1051.575
92.499,-50.762,965.400
140.096,-47.981,1026.879
131.133,-74.190,955.410
166.816,-87.194,1029.991
64.537,-57.692,982.849
127.717,-71.929,986.436
60.254,-63.365,997.686
97.092,-80.359,1014.119
90.117,-85.014,980.810
118.069,-84.106,1015.190
23.281,-49.091,989.282
88.787,-81.255,991.718
50.686,-73.106,994.363
78.263,-66.951,989.826
45.995,-69.029,999.655
62.766,-74.224,992.477
49.899,-67.013,996.886
53.220,-71.731,979.337
37.898,-69.666,1003.240
39.091,-84.628,1006.622
43.777,-77.134,991.514
29.414,-79.180,997.038
39.343,-80.246,1002.163
11.340,-95.688,1001.883
38.269,-76.258,995.809
6.735,-97.888,990.616
52.404,-60.520,994.001
-103.348,-127.180,998.396
-78.951,-118.715,990.830
48.669,-71.624,1004.289
1.773,-100.956,993.471
39.453,-76.899,999.430
4.601,-89.261,990.402
29.238,-78.443,999.909
7.597,-88.609,990.273
20.074,-82.838,999.831
10.286,-83.890,991.183
24.140,-81.180,996.762
15.800,-82.698,994.133
20.778,-84.122,999.526
15.463,-86.878,994.075
19.232,-86.545,998.455
16.940,-84.262,990.171
19.031,-88.637,997.845
11.623,-85.883,990.425
13.889,-81.984,999.333
15.296,-82.961,984.654
19.689,-82.205,1006.064
17.181,-82.396,980.115
17.366,-84.256,1024.095
