acc_x[mg],acc_y[mg],acc_z[mg]
-990.64,84.912,-18.544
-992.104,84.912,-15.616
-996.008,86.376,-19.52
-990.152,89.792,-17.568
-996.984,84.424,-14.64
-994.544,86.376,-13.176
-996.984,87.352,-19.032
-992.592,87.84,-17.08
-993.568,81.984,-17.568
-990.64,87.84,-14.64
-992.104,86.376,-11.224
-992.104,85.888,-17.08
-997.472,85.4,-18.544
-990.64,87.84,-10.736
-992.104,83.448,-14.64
-999.424,81.984,-15.128
-991.128,84.424,-17.08
-993.568,82.472,-15.616
-990.152,86.376,-12.688
-996.008,85.4,-16.104
-994.544,87.84,-17.08
-990.64,82.96,-14.152
-994.056,82.472,-11.712
-988.688,87.84,-11.712
-989.664,84.424,-13.176
-993.568,80.032,-16.104
-990.64,81.008,-8.784
-993.568,86.376,-9.272
-989.664,86.376,-11.712
-990.152,87.84,-12.2
-1000.888,85.4,-8.296
-996.008,83.448,-12.2
-990.64,88.328,-13.176
-994.544,82.472,-13.176
-989.664,83.448,-11.224
-996.984,87.352,-11.224
-988.688,85.4,-12.688
-997.472,82.96,-11.224
-991.128,88.816,-14.64
-991.128,85.888,-10.248
-992.592,87.352,-13.176
-996.496,82.472,-13.176
-996.496,87.84,-16.104
-995.032,84.424,-10.736
-996.008,84.912,-13.176
-997.472,86.376,-15.128
-996.008,82.96,-11.224
-993.08,83.936,-16.104
-992.592,84.912,-12.2
-990.64,85.888,-8.784
-991.616,83.448,-11.224
-998.448,89.304,-12.2
-996.496,84.424,-11.224
-989.664,88.328,-12.688
-993.568,82.96,-12.2
-994.544,84.912,-12.688
-995.52,84.912,-7.808
-989.664,84.912,-13.664
-987.224,81.008,-7.32
-1001.376,87.352,-15.616
-988.688,74.664,-11.712
-996.008,84.424,-9.76
-983.808,92.232,-15.616
-997.472,87.84,-10.248
-990.152,83.448,-6.344
-1001.864,79.056,-11.712
-988.2,82.472,-10.736
-992.104,81.496,-10.736
-995.52,88.816,-10.248
-992.592,85.4,-10.248
-995.52,83.448,-17.08
-993.08,85.888,-14.152
-994.544,79.056,-9.76
-991.616,80.52,-8.784
-992.104,83.448,-9.76
-993.568,85.888,-12.688
-989.664,81.496,-4.88
-992.104,84.424,-15.128
-994.544,81.496,-10.736
-1015.528,83.448,-4.88
-987.712,60.512,-19.52
-993.568,87.84,-10.736
-991.128,84.424,-8.296
-991.616,82.96,-8.296
-992.104,85.888,-8.296
-994.544,85.4,-9.272
-993.08,79.544,-7.808
-992.592,84.424,-4.88
-990.64,86.376,-8.296
-996.984,79.544,-5.368
-984.296,78.08,-9.272
-999.424,83.448,-6.832
-984.784,78.08,-12.688
-998.936,87.352,-2.928
-985.272,78.568,-13.664
-995.52,81.008,-6.832
-990.64,82.96,-8.296
-993.08,84.424,-8.784
-992.104,79.056,-6.832
-996.496,82.472,-9.76
-989.664,83.936,-12.2
-997.96,83.448,-6.832
-992.104,81.008,-6.832
-993.568,84.424,-14.152
-994.544,85.888,-10.736
-991.128,79.544,-8.296
-993.08,81.496,-14.152
-996.008,83.448,-4.88
-992.104,82.96,-9.272
-987.712,80.52,-12.688
-996.984,86.376,-9.272
-994.056,82.472,-4.88
-992.592,79.544,-6.344
-994.544,84.424,-12.2
-991.616,82.472,-7.808
-997.472,78.08,-5.368
-995.52,79.544,-6.344
-993.08,82.472,-4.392
-998.936,77.592,-4.88
-989.664,82.472,-9.272
-992.104,82.472,-7.808
-997.472,83.448,-8.784
-992.592,78.08,-6.344
-993.568,82.96,-8.296
-993.08,79.544,-5.856
-994.544,83.448,-1.952
-991.128,82.96,-6.344
-997.472,84.424,-1.464
-991.128,81.496,-7.808
-994.056,84.424,-3.416
-990.64,79.056,-4.88
-991.616,80.032,-8.296
-990.152,78.568,-3.904
-994.544,82.472,-4.88
-994.544,77.592,-5.368
-993.568,80.032,-6.344
-993.568,83.448,-5.856
-989.664,83.936,-3.416
-993.08,80.52,-6.832
-991.128,80.032,-7.808
-990.152,81.984,-4.88
-992.592,81.984,-7.32
-991.616,83.448,-8.784
-994.544,81.984,-4.88
-994.544,79.056,-2.44
-992.104,82.96,-10.248
-993.08,79.056,-10.736
-994.056,85.4,-4.88
-992.104,78.08,-9.272
-991.128,80.52,-4.392
-988.688,85.4,-8.784
-993.568,81.984,-5.368
-988.2,81.984,-4.88
-994.056,82.96,-7.808
-992.104,81.008,-7.808
-992.592,82.472,-0.0
-994.056,82.472,-5.856
-992.104,83.448,-5.368
-995.52,81.984,-8.784
-988.2,83.448,-7.808
-992.592,82.96,-5.856
-998.448,82.472,-5.368
-992.104,78.568,-9.272
-996.008,77.592,-4.88
-994.056,80.52,-8.296
-996.008,81.984,-3.904
-988.688,82.472,-9.76
-993.08,82.96,-7.32
-990.64,83.448,-9.272
-998.448,82.472,-3.904
-987.224,82.472,-6.344
-1000.4,85.888,-8.296
-986.248,84.912,-7.32
-998.936,82.472,-9.272
-991.616,79.056,-7.32
-996.008,83.936,-10.248
-993.568,79.544,-7.808
-991.616,79.544,-5.368
-992.592,82.472,-5.368
-992.592,85.4,-8.296
-993.568,84.424,-5.856
-989.664,81.496,-3.416
-987.712,81.008,-7.32
-994.056,80.52,-6.832
-993.568,84.424,-4.392
-990.152,83.936,-7.808
-993.568,80.032,-6.344
-990.64,81.496,-3.904
-992.104,82.472,-4.392
-989.664,79.544,-6.832
-991.128,80.032,-4.392
-995.032,78.08,-7.32
-996.008,79.544,-5.368
-994.056,80.032,-5.368
-996.984,81.008,-2.928
-992.592,81.984,-5.368
-994.544,81.984,-3.416
-992.104,83.936,-3.904
-994.056,82.96,-0.0
-992.104,80.52,-9.272
-991.616,81.984,-2.928
-993.568,83.936,-4.392
-991.128,78.568,-2.44
-990.64,79.056,-4.392
-994.056,85.4,-3.416
-992.104,81.496,0.488
-996.496,80.52,-4.88
-990.152,79.056,-1.464
-993.568,83.448,-1.464
-987.224,81.984,-2.928
-995.52,80.52,-1.952
-995.52,80.52,-0.488
-996.496,78.568,-2.44
-993.568,78.568,-3.904
-991.616,79.544,-1.464
-996.008,79.544,3.416
-986.736,78.08,-5.856
-992.592,79.544,-2.928
-994.544,81.984,-2.44
-994.056,77.592,-5.368
-994.544,78.568,-3.416
-994.056,84.912,-0.0
-989.664,79.544,-0.488
-996.008,80.52,-3.416
-994.056,77.104,-1.464
-998.936,78.568,0.976
-992.104,80.032,-5.368
-996.496,77.592,-1.464
-994.056,82.96,0.976
-994.544,79.544,3.904
-994.056,78.08,-0.976
-994.544,77.104,0.488
-992.104,79.056,-3.416
-997.96,78.568,-2.44
-990.152,81.496,0.488
-994.544,76.128,-0.488
-998.448,77.104,1.952
-994.056,79.056,-0.976
