acc_x[mg],acc_y[mg],acc_z[mg]
-18.544,84.912,-990.640
-15.616,84.912,-992.104
-19.520,86.376,-996.008
-17.568,89.792,-990.152
-14.640,84.424,-996.984
-13.176,86.376,-994.544
-19.032,87.352,-996.984
-17.080,87.840,-992.592
-17.568,81.984,-993.568
-14.640,87.840,-990.640
-11.224,86.376,-992.104
-17.080,85.888,-992.104
-18.544,85.400,-997.472
-10.736,87.840,-990.640
-14.640,83.448,-992.104
-15.128,81.984,-999.424
-17.080,84.424,-991.128
-15.616,82.472,-993.568
-12.688,86.376,-990.152
-16.104,85.400,-996.008
-17.080,87.840,-994.544
-14.152,82.960,-990.640
-11.712,82.472,-994.056
-11.712,87.840,-988.688
-13.176,84.424,-989.664
-16.104,80.032,-993.568
-8.784,81.008,-990.640
-9.272,86.376,-993.568
-11.712,86.376,-989.664
-12.200,87.840,-990.152
-8.296,85.400,-1000.888
-12.200,83.448,-996.008
-13.176,88.328,-990.640
-13.176,82.472,-994.544
-11.224,83.448,-989.664
-11.224,87.352,-996.984
-12.688,85.400,-988.688
-11.224,82.960,-997.472
-14.640,88.816,-991.128
-10.248,85.888,-991.128
-13.176,87.352,-992.592
-13.176,82.472,-996.496
-16.104,87.840,-996.496
-10.736,84.424,-995.032
-13.176,84.912,-996.008
-15.128,86.376,-997.472
-11.224,82.960,-996.008
-16.104,83.936,-993.080
-12.200,84.912,-992.592
-8.784,85.888,-990.640
-11.224,83.448,-991.616
-12.200,89.304,-998.448
-11.224,84.424,-996.496
-12.688,88.328,-989.664
-12.200,82.960,-993.568
-12.688,84.912,-994.544
-7.808,84.912,-995.520
-13.664,84.912,-989.664
-7.320,81.008,-987.224
-15.616,87.352,-1001.376
-11.712,74.664,-988.688
-9.760,84.424,-996.008
-15.616,92.232,-983.808
-10.248,87.840,-997.472
-6.344,83.448,-990.152
-11.712,79.056,-1001.864
-10.736,82.472,-988.200
-10.736,81.496,-992.104
-10.248,88.816,-995.520
-10.248,85.400,-992.592
-17.080,83.448,-995.520
-14.152,85.888,-993.080
-9.760,79.056,-994.544
-8.784,80.520,-991.616
-9.760,83.448,-992.104
-12.688,85.888,-993.568
-4.880,81.496,-989.664
-15.128,84.424,-992.104
-10.736,81.496,-994.544
-4.880,83.448,-1015.528
-19.520,60.512,-987.712
-10.736,87.840,-993.568
-8.296,84.424,-991.128
-8.296,82.960,-991.616
-8.296,85.888,-992.104
-9.272,85.400,-994.544
-7.808,79.544,-993.080
-4.880,84.424,-992.592
-8.296,86.376,-990.640
-5.368,79.544,-996.984
-9.272,78.080,-984.296
-6.832,83.448,-999.424
-12.688,78.080,-984.784
-2.928,87.352,-998.936
-13.664,78.568,-985.272
-6.832,81.008,-995.520
-8.296,82.960,-990.640
-8.784,84.424,-993.080
-6.832,79.056,-992.104
-9.760,82.472,-996.496
-12.200,83.936,-989.664
-6.832,83.448,-997.960
-6.832,81.008,-992.104
-14.152,84.424,-993.568
-10.736,85.888,-994.544
-8.296,79.544,-991.128
-14.152,81.496,-993.080
-4.880,83.448,-996.008
-9.272,82.960,-992.104
-12.688,80.520,-987.712
-9.272,86.376,-996.984
-4.880,82.472,-994.056
-6.344,79.544,-992.592
-12.200,84.424,-994.544
-7.808,82.472,-991.616
-5.368,78.080,-997.472
-6.344,79.544,-995.520
-4.392,82.472,-993.080
-4.880,77.592,-998.936
-9.272,82.472,-989.664
-7.808,82.472,-992.104
-8.784,83.448,-997.472
-6.344,78.080,-992.592
-8.296,82.960,-993.568
-5.856,79.544,-993.080
-1.952,83.448,-994.544
-6.344,82.960,-991.128
-1.464,84.424,-997.472
-7.808,81.496,-991.128
-3.416,84.424,-994.056
-4.880,79.056,-990.640
-8.296,80.032,-991.616
-3.904,78.568,-990.152
-4.880,82.472,-994.544
-5.368,77.592,-994.544
-6.344,80.032,-993.568
-5.856,83.448,-993.568
-3.416,83.936,-989.664
-6.832,80.520,-993.080
-7.808,80.032,-991.128
-4.880,81.984,-990.152
-7.320,81.984,-992.592
-8.784,83.448,-991.616
-4.880,81.984,-994.544
-2.440,79.056,-994.544
-10.248,82.960,-992.104
-10.736,79.056,-993.080
-4.880,85.400,-994.056
-9.272,78.080,-992.104
-4.392,80.520,-991.128
-8.784,85.400,-988.688
-5.368,81.984,-993.568
-4.880,81.984,-988.200
-7.808,82.960,-994.056
-7.808,81.008,-992.104
0.000,82.472,-992.592
-5.856,82.472,-994.056
-5.368,83.448,-992.104
-8.784,81.984,-995.520
-7.808,83.448,-988.200
-5.856,82.960,-992.592
-5.368,82.472,-998.448
-9.272,78.568,-992.104
-4.880,77.592,-996.008
-8.296,80.520,-994.056
-3.904,81.984,-996.008
-9.760,82.472,-988.688
-7.320,82.960,-993.080
-9.272,83.448,-990.640
-3.904,82.472,-998.448
-6.344,82.472,-987.224
-8.296,85.888,-1000.400
-7.320,84.912,-986.248
-9.272,82.472,-998.936
-7.320,79.056,-991.616
-10.248,83.936,-996.008
-7.808,79.544,-993.568
-5.368,79.544,-991.616
-5.368,82.472,-992.592
-8.296,85.400,-992.592
-5.856,84.424,-993.568
-3.416,81.496,-989.664
-7.320,81.008,-987.712
-6.832,80.520,-994.056
-4.392,84.424,-993.568
-7.808,83.936,-990.152
-6.344,80.032,-993.568
-3.904,81.496,-990.640
-4.392,82.472,-992.104
-6.832,79.544,-989.664
-4.392,80.032,-991.128
-7.320,78.080,-995.032
-5.368,79.544,-996.008
-5.368,80.032,-994.056
-2.928,81.008,-996.984
-5.368,81.984,-992.592
-3.416,81.984,-994.544
-3.904,83.936,-992.104
0.000,82.960,-994.056
-9.272,80.520,-992.104
-2.928,81.984,-991.616
-4.392,83.936,-993.568
-2.440,78.568,-991.128
-4.392,79.056,-990.640
-3.416,85.400,-994.056
0.488,81.496,-992.104
-4.880,80.520,-996.496
-1.464,79.056,-990.152
-1.464,83.448,-993.568
-2.928,81.984,-987.224
-1.952,80.520,-995.520
-0.488,80.520,-995.520
-2.440,78.568,-996.496
-3.904,78.568,-993.568
-1.464,79.544,-991.616
3.416,79.544,-996.008
-5.856,78.080,-986.736
-2.928,79.544,-992.592
-2.440,81.984,-994.544
-5.368,77.592,-994.056
-3.416,78.568,-994.544
0.000,84.912,-994.056
-0.488,79.544,-989.664
-3.416,80.520,-996.008
-1.464,77.104,-994.056
0.976,78.568,-998.936
-5.368,80.032,-992.104
-1.464,77.592,-996.496
0.976,82.960,-994.056
3.904,79.544,-994.544
-0.976,78.080,-994.056
0.488,77.104,-994.544
-3.416,79.056,-992.104
-2.440,78.568,-997.960
0.488,81.496,-990.152
-0.488,76.128,-994.544
1.952,77.104,-998.448
