acc_x[mg],acc_y[mg],acc_z[mg]
27.328,-23.424,992.592
24.888,-22.936,996.984
17.080,-18.544,998.936
16.592,-20.984,1004.792
19.032,-22.448,1003.328
32.696,-23.912,994.544
20.008,-25.376,997.472
17.080,-23.912,1006.744
17.568,-21.472,1001.864
21.960,-18.056,999.912
24.400,-19.520,998.448
20.496,-18.544,994.544
21.472,-18.544,1000.400
12.688,-20.008,998.936
9.760,-19.032,1002.840
20.008,-20.496,1004.792
18.056,-21.960,997.960
20.496,-17.568,997.960
18.544,-19.520,1003.816
14.640,-20.984,997.960
20.984,-16.592,999.912
18.056,-21.960,999.424
20.008,-23.912,1002.352
18.544,-22.448,996.496
19.520,-20.496,999.424
19.032,-21.960,999.912
23.424,-20.008,997.960
22.448,-18.544,997.472
22.448,-18.056,995.032
23.424,-19.520,1003.328
24.400,-21.960,998.936
20.008,-20.008,1001.864
20.008,-19.520,997.960
20.496,-18.056,1002.352
23.912,-17.568,998.448
20.008,-16.592,997.960
17.568,-21.960,999.912
19.520,-20.008,998.936
19.520,-19.032,997.960
21.472,-17.080,1000.888
20.496,-22.448,995.520
17.568,-21.960,998.936
17.080,-18.056,996.496
16.104,-22.448,1000.888
20.496,-20.008,998.936
18.544,-22.936,1000.400
16.592,-18.544,996.984
16.592,-19.520,998.936
15.616,-24.400,995.520
19.032,-24.888,1002.352
18.544,-18.544,999.912
15.616,-22.936,1000.888
20.008,-22.936,998.936
22.936,-16.104,997.472
19.032,-21.960,997.472
19.032,-15.616,995.032
19.520,-20.496,997.472
20.008,-21.472,998.936
19.520,-21.472,1002.352
18.544,-20.008,997.960
17.080,-18.544,996.496
19.032,-22.936,997.472
17.080,-25.376,997.472
22.936,-18.056,995.032
16.592,-21.472,999.424
17.080,-20.496,1006.256
20.008,-19.520,996.984
22.448,-20.984,999.912
19.032,-21.960,996.984
16.592,-20.008,997.472
19.520,-21.960,999.424
19.520,-20.496,994.056
19.520,-18.544,1001.376
18.544,-18.544,997.960
