acc_x[mg],acc_y[mg],acc_z[mg]
25.899,-21.898,910.242
23.229,-22.328,1025.538
16.481,-18.654,984.939
16.822,-22.454,1016.703
30.065,-23.275,987.411
21.749,-25.479,1004.244
16.159,-23.475,1001.075
19.282,-19.942,1004.614
24.216,-18.425,996.089
21.266,-19.338,998.006
21.208,-18.129,997.087
10.639,-20.352,1001.519
14.106,-18.673,1002.904
19.793,-22.508,1002.440
19.402,-18.030,995.877
18.604,-19.835,1004.127
15.707,-19.690,997.319
20.789,-17.977,1000.478
18.099,-24.168,1000.640
20.036,-22.488,998.948
18.265,-20.961,997.926
20.679,-21.513,1000.399
23.116,-19.401,997.153
22.264,-18.009,996.316
23.307,-19.153,1000.074
23.958,-21.719,1001.449
20.038,-19.911,999.306
19.775,-19.048,1000.431
22.837,-17.525,1000.479
21.332,-17.042,997.350
17.469,-20.869,1000.166
19.647,-20.636,997.956
20.103,-17.208,999.776
21.501,-20.394,997.989
18.059,-22.412,997.034
16.767,-18.819,998.067
17.050,-21.652,999.618
20.511,-21.164,1000.038
16.804,-21.144,998.515
16.755,-17.970,997.689
15.683,-25.199,996.933
19.494,-22.898,1001.317
16.924,-19.594,1000.478
17.516,-24.270,999.959
23.092,-17.386,997.627
19.072,-20.515,996.956
19.283,-16.549,995.470
19.498,-21.548,997.926
20.221,-21.135,1001.295
18.192,-20.929,999.470
18.065,-17.983,995.776
17.595,-24.854,998.104
19.976,-21.925,996.022
20.079,-19.375,996.970
15.607,-21.455,1005.040
20.790,-19.193,998.428
21.622,-21.573,998.775
17.804,-21.178,996.968
17.763,-20.593,998.891
20.327,-21.887,995.837
18.805,-17.406,999.102
19.249,-20.454,999.504
20.225,-16.480,996.329
21.806,-20.617,997.834
17.786,-20.518,998.417
19.770,-20.873,999.929
17.657,-21.092,998.128
14.648,-20.666,1000.836
19.825,-23.885,998.501
22.871,-21.672,1000.529
21.557,-20.448,999.338
18.368,-21.276,996.580
17.741,-22.415,998.212
19.874,-20.567,999.035
20.189,-22.127,998.451
17.672,-20.313,995.887
20.859,-17.568,998.466
22.163,-13.995,999.137
18.256,-20.820,995.889
19.659,-23.388,997.986
17.320,-17.814,998.438
18.599,-21.731,999.599
18.416,-20.831,1001.249
19.260,-22.365,998.974
23.060,-18.117,997.912
26.033,-21.104,996.072
23.161,-22.493,997.731
18.869,-18.835,994.700
21.361,-21.631,1002.085
21.927,-20.339,1001.089
21.313,-19.645,999.617
15.626,-17.059,997.327
23.275,-17.868,996.499
19.748,-22.341,1000.534
20.943,-22.603,999.515
22.243,-23.643,992.498
21.698,-18.235,999.730
19.057,-19.683,1001.049
20.381,-23.009,1001.298
17.310,-21.383,999.726
19.654,-20.802,1003.717
20.299,-23.205,993.601
17.001,-22.769,998.128
19.791,-20.377,996.440
12.585,-23.235,999.954
23.424,-21.493,996.910
16.569,-18.764,1006.231
18.478,-18.607,1000.299
23.889,-19.241,995.655
23.695,-20.841,990.019
26.607,-20.541,1000.117
17.302,-18.160,992.868
18.771,-19.269,1004.815
22.996,-23.030,991.566
17.995,-20.162,1009.453
21.542,-20.579,994.321
14.796,-23.204,1006.878
18.998,-20.570,988.146
19.724,-16.270,1012.500
23.645,-20.280,979.883
122.166,-28.187,995.285
-24.127,-13.573,950.310
0.715,-26.974,1053.135
2.195,-34.498,953.644
-57.320,18.361,1039.954
18.205,28.470,933.594
12.947,-132.611,1105.400
-246.344,-45.832,1248.342
-56.067,-31.204,1072.963
