acc_x[mg],acc_y[mg],acc_z[mg]
165.777,50.333,922.054
164.443,54.031,1020.785
176.211,48.277,971.913
171.258,62.814,989.282
173.516,58.464,974.865
172.421,53.342,984.306
167.414,47.349,1009.734
184.881,61.748,970.169
180.469,62.482,984.899
175.069,59.941,978.576
177.018,60.523,987.225
194.037,67.207,975.018
180.178,69.192,955.232
160.645,48.132,1028.094
176.251,52.250,1002.890
190.567,78.004,949.328
190.418,61.647,984.294
167.048,59.901,999.605
176.316,58.716,1004.163
187.877,78.460,957.738
200.996,67.316,977.710
187.890,69.132,983.546
165.659,62.184,987.148
179.560,57.304,1002.685
197.378,71.343,948.000
198.530,72.325,983.868
186.899,63.597,983.033
173.981,61.998,988.940
191.582,66.713,980.491
199.205,71.418,959.913
172.704,64.778,1006.322
177.709,68.884,986.049
186.874,75.546,968.659
185.184,63.353,995.911
183.352,64.455,975.099
195.109,69.867,978.480
172.686,62.976,994.499
175.902,62.069,987.066
188.280,67.456,973.377
176.712,65.944,983.262
175.396,59.912,986.626
187.105,67.717,969.620
192.365,66.956,982.955
170.985,73.370,984.270
182.585,62.562,997.424
187.229,67.468,967.945
174.174,59.726,995.267
179.281,66.566,976.601
183.291,60.978,988.081
172.758,65.879,985.536
180.486,65.318,977.294
182.637,63.743,988.360
171.740,62.261,985.639
189.805,71.182,973.005
176.013,67.456,987.992
179.860,65.807,972.065
184.524,62.919,993.109
180.546,68.005,974.292
187.268,66.212,982.617
175.654,70.822,975.761
182.192,66.543,994.066
181.996,67.510,970.386
185.812,62.201,984.415
189.277,70.910,969.103
179.646,75.072,987.082
171.606,63.701,983.985
170.803,63.464,987.558
185.660,70.626,979.609
179.420,70.079,973.026
168.680,60.598,998.613
184.243,65.213,977.888
185.656,72.031,976.041
185.158,76.317,976.569
171.136,65.222,989.688
167.500,63.980,987.097
186.816,69.667,978.157
172.346,70.293,986.224
191.579,64.578,977.349
186.489,68.116,992.487
178.486,68.736,985.104
190.664,73.798,966.359
197.055,70.752,979.332
175.314,62.658,1003.277
188.192,69.712,972.058
195.922,75.882,977.328
181.620,68.572,985.256
185.249,70.730,982.087
193.664,73.458,974.171
183.778,68.165,991.322
179.242,66.607,986.271
194.682,72.562,963.699
182.657,68.809,984.860
189.436,70.057,979.932
201.184,68.624,977.779
186.916,66.608,988.186
191.927,76.705,970.331
185.147,67.472,980.897
190.166,65.855,994.388
185.632,75.710,968.160
192.186,70.607,983.997
196.185,72.348,972.376
195.853,77.279,975.683
189.608,69.063,986.123
213.867,75.865,972.394
194.151,72.533,969.063
183.505,66.552,980.252
192.651,63.458,995.128
193.014,76.877,978.289
185.838,65.778,987.071
205.626,73.120,978.260
200.943,78.699,979.984
195.138,67.568,984.353
199.563,74.525,971.144
194.361,67.446,993.939
203.253,67.621,980.122
203.582,79.651,961.953
209.393,64.914,984.945
200.042,71.058,976.211
213.442,85.605,967.699
211.411,70.335,981.668
205.154,74.909,977.126
204.759,75.145,968.410
202.312,70.303,992.122
217.730,68.525,961.353
215.814,73.094,979.493
222.952,79.258,981.015
215.829,78.089,973.337
221.656,73.139,990.064
233.183,86.053,966.474
240.188,98.930,961.828
236.636,91.455,965.478
224.924,79.161,997.558
254.367,94.788,966.201
256.173,91.123,956.070
244.193,109.767,946.825
264.714,104.847,985.330
252.050,105.281,960.772
278.567,101.802,955.634
270.623,117.523,944.691
272.510,120.413,958.814
242.857,118.885,950.386
322.205,109.128,910.587
273.893,94.489,997.809
285.022,140.650,889.025
272.928,126.624,965.466
264.241,117.028,982.340
299.941,114.788,915.476
270.587,109.774,989.524
272.080,126.065,937.565
277.232,128.465,908.619
322.401,111.471,955.126
330.635,97.971,952.513
285.929,134.508,898.175
291.573,90.665,992.131
324.144,104.076,946.909
300.070,119.132,934.698
319.343,93.419,950.328
311.179,78.955,974.919
327.553,117.836,937.276
334.467,123.500,918.841
349.256,120.148,942.272
341.404,110.241,932.732
335.768,113.700,932.571
336.947,122.223,931.180
328.835,120.768,945.422
341.856,122.538,925.794
355.902,121.791,917.825
338.786,119.685,926.813
346.629,111.915,953.839
333.762,119.986,920.754
341.104,121.939,950.738
343.334,116.623,927.705
336.104,124.419,942.331
329.977,110.988,939.276
330.499,111.871,956.968
396.503,102.746,954.495
406.281,135.342,965.008
439.285,103.066,963.836
386.810,143.219,952.430
549.136,117.889,1083.647
456.849,97.654,1287.416
378.318,133.209,1246.509
449.535,182.085,1120.000
448.817,164.228,1211.592
268.948,203.158,1134.939
195.926,239.170,1013.067
175.754,234.146,1068.875
153.650,304.143,945.390
107.153,356.700,908.072
40.119,331.576,862.056
29.154,461.704,806.322
-37.960,539.570,694.694
-73.878,583.612,593.914
-96.543,606.735,576.522
-124.454,586.596,665.602
-176.950,578.108,670.918
-208.799,532.126,774.325
-257.894,531.351,705.745
-337.578,523.429,675.143
-337.669,490.212,715.132
-310.943,460.295,733.062
-303.230,418.609,861.481
-318.319,416.833,750.729
-342.421,401.153,695.807
-403.820,351.718,811.657
-435.328,349.711,706.300
-516.792,366.316,672.757
-526.178,362.755,586.420
-578.156,360.621,661.734
-604.481,314.870,764.678
-612.235,329.134,757.688
-580.880,335.543,697.436
-588.508,321.392,740.047
-616.576,332.681,766.667
-573.831,344.521,653.067
-625.183,340.629,673.679
-632.277,309.845,685.597
-629.080,291.595,690.853
-636.031,273.170,656.258
-636.685,268.070,650.101
-683.184,258.772,649.839
-732.296,265.046,666.795
-698.560,273.048,658.328
-676.752,264.685,624.821
-722.447,246.492,676.682
-735.808,257.152,630.607
-715.292,240.694,663.156
-717.264,229.556,651.051
-711.524,225.902,651.783
-683.694,221.759,587.896
-762.946,219.040,659.741
-728.524,220.488,609.375
-712.439,243.623,606.370
-702.461,242.775,570.761
-741.222,217.079,693.306
-758.231,208.717,593.549
-727.447,213.819,677.969
-749.185,216.447,566.716
-776.355,215.337,695.367
-718.688,214.229,490.316
-769.505,217.285,676.286
-719.605,198.655,511.007
-677.187,192.685,656.376
-628.491,170.441,433.222
-707.831,199.959,842.626
-422.699,260.291,425.378
-401.035,186.689,659.647
-451.264,-80.585,131.693
-249.640,-85.742,216.788
-206.527,-95.638,-225.653
-124.640,3.810,150.593
124.364,65.012,-655.572
14.180,85.891,547.681
159.709,187.954,-1066.839
-424.862,374.542,2309.971
-1281.449,2875.310,10671.402
854.298,957.202,-629.293
-833.459,-443.191,804.368
1135.438,1031.144,741.604
288.058,-116.097,1504.216
541.299,71.360,491.316
536.817,-62.025,1321.013
395.252,105.308,583.915
449.553,62.690,1158.452
439.260,82.153,704.547
447.008,68.902,1058.126
434.794,65.337,756.775
452.807,50.335,1026.139
436.657,61.876,796.708
434.999,48.769,1003.641
446.183,54.613,814.535
439.752,48.710,982.152
454.552,53.310,827.973
449.565,65.456,953.060
515.760,98.846,838.756
433.211,71.766,930.629
