acc_x[mg],acc_y[mg],acc_z[mg]
995.52,50.264,181.536
986.248,58.56,155.672
1003.328,42.456,179.096
964.288,62.952,170.8
997.96,57.584,173.24
964.776,61.0,172.752
994.544,48.312,172.752
1010.16,49.776,165.432
968.192,60.024,186.904
984.296,63.44,180.072
980.392,61.0,178.12
981.368,58.56,172.752
988.688,63.928,184.464
964.776,67.832,194.712
959.896,68.808,175.68
1029.68,47.336,161.528
1012.6,48.8,172.264
953.552,75.152,189.344
967.216,69.784,191.784
995.52,58.072,182.024
1002.352,60.512,162.504
1000.4,59.048,183.488
952.576,82.472,184.952
978.44,64.416,203.496
984.784,71.248,191.296
979.904,63.928,170.8
1004.792,58.56,169.336
980.88,61.0,187.88
947.696,74.176,200.568
989.664,71.736,195.688
983.32,61.976,189.344
984.296,64.416,171.776
992.592,61.488,186.904
955.016,74.664,200.08
984.784,64.904,188.368
1005.768,67.832,168.848
980.88,67.832,181.536
966.728,78.08,186.904
998.936,61.976,184.952
977.464,63.928,183.488
974.536,69.296,190.808
987.712,66.368,189.344
996.008,61.976,163.48
980.392,62.464,186.416
976.0,68.808,183.0
979.904,65.392,180.56
992.592,60.024,171.776
967.704,65.88,184.952
979.904,67.344,193.248
982.832,69.784,182.512
987.712,72.224,170.8
999.424,60.024,185.44
958.432,70.272,187.88
1005.768,57.096,172.752
969.656,67.832,179.096
991.616,61.488,182.512
981.856,63.44,178.608
988.2,66.368,172.752
972.096,64.904,183.0
995.032,63.44,183.0
982.832,61.976,167.872
973.072,70.76,193.248
987.712,68.808,176.168
975.024,66.368,179.096
982.832,63.928,181.048
989.176,64.416,185.44
974.048,67.832,179.096
982.344,66.856,189.344
976.488,69.784,174.704
991.128,68.808,180.56
980.88,65.392,183.976
971.608,66.856,181.048
986.248,61.488,190.32
964.776,75.64,186.416
993.08,73.2,178.608
982.344,63.44,172.264
985.76,63.928,168.36
987.712,66.856,183.976
965.752,74.664,183.488
991.128,62.464,173.24
992.592,62.952,170.8
976.488,64.904,187.392
976.0,73.688,185.44
976.0,76.128,183.976
988.2,67.344,178.12
989.176,63.44,159.576
982.344,65.88,185.44
978.44,72.712,177.632
988.688,66.856,177.632
973.56,66.368,190.808
996.496,66.368,188.856
985.272,70.272,176.168
971.12,70.76,187.88
968.68,75.152,197.152
994.544,64.904,188.368
998.936,63.928,173.24
964.776,71.736,194.224
982.832,75.64,193.736
981.856,69.296,183.488
986.248,68.808,182.024
973.56,74.664,193.248
981.856,69.784,189.832
995.52,67.832,179.096
977.952,66.368,183.0
964.288,74.664,195.2
985.76,66.856,182.512
981.368,71.248,186.416
976.0,68.808,202.032
985.76,66.368,191.784
982.832,71.248,187.392
966.728,76.128,192.76
988.2,65.392,182.024
992.592,65.88,194.224
969.168,76.616,181.536
980.392,70.76,194.712
979.904,71.248,191.296
968.192,75.64,201.056
983.808,75.152,188.856
983.32,68.32,195.688
970.632,77.592,215.208
970.144,71.736,192.76
976.488,67.832,184.464
995.52,62.464,188.856
984.784,71.736,196.176
978.928,75.152,187.392
989.664,62.952,189.832
973.072,77.592,209.84
984.296,77.592,197.152
982.344,67.344,198.128
974.048,74.176,196.176
983.32,70.272,199.104
995.52,65.392,194.224
966.728,72.712,208.864
965.264,79.056,200.08
990.152,62.464,213.744
970.632,71.248,195.688
974.536,86.376,214.72
969.168,73.2,212.28
992.592,71.736,206.912
958.92,76.616,205.448
985.272,73.2,203.008
983.808,70.272,203.984
964.288,67.344,219.6
974.536,74.664,214.232
987.712,75.64,223.504
968.192,82.96,217.648
987.712,70.76,217.16
981.368,79.544,226.432
964.288,87.84,235.704
959.896,101.504,240.584
967.704,90.28,236.68
993.08,79.056,224.968
981.368,91.744,243.512
951.112,92.232,264.984
956.968,98.088,242.536
948.672,112.24,254.248
995.52,102.48,262.056
951.6,106.384,252.784
959.896,101.016,278.16
946.72,113.704,271.328
947.208,122.976,276.208
970.632,116.632,250.832
919.88,120.536,265.472
930.128,100.04,331.84
1002.352,99.064,258.152
878.4,140.544,293.288
956.48,131.272,273.28
995.032,115.168,260.104
929.152,119.072,290.36
943.792,109.312,290.848
993.08,113.704,264.496
919.392,130.296,276.208
911.584,124.44,274.744
953.552,118.584,324.032
959.896,88.816,330.376
908.168,132.736,305.976
935.496,112.24,272.792
1006.744,86.864,315.248
916.952,113.216,316.224
951.112,116.632,301.584
940.864,94.672,319.152
978.44,75.64,311.832
952.576,108.824,322.08
912.072,124.928,332.816
938.424,122.0,340.624
934.52,117.12,350.384
937.448,109.8,338.184
928.664,113.704,336.232
932.568,122.976,337.208
944.28,120.536,329.888
933.544,121.512,334.28
919.392,123.952,353.8
918.904,118.584,349.896
932.568,122.0,337.696
958.92,106.384,347.944
910.608,125.904,332.816
958.92,117.608,338.672
925.736,120.048,347.456
938.912,121.024,333.792
941.84,118.096,340.624
939.4,114.192,318.664
966.728,102.968,345.992
942.816,113.704,396.256
978.44,122.0,405.528
951.6,124.928,440.664
965.264,104.432,392.84
982.832,167.384,458.232
1188.28,73.688,566.568
1299.056,129.32,397.72
1226.344,117.608,397.232
1122.888,201.056,440.176
1190.232,153.232,466.04
1197.552,192.272,319.64
1013.088,233.752,199.592
1062.376,229.36,200.08
1029.192,255.712,154.696
934.52,312.32,160.064
903.288,367.952,93.208
866.2,316.224,47.824
823.744,441.64,30.744
729.56,518.744,-11.224
644.648,564.128,-64.416
559.248,598.776,-81.496
609.512,603.168,-103.456
661.24,584.136,-129.32
677.832,580.232,-178.608
757.864,534.848,-203.496
746.64,529.968,-241.072
656.36,529.968,-307.44
709.552,509.96,-351.36
707.112,478.728,-324.52
757.376,454.328,-309.392
866.688,414.8,-303.536
759.816,417.728,-315.736
683.688,408.456,-337.696
786.168,366.0,-378.688
775.92,344.04,-428.464
671.0,357.704,-453.352
669.536,367.464,-542.168
568.032,361.12,-512.4
673.928,363.072,-592.92
750.056,317.688,-591.944
772.016,320.616,-619.272
719.312,340.624,-593.896
695.888,324.52,-572.424
773.968,325.496,-608.048
740.296,333.304,-606.096
655.384,346.968,-576.816
664.656,340.624,-618.296
692.472,316.712,-639.28
684.176,296.216,-623.176
682.224,281.576,-636.84
642.208,269.864,-634.4
657.824,266.448,-641.232
644.16,258.152,-696.376
671.976,264.984,-726.632
660.752,272.792,-712.968
625.616,269.376,-666.12
659.776,250.832,-710.04
659.776,250.832,-729.56
634.888,254.736,-734.44
660.752,238.144,-710.528
659.776,226.432,-716.872
643.672,230.824,-719.8
602.68,216.672,-670.512
629.52,226.432,-750.544
642.208,211.792,-744.688
616.832,232.776,-727.608
565.592,245.464,-695.888
622.688,239.608,-719.8
645.136,219.6,-724.68
650.992,203.984,-775.92
619.272,218.624,-722.24
631.96,208.864,-737.856
624.64,223.504,-772.992
617.808,207.888,-752.496
556.32,220.576,-729.072
594.872,212.28,-761.28
615.368,204.472,-734.44
549.488,187.392,-678.808
547.048,188.856,-633.424
623.176,158.112,-686.616
711.992,253.272,-623.664
520.208,228.384,-379.176
478.24,200.08,-394.792
352.336,-132.736,-492.88
-12.688,-41.48,-223.504
-93.208,-133.712,-249.856
-203.008,-24.888,-156.648
-204.472,42.944,-2.44
-162.016,55.632,92.72
-92.72,119.072,91.744
-15.128,196.664,1.464
-108.336,231.312,-56.12
12627.488,2531.744,-1763.144
1353.712,2142.32,693.448
127.368,-520.208,-159.576
391.376,330.864,-383.568
1503.528,876.936,1443.016
946.232,-231.312,-48.312
834.968,113.704,729.072
1073.6,-70.272,456.768
813.984,62.464,465.064
940.376,100.528,396.744
898.896,56.608,465.064
907.68,84.424,432.856
880.84,70.272,448.96
911.096,58.56,433.344
894.016,56.608,452.864
908.656,56.12,441.64
907.68,55.632,429.928
901.824,50.264,445.544
901.824,52.704,440.664
908.168,49.288,445.056
888.16,55.144,453.352
901.336,61.0,447.984
884.256,105.896,515.328
892.064,67.344,455.304
883.768,92.232,451.4
887.672,61.488,505.08
866.688,61.488,416.752
874.496,79.544,456.768
882.304,65.88,409.432
888.648,88.816,458.72
896.944,70.272,480.68
889.136,45.872,461.648
883.28,59.048,482.144
876.936,78.08,470.432
891.088,61.488,481.168
874.496,71.736,483.12
868.152,92.72,498.248
884.744,88.816,477.264
874.984,75.64,476.776
888.16,80.52,476.288
885.232,76.616,461.648
889.624,74.664,460.672
886.208,71.248,468.968
882.304,70.76,464.088
887.672,74.176,462.136
885.72,78.08,466.528
885.72,71.736,470.432
888.16,69.296,468.48
890.112,68.32,461.648
886.696,69.296,470.432
883.768,61.488,469.456
885.72,70.272,463.112
886.696,71.248,472.872
882.792,73.2,467.992
886.696,78.08,466.528
884.256,79.544,463.6
885.232,78.08,464.576
894.992,67.832,466.04
886.696,55.632,466.04
889.136,53.68,474.336
891.576,68.32,464.088
889.624,71.736,461.648
894.504,70.272,459.208
894.992,76.616,455.304
889.624,73.688,459.208
889.136,71.736,467.992
886.696,68.32,466.04
886.208,58.56,470.432
890.112,68.808,465.552
899.872,64.904,452.376
891.576,71.736,451.888
890.6,72.224,451.888
891.576,68.32,451.4
893.528,65.88,461.648
884.744,65.392,459.696
891.576,67.832,460.672
892.064,73.688,462.136
