acc_x[mg],acc_y[mg],acc_z[mg]
162.232,49.812,904.706
166.200,53.434,1027.394
175.740,49.509,965.508
171.021,62.898,995.211
174.412,58.012,967.436
170.155,51.044,997.120
170.815,49.919,999.109
186.516,63.869,971.010
177.311,61.175,986.204
174.865,59.709,977.670
182.870,62.565,990.431
194.395,70.082,956.338
165.437,61.254,986.672
167.655,42.603,1035.148
184.330,71.524,958.727
194.996,69.252,969.325
173.659,59.299,994.836
170.672,57.591,1008.490
185.370,73.343,969.695
198.244,72.345,966.919
193.657,66.311,988.299
166.757,65.920,980.957
176.843,55.189,1006.872
196.604,71.491,949.873
198.685,71.632,982.004
187.039,64.523,983.225
173.763,61.205,989.636
194.003,68.117,977.100
196.197,70.341,963.827
171.275,64.792,1009.515
180.219,70.677,976.927
187.739,74.316,975.757
182.869,60.547,994.508
188.134,68.363,969.863
190.284,67.057,987.455
167.434,62.277,992.674
185.588,63.237,981.283
182.656,69.637,973.317
174.813,60.094,992.044
179.877,65.400,972.382
194.847,66.206,978.853
177.402,72.660,981.414
175.709,65.661,997.718
189.766,65.734,974.418
176.038,62.122,986.728
177.270,64.113,984.770
183.917,63.267,980.684
173.740,63.643,991.582
179.215,66.991,973.231
183.182,62.469,991.757
171.856,63.609,981.593
189.908,70.034,977.722
174.841,68.315,982.997
181.915,64.348,977.625
182.790,64.403,988.562
182.653,67.196,977.086
185.017,67.619,978.726
175.559,69.949,983.155
184.011,66.587,987.305
181.343,66.046,972.801
189.347,63.196,981.440
185.289,75.965,971.294
175.739,69.276,992.343
168.932,62.112,980.411
179.037,67.127,990.293
185.788,72.532,966.869
168.980,62.916,994.504
179.064,62.757,985.185
186.858,70.143,975.122
185.151,76.471,976.074
175.486,67.854,986.767
164.845,62.850,989.217
186.284,69.459,978.181
173.338,70.269,985.815
190.009,65.046,978.108
187.319,67.716,991.596
177.862,69.183,985.152
192.806,73.793,964.850
194.477,69.836,984.766
174.750,62.373,999.880
192.311,72.336,969.068
192.835,74.369,981.362
180.255,68.027,984.890
189.191,72.380,979.491
192.112,72.251,976.801
178.676,66.065,996.696
186.507,69.573,971.181
192.190,71.715,972.632
180.194,68.116,986.785
201.500,71.014,974.613
190.711,65.167,986.489
190.439,74.073,977.991
187.184,72.039,971.730
188.536,63.649,997.404
187.137,74.564,971.733
189.792,72.019,980.353
196.338,71.050,975.909
196.113,77.561,973.138
189.690,69.581,986.782
212.373,75.211,972.863
195.164,73.021,968.857
182.878,65.739,981.489
194.007,64.736,994.147
191.207,76.639,978.218
187.899,64.641,987.613
207.930,76.592,975.806
196.942,75.457,983.741
198.003,68.503,979.585
196.678,74.561,975.764
197.684,64.179,996.719
203.182,74.193,965.947
207.150,75.338,972.328
204.879,62.300,984.833
204.574,83.036,968.976
216.469,77.111,974.020
204.951,70.814,984.142
206.657,77.157,965.194
200.653,71.096,988.755
214.083,69.005,970.999
217.163,71.057,970.015
220.589,78.776,986.543
218.767,78.538,969.848
218.151,73.553,991.190
234.620,83.958,967.883
237.713,99.496,961.852
239.126,90.540,965.846
222.427,80.503,997.081
260.162,94.083,964.313
249.107,93.047,954.776
252.136,110.565,950.213
258.025,103.911,988.188
261.352,104.987,951.807
274.049,103.532,960.064
277.997,122.519,937.518
252.611,117.034,974.391
273.448,120.514,913.791
315.717,95.090,958.803
262.585,116.060,956.941
294.924,142.059,895.575
251.542,114.718,1013.661
296.075,119.977,916.560
279.464,106.932,970.600
270.965,122.489,962.072
272.434,128.207,907.993
310.696,119.170,940.447
335.408,94.297,965.583
292.342,132.224,895.367
286.845,97.326,983.432
323.768,99.204,954.421
301.231,121.371,932.390
318.298,91.685,951.245
312.077,81.402,974.728
328.184,118.715,932.619
336.045,123.958,923.042
350.035,118.221,940.606
338.434,109.850,933.779
337.069,115.970,929.290
334.439,122.904,938.242
329.901,120.291,939.512
350.310,123.449,923.335
350.002,120.474,914.232
339.159,117.260,946.604
345.039,112.066,935.777
330.454,126.060,934.038
350.075,114.385,943.396
332.765,125.347,929.386
339.870,113.328,945.940
316.893,114.435,945.537
385.224,100.075,962.017
399.365,131.379,955.553
442.324,109.095,972.679
385.153,133.427,943.988
529.066,127.915,1063.034
477.532,93.151,1272.547
371.381,134.580,1257.781
454.712,178.499,1115.135
439.625,167.378,1219.940
259.971,205.123,1112.849
192.025,241.720,1024.453
172.583,235.561,1053.918
148.356,327.006,931.229
87.932,345.078,898.745
35.193,355.756,850.924
14.301,500.722,773.154
-59.347,551.307,657.177
-79.698,602.592,565.455
-109.459,595.746,621.604
-145.609,586.291,666.100
-200.147,554.415,722.424
-225.488,525.184,762.502
-313.154,533.186,659.104
-344.245,500.554,715.177
-319.832,472.328,708.897
-300.934,427.844,837.177
-316.015,414.668,796.668
-332.793,408.981,679.114
-396.152,357.999,806.225
-429.683,347.198,721.556
-510.825,366.069,673.085
-527.343,362.840,591.309
