acc_x[mg],acc_y[mg],acc_z[mg]
35.094,-12.833,916.131
38.165,-12.211,1028.648
36.622,-13.723,982.06
38.193,-16.707,1010.188
35.472,-13.571,989.066
34.786,-14.409,1006.149
37.674,-13.003,992.749
33.869,-11.997,1005.85
34.128,-14.642,996.488
37.372,-12.887,1001.058
37.265,-12.783,997.843
34.272,-16.5,1001.125
32.875,-14.879,993.465
32.276,-10.897,998.102
37.486,-11.34,995.76
35.655,-14.642,1000.597
36.071,-14.01,997.208
37.054,-11.705,1000.684
30.555,-14.946,995.691
37.566,-15.71,997.809
35.078,-13.173,997.756
34.221,-17.321,999.272
37.794,-15.269,996.706
31.365,-14.086,999.527
33.322,-15.307,996.146
34.256,-14.376,998.446
34.09,-11.581,998.511
36.145,-13.394,998.112
36.789,-14.827,999.323
34.234,-13.702,998.245
35.356,-14.879,995.551
34.882,-12.512,998.986
33.577,-17.127,995.505
33.236,-11.564,995.45
37.122,-11.634,999.632
34.521,-15.334,997.111
36.67,-11.231,1000.762
37.09,-14.778,995.114
32.325,-17.494,1000.209
35.531,-13.849,999.648
37.771,-13.918,999.639
34.93,-13.799,1001.045
34.126,-11.702,993.151
37.024,-13.994,998.039
38.603,-9.322,994.068
35.34,-17.176,996.877
38.19,-11.858,998.694
36.118,-14.807,995.994
34.817,-13.634,1001.161
33.892,-13.757,997.457
33.613,-14.888,996.609
34.223,-15.754,998.654
34.491,-13.975,998.119
37.838,-16.863,999.543
32.356,-13.282,996.273
35.488,-14.125,999.562
38.632,-12.434,997.765
34.649,-14.17,994.496
38.207,-13.363,997.711
31.658,-15.572,997.348
35.944,-13.647,1000.93
34.3,-12.492,1000.167
34.631,-14.199,1000.012
37.537,-12.741,997.786
37.585,-12.035,1000.932
38.945,-14.445,998.162
34.117,-14.174,997.665
35.003,-15.249,995.717
36.349,-13.854,997.348
35.947,-15.199,996.042
39.501,-12.002,996.906
36.095,-15.07,1002.147
37.228,-13.982,995.959
33.359,-12.259,1000.401
36.923,-11.939,996.83
33.473,-15.454,989.041
39.053,-13.952,1000.37
36.846,-14.159,998.512
35.91,-9.888,999.539
34.631,-8.087,1000.119
33.475,-11.777,996.697
35.726,-12.961,998.076
35.115,-13.104,999.53
34.374,-15.705,999.553
37.87,-13.028,996.769
33.315,-14.84,996.853
37.943,-13.865,998.46
39.863,-9.522,1000.532
34.846,-12.525,998.748
32.408,-12.746,997.107
36.046,-13.224,1001.096
35.373,-14.124,1003.024
33.329,-12.498,998.35
38.586,-12.833,997.595
33.524,-13.386,994.087
35.814,-12.102,997.578
37.788,-11.356,997.214
37.617,-14.644,998.291
33.468,-15.736,997.961
34.332,-15.954,998.579
35.302,-13.548,1001.048
33.094,-13.527,993.474
35.296,-12.88,997.438
32.957,-13.081,994.864
38.234,-11.456,996.834
34.956,-12.474,997.808
38.725,-13.029,998.296
31.625,-14.974,997.051
36.241,-13.307,999.297
33.701,-18.414,997.948
31.453,-12.121,996.628
34.858,-11.816,1000.925
38.685,-17.415,998.868
35.819,-11.422,997.736
32.612,-9.32,1000.801
34.269,-15.015,996.096
37.155,-14.638,1001.707
35.545,-9.982,999.742
36.172,-13.785,998.862
35.51,-12,1000.94
38.439,-15.916,999.041
37.847,-14.071,998.064
36.108,-11.033,1001.165
30.818,-13.049,1000.174
35.394,-14.537,1000.999
34.199,-15.801,998.178
35.144,-9.574,1002.646
33.334,-17.289,995.126
35.396,-14.33,998.247
33.97,-13.899,994.702
36.958,-10.224,991.936
33.078,-9.98,998.254
32.067,-12.06,997.244
41.431,-17.184,998.554
36.295,-14.204,996.337
38.411,-14.637,1003.058
32.795,-11.238,1002.13
38.866,-13.77,999.043
30.779,-18.99,996.293
38.911,-16.764,995.216
36.232,-15.221,997.072
31.504,-13.549,996.43
39.179,-14.703,997.917
35.936,-13.933,992.936
35.732,-12.215,995.434
36.939,-14.009,996.562
32.267,-18.328,1001.634
36.847,-9.491,998.256
39.389,-11.985,997.213
37.966,-13.927,1001.606
35.721,-13.774,998.591
31.783,-12.446,1003.944
38.259,-17.405,999.436
33.64,-10.788,998.092
36.303,-14.342,996.963
37.446,-13.476,1000.853
40.07,-13.23,1001.866
36.637,-16.459,996.853
32.503,-15.197,995.797
37.828,-14.831,997.217
36.639,-10.634,993.91
38.904,-10.705,1001.115
37.729,-11.738,999.628
35.478,-17.213,997.367
34.276,-15.85,1000.062
35.777,-15.692,995.048
34.394,-14.131,996.02
35.348,-10.47,1000.071
31.144,-15.996,998.551
33.733,-15.708,996.596
37.369,-16.204,999.88
37.835,-14.502,999.141
35.036,-11.16,1000.565
36.073,-13.698,997.193
37.529,-12.954,997.669
33.056,-10.022,1002.527
37.474,-14.297,996.601
35.177,-13.588,1000.843
34.018,-10.18,997.557
32.702,-19.568,997.902
33.851,-12.459,999.547
37.324,-14.249,1000.627
38.702,-14.873,995.952
40.272,-20.328,994.076
34.844,-12.57,993.096
34.401,-17.45,998.375
37.422,-14.818,990.633
35.467,-15.913,987.94
36.934,-15.16,991.644
38.58,-20.078,991.542
33.937,-16.01,996.758
36.247,-14.336,996.559
31.196,-13.357,1001.395
32.918,-15.917,999.387
33.024,-11.655,998.133
38.136,-14.926,998.521
32.894,-13.712,1004.696
40.804,-17.21,998.583
29.327,-11.996,997.216
41.266,-14.928,995.097
34.183,-13.362,1002.032
37.641,-17.238,992.778
22.815,-14.806,998.651
44.848,-14.887,990.506
25.828,-14.734,1005.727
47.593,-17.928,987.685
21.131,-11.754,1006.236
50.54,-17.27,987.746
18.151,-9.14,1005.598
55.032,-18.33,984.649
12.639,-7.275,1014.673
68.384,-24.585,979.206
-5.011,19.802,1028.992
203.24,3.096,950.789
-26.68,131.363,1105.049
443.28,90.918,513.733
-65.085,-16.717,878.894
58.086,-36.551,1002.8
59.663,17.977,901.178
35.701,33.424,977.563
-28.535,-40.36,1005.275
-35.081,119.727,1113.047
-103.704,3.025,1025.6
110.223,-6.944,982.387
4.342,-186.739,1028.668
30.179,44.754,933.519
-204.855,-123.653,1248.264
484.44,-305.626,1237.731
987.592,-159.203,845.175
-698.479,-121.082,1353.008
69.572,-366.73,1695.103
175.186,-252.807,1429.017
134.393,-184.609,1428.842
408.398,63.133,789.602
606.095,127.829,1358.737
-149.906,228.201,1070.581
172.69,429.993,676.564
-35.944,442.229,785.387
-10.436,631.379,186.625
86.635,549.085,64.517
-453.678,1032.972,-302.589
112.238,717.323,-340.593
-26.132,939.077,-192.71
6.032,864.247,-32.356
79.663,909.917,-198.387
-69.191,1036.461,117.405
230.795,845.164,-209.649
88.692,1013.514,216.141
-5.803,1045.786,157.365
308.492,907.503,55.688
-116.907,1130.004,398.087
278.401,895.493,-13.533
159.103,1000.192,109.161
97.541,987.083,153.729
196.162,935.134,23.905
31.963,1024.549,193.102
174.891,962.796,38.663
62.946,1033.858,147.098
115.723,990.849,87.627
168.162,981.189,92.485
79.391,1024.073,110.03
168.376,970.484,86.638
119.981,1003.476,90.179
135.629,958.631,123.865
155.082,974.904,92.416
-10.877,1051.506,117.834
165.436,963.883,46.659
36.02,1034.622,148.376
126.638,980.598,60.339
110.022,1005.24,98.419
116.505,981.697,82.645
136.359,985.043,23.478
77.538,1007.014,92.802
165.602,965.534,7.657
99.661,1002.242,141.008
108.705,998.444,62.398
105.507,994.676,85.749
54.909,1010.497,113.71
121.494,970.658,22.683
26.612,1002.789,-36.289
32.755,972.646,-130.095
45.038,917.167,-216.942
84.967,878.092,-225.226
57.385,901.618,-65.595
355.471,640.349,-28.148
90.671,738.837,302.993
29.703,712.133,282.838
227.941,578.65,554.355
76.84,548.983,661.16
