acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
35.673,-13.179,932.682,0.000,0.000,0.000
38.081,-12.090,1023.701,0.000,0.000,0.000
36.579,-13.501,984.842,0.000,0.000,0.000
38.230,-16.670,1008.357,0.000,0.000,0.000
35.930,-14.040,990.433,0.000,0.000,0.000
34.516,-14.002,1004.771,0.000,0.000,0.000
37.234,-13.812,993.907,0.000,0.000,0.000
35.434,-11.573,1003.835,0.000,0.000,0.000
32.837,-14.127,998.391,0.000,0.000,0.000
36.944,-13.854,1000.553,0.000,0.000,0.000
37.338,-12.074,997.257,0.000,0.000,0.000
36.027,-15.088,1002.414,0.000,0.000,0.000
32.879,-16.500,994.560,0.000,0.000,0.000
32.651,-12.554,997.270,0.000,0.000,0.000
33.776,-10.485,995.175,0.000,0.000,0.000
38.648,-12.730,999.735,0.000,0.000,0.000
33.738,-15.148,997.816,0.000,0.000,0.000
38.487,-12.805,999.860,0.000,0.000,0.000
33.887,-12.233,998.078,0.000,0.000,0.000
32.060,-15.836,996.800,0.000,0.000,0.000
37.950,-14.959,996.773,0.000,0.000,0.000
34.325,-13.485,999.276,0.000,0.000,0.000
34.730,-17.826,998.022,0.000,0.000,0.000
37.797,-14.547,997.639,0.000,0.000,0.000
30.613,-14.505,998.679,0.000,0.000,0.000
33.976,-14.994,996.664,0.000,0.000,0.000
33.761,-14.710,997.848,0.000,0.000,0.000
34.525,-11.302,999.205,0.000,0.000,0.000
35.500,-13.441,997.570,0.000,0.000,0.000
37.421,-14.647,999.563,0.000,0.000,0.000
34.025,-13.907,998.352,0.000,0.000,0.000
35.464,-14.707,995.886,0.000,0.000,0.000
34.803,-12.928,997.946,0.000,0.000,0.000
34.347,-15.638,997.426,0.000,0.000,0.000
32.433,-14.749,993.621,0.000,0.000,0.000
36.361,-9.177,999.732,0.000,0.000,0.000
35.734,-15.930,997.114,0.000,0.000,0.000
34.912,-12.009,999.972,0.000,0.000,0.000
38.129,-12.901,997.837,0.000,0.000,0.000
34.295,-16.423,995.945,0.000,0.000,0.000
32.822,-16.793,1001.864,0.000,0.000,0.000
37.449,-12.333,997.947,0.000,0.000,0.000
36.755,-15.413,1002.009,0.000,0.000,0.000
34.325,-11.691,997.742,0.000,0.000,0.000
34.554,-13.459,993.715,0.000,0.000,0.000
38.122,-12.137,998.027,0.000,0.000,0.000
37.794,-10.692,993.175,0.000,0.000,0.000
