acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
38.064,-13.664,998.936,0.000,0.000,0.000
37.576,-12.688,1000.888,0.000,0.000,0.000
36.600,-11.712,997.960,0.000,0.000,0.000
38.064,-17.080,999.424,0.000,0.000,0.000
37.088,-14.640,997.960,0.000,0.000,0.000
35.624,-14.640,997.960,0.000,0.000,0.000
34.160,-13.176,999.424,0.000,0.000,0.000
38.064,-14.640,998.448,0.000,0.000,0.000
35.136,-10.736,999.912,0.000,0.000,0.000
33.184,-14.152,1001.864,0.000,0.000,0.000
35.136,-14.152,998.936,0.000,0.000,0.000
38.064,-12.688,997.960,0.000,0.000,0.000
36.600,-12.688,1000.888,0.000,0.000,0.000
35.624,-16.104,999.424,0.000,0.000,0.000
32.208,-16.104,996.008,0.000,0.000,0.000
33.184,-12.688,996.008,0.000,0.000,0.000
32.696,-10.248,996.008,0.000,0.000,0.000
38.552,-12.200,998.448,0.000,0.000,0.000
35.624,-14.152,998.448,0.000,0.000,0.000
34.648,-15.128,999.424,0.000,0.000,0.000
39.528,-11.224,998.448,0.000,0.000,0.000
31.232,-13.664,999.424,0.000,0.000,0.000
33.672,-15.128,995.032,0.000,0.000,0.000
36.600,-16.104,998.448,0.000,0.000,0.000
36.600,-12.200,997.472,0.000,0.000,0.000
32.208,-17.568,999.912,0.000,0.000,0.000
38.552,-16.104,996.496,0.000,0.000,0.000
34.648,-14.152,998.936,0.000,0.000,0.000
30.256,-14.640,997.960,0.000,0.000,0.000
35.136,-15.128,996.984,0.000,0.000,0.000
32.696,-14.640,997.472,0.000,0.000,0.000
35.624,-11.712,999.912,0.000,0.000,0.000
33.672,-12.200,996.984,0.000,0.000,0.000
38.552,-15.128,999.424,0.000,0.000,0.000
34.648,-13.664,998.936,0.000,0.000,0.000
35.136,-14.640,997.960,0.000,0.000,0.000
34.648,-14.152,995.520,0.000,0.000,0.000
35.624,-13.176,998.448,0.000,0.000,0.000
33.672,-15.128,997.960,0.000,0.000,0.000
33.184,-16.104,993.080,0.000,0.000,0.000
34.160,-9.760,998.448,0.000,0.000,0.000
37.576,-12.200,998.448,0.000,0.000,0.000
34.160,-16.592,997.960,0.000,0.000,0.000
36.112,-9.760,999.912,0.000,0.000,0.000
38.064,-15.128,997.960,0.000,0.000,0.000
34.160,-14.640,995.032,0.000,0.000,0.000
32.696,-19.032,1002.840,0.000,0.000,0.000
36.112,-11.224,997.960,0.000,0.000,0.000
38.064,-15.616,1000.400,0.000,0.000,0.000
35.136,-13.176,1001.864,0.000,0.000,0.000
34.160,-12.200,994.544,0.000,0.000,0.000
35.136,-13.176,995.520,0.000,0.000,0.000
38.064,-12.688,996.984,0.000,0.000,0.000
38.552,-9.272,995.032,0.000,0.000,0.000
34.648,-18.056,995.032,0.000,0.000,0.000
38.552,-12.200,1001.864,0.000,0.000,0.000
36.600,-13.176,993.080,0.000,0.000,0.000
35.624,-15.616,1001.376,0.000,0.000,0.000
34.160,-12.200,998.448,0.000,0.000,0.000
34.160,-15.128,998.936,0.000,0.000,0.000
33.184,-13.664,995.032,0.000,0.000,0.000
