acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
998.936,-13.664,38.064,0.0,0.0,0.0
1000.888,-12.688,37.576,0.0,0.0,0.0
997.96,-11.712,36.6,0.0,0.0,0.0
999.424,-17.08,38.064,0.0,0.0,0.0
997.96,-14.64,37.088,0.0,0.0,0.0
997.96,-14.64,35.624,0.0,0.0,0.0
999.424,-13.176,34.16,0.0,0.0,0.0
998.448,-14.64,38.064,0.0,0.0,0.0
999.912,-10.736,35.136,0.0,0.0,0.0
1001.864,-14.152,33.184,0.0,0.0,0.0
998.936,-14.152,35.136,0.0,0.0,0.0
997.96,-12.688,38.064,0.0,0.0,0.0
1000.888,-12.688,36.6,0.0,0.0,0.0
999.424,-16.104,35.624,0.0,0.0,0.0
996.008,-16.104,32.208,0.0,0.0,0.0
996.008,-12.688,33.184,0.0,0.0,0.0
996.008,-10.248,32.696,0.0,0.0,0.0
998.448,-12.2,38.552,0.0,0.0,0.0
998.448,-14.152,35.624,0.0,0.0,0.0
999.424,-15.128,34.648,0.0,0.0,0.0
998.448,-11.224,39.528,0.0,0.0,0.0
999.424,-13.664,31.232,0.0,0.0,0.0
995.032,-15.128,33.672,0.0,0.0,0.0
998.448,-16.104,36.6,0.0,0.0,0.0
997.472,-12.2,36.6,0.0,0.0,0.0
999.912,-17.568,32.208,0.0,0.0,0.0
996.496,-16.104,38.552,0.0,0.0,0.0
998.936,-14.152,34.648,0.0,0.0,0.0
997.96,-14.64,30.256,0.0,0.0,0.0
996.984,-15.128,35.136,0.0,0.0,0.0
997.472,-14.64,32.696,0.0,0.0,0.0
999.912,-11.712,35.624,0.0,0.0,0.0
996.984,-12.2,33.672,0.0,0.0,0.0
999.424,-15.128,38.552,0.0,0.0,0.0
998.936,-13.664,34.648,0.0,0.0,0.0
997.96,-14.64,35.136,0.0,0.0,0.0
995.52,-14.152,34.648,0.0,0.0,0.0
998.448,-13.176,35.624,0.0,0.0,0.0
997.96,-15.128,33.672,0.0,0.0,0.0
993.08,-16.104,33.184,0.0,0.0,0.0
998.448,-9.76,34.16,0.0,0.0,0.0
998.448,-12.2,37.576,0.0,0.0,0.0
997.96,-16.592,34.16,0.0,0.0,0.0
999.912,-9.76,36.112,0.0,0.0,0.0
997.96,-15.128,38.064,0.0,0.0,0.0
995.032,-14.64,34.16,0.0,0.0,0.0
1002.84,-19.032,32.696,0.0,0.0,0.0
997.96,-11.224,36.112,0.0,0.0,0.0
1000.4,-15.616,38.064,0.0,0.0,0.0
1001.864,-13.176,35.136,0.0,0.0,0.0
994.544,-12.2,34.16,0.0,0.0,0.0
995.52,-13.176,35.136,0.0,0.0,0.0
996.984,-12.688,38.064,0.0,0.0,0.0
995.032,-9.272,38.552,0.0,0.0,0.0
995.032,-18.056,34.648,0.0,0.0,0.0
1001.864,-12.2,38.552,0.0,0.0,0.0
993.08,-13.176,36.6,0.0,0.0,0.0
1001.376,-15.616,35.624,0.0,0.0,0.0
998.448,-12.2,34.16,0.0,0.0,0.0
998.936,-15.128,34.16,0.0,0.0,0.0
995.032,-13.664,33.184,0.0,0.0,0.0
999.912,-17.08,34.648,0.0,0.0,0.0
997.472,-13.176,33.672,0.0,0.0,0.0
998.936,-16.104,36.6,0.0,0.0,0.0
999.424,-16.104,37.088,0.0,0.0,0.0
995.032,-12.688,31.232,0.0,0.0,0.0
1001.376,-14.64,36.112,0.0,0.0,0.0
996.984,-12.2,38.552,0.0,0.0,0.0
996.496,-13.664,35.624,0.0,0.0,0.0
994.056,-14.152,36.112,0.0,0.0,0.0
999.912,-13.176,37.576,0.0,0.0,0.0
995.52,-16.592,30.256,0.0,0.0,0.0
1003.328,-12.688,37.088,0.0,0.0,0.0
998.448,-13.176,34.16,0.0,0.0,0.0
1001.864,-13.176,34.16,0.0,0.0,0.0
997.472,-14.152,36.112,0.0,0.0,0.0
998.936,-12.2,38.064,0.0,0.0,0.0
1001.376,-11.712,37.088,0.0,0.0,0.0
997.472,-15.616,40.016,0.0,0.0,0.0
998.936,-12.688,33.672,0.0,0.0,0.0
995.032,-16.592,35.136,0.0,0.0,0.0
997.472,-13.176,35.136,0.0,0.0,0.0
996.008,-15.128,37.088,0.0,0.0,0.0
997.472,-14.64,35.136,0.0,0.0,0.0
995.032,-11.712,40.992,0.0,0.0,0.0
1004.304,-15.128,35.136,0.0,0.0,0.0
996.008,-14.152,38.064,0.0,0.0,0.0
998.448,-13.664,34.648,0.0,0.0,0.0
999.912,-11.224,34.16,0.0,0.0,0.0
996.496,-12.688,37.088,0.0,0.0,0.0
987.224,-15.616,33.184,0.0,0.0,0.0
1000.888,-13.664,38.064,0.0,0.0,0.0
998.448,-15.128,39.04,0.0,0.0,0.0
999.424,-11.224,34.648,0.0,0.0,0.0
998.936,-10.248,37.088,0.0,0.0,0.0
1001.376,-6.344,33.184,0.0,0.0,0.0
995.032,-14.152,34.16,0.0,0.0,0.0
999.424,-10.736,35.136,0.0,0.0,0.0
997.96,-14.64,35.624,0.0,0.0,0.0
1000.4,-13.176,34.648,0.0,0.0,0.0
998.936,-16.104,34.648,0.0,0.0,0.0
995.52,-12.688,39.04,0.0,0.0,0.0
998.936,-14.152,31.72,0.0,0.0,0.0
995.52,-16.104,38.064,0.0,0.0,0.0
1003.328,-8.296,39.528,0.0,0.0,0.0
996.496,-12.688,38.064,0.0,0.0,0.0
1001.376,-11.224,33.184,0.0,0.0,0.0
994.056,-14.152,32.696,0.0,0.0,0.0
1004.304,-12.2,36.112,0.0,0.0,0.0
1000.888,-14.64,36.112,0.0,0.0,0.0
1001.864,-13.176,32.696,0.0,0.0,0.0
996.008,-11.712,36.6,0.0,0.0,0.0
997.96,-14.152,37.576,0.0,0.0,0.0
993.08,-12.2,33.184,0.0,0.0,0.0
998.448,-13.176,35.624,0.0,0.0,0.0
997.472,-10.248,38.064,0.0,0.0,0.0
996.984,-14.152,37.576,0.0,0.0,0.0
999.912,-15.128,36.112,0.0,0.0,0.0
995.52,-16.104,32.696,0.0,0.0,0.0
1001.864,-15.616,34.648,0.0,0.0,0.0
998.448,-13.664,36.112,0.0,0.0,0.0
997.472,-13.176,31.72,0.0,0.0,0.0
992.104,-13.664,36.6,0.0,0.0,0.0
1000.888,-12.2,32.208,0.0,0.0,0.0
990.64,-13.664,35.624,0.0,0.0,0.0
1000.888,-10.248,37.576,0.0,0.0,0.0
995.52,-13.664,35.136,0.0,0.0,0.0
999.424,-11.712,38.552,0.0,0.0,0.0
997.96,-15.616,34.16,0.0,0.0,0.0
995.52,-13.176,32.208,0.0,0.0,0.0
1003.328,-15.128,37.576,0.0,0.0,0.0
992.592,-18.056,32.208,0.0,0.0,0.0
1002.352,-12.688,31.72,0.0,0.0,0.0
994.544,-9.76,34.16,0.0,0.0,0.0
1006.256,-18.056,37.576,0.0,0.0,0.0
991.616,-13.664,38.552,0.0,0.0,0.0
1003.816,-11.224,33.672,0.0,0.0,0.0
996.984,-8.296,33.184,0.0,0.0,0.0
998.448,-16.592,33.672,0.0,0.0,0.0
999.424,-14.152,37.576,0.0,0.0,0.0
1002.352,-11.712,35.624,0.0,0.0,0.0
997.472,-10.736,36.112,0.0,0.0,0.0
1000.4,-14.64,35.624,0.0,0.0,0.0
1000.4,-11.224,36.112,0.0,0.0,0.0
999.912,-16.592,38.064,0.0,0.0,0.0
996.984,-14.64,38.552,0.0,0.0,0.0
1001.376,-11.224,36.6,0.0,0.0,0.0
999.912,-12.2,33.672,0.0,0.0,0.0
1000.888,-13.176,30.744,0.0,0.0,0.0
1000.888,-15.128,36.6,0.0,0.0,0.0
997.472,-16.104,33.672,0.0,0.0,0.0
1003.816,-9.272,35.136,0.0,0.0,0.0
996.496,-15.128,34.16,0.0,0.0,0.0
996.496,-16.592,33.672,0.0,0.0,0.0
997.472,-14.152,35.624,0.0,0.0,0.0
995.032,-12.688,34.16,0.0,0.0,0.0
990.152,-11.712,36.112,0.0,0.0,0.0
999.912,-7.808,36.112,0.0,0.0,0.0
995.52,-13.176,27.816,0.0,0.0,0.0
999.912,-12.688,40.504,0.0,0.0,0.0
996.008,-19.032,38.064,0.0,0.0,0.0
998.448,-12.2,38.064,0.0,0.0,0.0
1001.864,-15.616,37.088,0.0,0.0,0.0
1004.304,-11.712,34.16,0.0,0.0,0.0
998.448,-11.224,36.112,0.0,0.0,0.0
998.936,-18.056,37.088,0.0,0.0,0.0
994.544,-18.056,29.28,0.0,0.0,0.0
996.008,-16.592,42.456,0.0,0.0,0.0
997.472,-15.616,34.16,0.0,0.0,0.0
995.52,-12.688,32.696,0.0,0.0,0.0
999.424,-15.616,35.624,0.0,0.0,0.0
