acc_x[mg],acc_y[mg],acc_z[mg]
49.411,72.406,884.938
33.944,99.073,989.376
11.753,100.734,1005.451
36.053,101.305,974.325
21.689,93.263,985.705
24.405,84.086,1031.827
42.267,70.162,1003.994
39.489,78.527,996.239
35.409,78.815,1012.960
50.542,67.388,982.276
49.672,67.393,982.380
41.156,57.304,1023.646
43.442,70.273,984.406
38.486,78.296,1003.355
41.215,61.519,997.313
43.285,61.423,1009.123
52.813,66.279,986.154
61.534,64.905,970.592
67.499,18.635,991.877
49.556,54.851,1022.297
62.055,39.759,1006.794
69.016,26.235,1013.837
51.471,48.121,1001.429
62.229,39.929,992.346
67.489,35.274,997.967
56.024,47.931,986.568
56.003,43.175,1012.006
65.808,27.855,1007.564
54.572,55.893,989.571
67.535,44.474,999.152
72.010,41.484,993.796
75.683,43.232,983.706
66.696,32.040,1000.284
62.563,37.149,997.085
61.930,36.917,974.451
50.393,39.590,1036.276
56.979,52.681,1005.825
67.498,44.581,1000.664
70.105,39.249,982.985
66.253,58.881,984.329
84.972,35.907,991.461
74.789,47.210,994.478
77.007,51.452,992.974
70.078,61.250,996.024
68.647,55.331,1003.342
77.306,44.402,998.913
75.376,49.662,990.479
73.862,55.743,985.161
73.632,41.709,990.551
62.760,51.453,998.949
62.949,70.467,981.609
58.723,66.370,999.851
62.703,47.417,1021.318
83.963,56.046,975.921
77.299,52.110,994.625
84.764,42.428,998.897
91.332,33.953,998.015
79.902,44.099,989.928
57.566,53.596,997.081
64.542,45.020,998.873
76.265,34.393,1004.063
81.444,36.764,1009.263
92.171,53.244,982.905
93.955,40.366,981.191
80.333,34.216,996.372
76.305,43.965,1000.256
75.662,54.679,1003.527
80.474,48.467,995.207
86.236,42.090,998.644
100.479,34.962,977.715
95.408,43.816,976.233
92.223,32.087,1009.645
96.742,36.391,982.829
83.522,46.983,1001.867
88.589,36.891,1002.709
87.144,33.482,1001.531
90.804,47.241,976.712
94.616,33.166,989.295
89.394,31.947,1015.774
85.502,47.224,994.226
79.879,43.296,1012.140
90.941,37.388,1003.718
85.448,44.455,984.451
88.869,39.933,980.008
86.336,37.379,999.246
101.349,25.642,993.166
90.658,37.340,1000.377
89.606,37.757,998.345
87.617,49.078,996.744
96.968,31.366,1006.379
98.343,38.684,973.034
86.253,55.733,967.971
89.975,19.404,1011.775
98.301,18.800,1014.256
87.573,36.360,1000.843
75.765,51.648,1002.566
82.985,36.847,999.186
87.645,44.299,990.136
95.946,37.592,985.656
98.138,26.968,995.650
92.176,33.659,999.049
95.746,42.976,994.508
82.895,48.549,989.748
81.317,47.023,988.792
90.395,40.795,988.511
84.490,46.492,999.685
96.122,34.114,1002.455
92.423,46.054,987.247
88.866,36.494,1019.375
97.888,35.871,992.981
102.878,25.905,990.599
101.881,49.657,971.430
95.046,50.443,988.556
88.585,36.722,1007.950
79.764,63.116,992.292
80.797,48.454,1000.363
88.054,40.216,1001.051
98.714,34.785,984.375
94.363,40.103,993.434
104.672,49.645,986.373
99.945,45.311,1002.482
112.668,41.214,989.958
113.708,46.337,977.959
99.332,52.327,996.835
96.751,42.007,1009.172
87.204,51.292,1013.038
84.317,66.050,999.177
94.038,45.605,995.374
103.686,40.679,992.431
98.355,43.939,981.232
93.661,56.515,987.551
90.283,60.594,1011.714
105.078,55.568,983.785
87.135,80.719,984.111
116.318,54.706,972.277
114.723,32.426,997.049
90.524,23.013,1021.680
70.684,36.421,1033.129
64.190,60.808,1021.829
80.036,33.025,988.941
66.020,71.413,984.763
86.958,45.437,974.296
73.688,59.363,983.558
78.686,35.831,993.590
81.759,59.048,959.627
78.046,23.779,983.638
74.379,-19.291,923.545
71.967,17.764,1076.322
-11.382,24.655,1124.652
89.752,37.495,914.317
96.033,28.910,1062.074
99.782,59.193,940.223
