acc_x[mg],acc_y[mg],acc_z[mg]
50.023,73.753,901.496
35.491,97.953,981.589
10.764,101.227,1008.578
34.849,101.203,977.874
24.597,95.009,976.823
21.167,86.087,1030.581
39.312,72.622,1009.968
42.322,74.203,996.434
34.020,82.338,1006.250
45.314,69.266,1002.715
52.860,68.335,964.090
43.281,61.221,1021.215
42.371,60.488,997.612
41.493,79.397,993.142
38.415,69.728,1000.639
42.641,60.453,1003.176
45.510,61.530,1003.539
56.634,71.109,978.344
64.095,50.346,971.230
64.906,19.586,1004.439
47.232,62.467,1019.707
67.782,29.437,1007.014
65.115,32.344,1013.512
52.155,46.336,999.779
62.595,41.014,991.806
67.930,33.615,998.834
55.435,49.649,985.191
56.011,42.529,1012.420
65.615,28.616,1008.441
55.542,51.955,990.691
64.423,49.721,997.023
72.738,37.672,996.883
74.122,47.222,984.099
71.441,31.608,993.463
60.564,37.042,1006.074
65.485,35.936,971.971
52.449,38.876,1013.880
53.609,45.302,1029.349
61.662,54.534,993.156
72.255,34.083,1000.122
64.878,53.326,973.195
75.023,49.557,994.900
83.665,36.490,986.832
72.975,50.806,1000.164
77.559,53.118,987.299
66.930,62.598,1003.165
71.434,51.573,998.845
77.320,44.308,1001.474
75.068,51.365,985.547
73.818,54.881,988.450
73.316,40.995,988.215
62.235,52.494,1001.717
63.115,70.312,978.955
58.977,67.231,1000.392
61.175,47.894,1021.052
82.840,54.757,980.870
78.584,54.100,987.906
81.892,43.751,1002.632
91.550,35.601,995.512
84.783,38.803,994.507
63.190,53.894,990.409
58.440,47.894,1002.963
74.099,39.232,996.731
78.059,31.398,1013.875
87.589,48.426,993.568
94.947,48.844,978.824
88.648,35.190,987.178
76.466,36.601,1000.642
76.699,49.943,1000.341
76.003,53.410,1003.154
82.656,46.813,992.997
88.889,39.104,998.733
102.598,36.546,969.413
92.266,43.399,985.819
94.349,30.464,1007.258
95.091,38.373,982.017
83.464,46.869,1003.661
88.642,36.256,1002.016
87.250,33.666,1002.081
90.379,46.847,977.064
94.938,35.014,986.586
89.684,29.832,1015.486
86.764,46.369,996.772
79.368,44.744,1006.956
89.077,37.733,1010.452
87.422,42.457,986.595
87.221,42.464,980.168
86.960,38.135,990.969
94.661,30.182,1000.309
99.388,29.456,991.543
85.607,40.638,1006.327
91.804,40.469,989.848
87.208,47.918,1007.820
103.519,23.407,993.048
90.553,54.758,965.493
87.938,42.192,979.403
91.075,16.442,1021.571
99.729,20.924,1005.959
81.401,43.288,1003.529
77.958,48.794,999.874
82.593,37.111,1000.726
89.516,44.417,986.410
95.535,36.831,988.286
98.813,26.524,993.876
91.433,33.953,1001.127
96.331,42.577,992.691
83.850,48.127,992.002
80.044,48.261,986.525
90.565,40.009,990.626
84.439,47.441,993.933
93.499,35.198,1008.410
95.140,43.123,983.619
88.079,40.814,1013.626
94.476,35.116,1004.373
101.916,29.965,988.700
102.940,34.427,982.336
98.668,59.503,972.004
91.697,36.042,1005.776
84.543,50.675,999.456
78.502,60.735,993.580
83.231,42.801,1003.878
92.118,38.898,994.788
98.663,34.317,984.688
94.922,43.600,993.946
106.459,49.770,986.051
98.619,43.795,1006.037
116.743,41.661,983.827
110.253,47.014,981.132
100.352,52.566,996.318
95.191,41.055,1011.223
88.456,52.032,1011.477
83.022,65.399,1001.159
94.002,48.183,993.864
102.538,39.047,994.411
