acc_x[mg],acc_y[mg],acc_z[mg]
51.240,78.568,977.464
41.968,94.184,938.912
8.784,101.992,1027.728
28.304,101.504,981.856
31.720,98.576,973.560
22.448,93.208,991.128
21.472,82.472,1037.000
42.944,73.200,1003.816
40.504,72.224,1000.400
36.600,83.448,998.936
38.064,73.688,1015.528
53.680,66.368,971.608
48.312,69.296,982.832
42.944,55.632,1026.752
41.480,66.368,990.640
42.944,75.152,995.032
36.600,77.104,999.912
43.432,55.632,1001.376
41.968,66.368,1006.744
51.728,59.536,993.080
58.560,76.128,971.608
65.880,36.112,975.512
64.416,23.424,1006.744
46.360,60.024,1020.896
63.928,39.528,1007.232
69.784,22.448,1012.600
56.120,45.872,1007.720
53.680,42.944,995.032
66.856,40.504,991.616
65.880,32.208,1001.864
56.608,51.728,979.904
53.192,43.920,1014.064
66.368,29.768,1009.184
58.560,40.016,999.424
57.584,58.072,987.712
68.320,41.480,1003.328
73.688,40.504,990.640
73.200,46.360,987.712
73.688,32.696,987.712
59.536,34.648,1012.600
66.368,38.064,976.976
58.072,35.624,987.712
51.728,41.480,1030.168
54.168,48.312,1021.384
64.904,53.680,988.200
70.272,33.672,1006.256
68.320,49.288,968.680
66.856,57.096,994.056
87.352,34.648,988.200
74.664,45.872,993.080
76.616,49.776,998.936
74.664,56.608,985.272
67.832,61.488,1007.720
69.784,53.192,995.520
77.592,44.408,1005.280
76.128,47.336,988.200
73.200,57.096,987.224
75.640,47.824,987.224
69.296,42.456,992.104
63.440,53.680,1000.888
60.512,72.224,979.416
63.440,67.344,993.080
53.680,53.680,1025.776
79.544,47.336,994.056
79.544,60.024,979.904
81.008,47.824,992.592
80.520,44.408,1006.256
95.648,33.184,990.152
81.984,39.528,1000.888
71.248,50.752,983.808
52.704,52.704,1005.280
70.272,41.968,995.520
74.176,36.112,1004.304
81.496,32.208,1013.576
87.840,52.216,987.712
95.648,47.336,982.344
90.280,37.576,980.880
78.080,33.672,1003.816
77.104,44.896,994.544
74.664,53.680,1009.184
79.544,51.240,993.080
81.496,45.872,1000.400
92.232,38.064,991.616
99.552,36.600,977.952
98.088,42.944,970.632
87.840,35.624,1014.552
101.016,30.256,986.736
86.864,45.384,989.664
85.400,44.408,1006.744
88.328,35.136,999.424
87.352,33.672,1005.768
89.792,45.384,976.488
94.184,41.480,981.856
92.720,25.864,1005.768
87.840,40.016,1012.112
84.424,45.872,993.080
80.032,45.384,1011.624
88.816,35.136,1010.648
89.792,44.408,984.784
83.448,41.480,984.784
91.744,40.504,979.904
83.936,34.648,1005.280
104.920,26.352,990.640
90.768,34.648,997.960
89.304,38.552,1005.280
89.304,42.944,988.200
88.328,46.360,1008.696
99.064,30.744,997.472
99.064,34.160,978.440
85.888,63.928,959.896
89.304,24.400,999.912
92.720,20.008,1019.920
99.552,19.032,1006.256
82.960,42.944,1003.328
76.128,51.240,999.912
82.472,37.088,1002.840
84.424,43.432,991.616
93.696,40.504,987.224
95.648,36.600,987.224
99.552,22.936,997.960
90.280,37.088,998.448
96.624,39.528,996.496
88.816,47.824,989.664
77.104,49.776,990.640
87.352,42.944,986.248
88.328,42.456,992.104
85.400,46.360,996.496
