acc_x[mg],acc_y[mg],acc_z[mg]
977.464,78.568,51.24
938.912,94.184,41.968
1027.728,101.992,8.784
981.856,101.504,28.304
973.56,98.576,31.72
991.128,93.208,22.448
1037.0,82.472,21.472
1003.816,73.2,42.944
1000.4,72.224,40.504
998.936,83.448,36.6
1015.528,73.688,38.064
971.608,66.368,53.68
982.832,69.296,48.312
1026.752,55.632,42.944
990.64,66.368,41.48
995.032,75.152,42.944
999.912,77.104,36.6
1001.376,55.632,43.432
1006.744,66.368,41.968
993.08,59.536,51.728
971.608,76.128,58.56
975.512,36.112,65.88
1006.744,23.424,64.416
1020.896,60.024,46.36
1007.232,39.528,63.928
1012.6,22.448,69.784
1007.72,45.872,56.12
995.032,42.944,53.68
991.616,40.504,66.856
1001.864,32.208,65.88
979.904,51.728,56.608
1014.064,43.92,53.192
1009.184,29.768,66.368
999.424,40.016,58.56
987.712,58.072,57.584
1003.328,41.48,68.32
990.64,40.504,73.688
987.712,46.36,73.2
987.712,32.696,73.688
1012.6,34.648,59.536
976.976,38.064,66.368
987.712,35.624,58.072
1030.168,41.48,51.728
1021.384,48.312,54.168
988.2,53.68,64.904
1006.256,33.672,70.272
968.68,49.288,68.32
994.056,57.096,66.856
988.2,34.648,87.352
993.08,45.872,74.664
998.936,49.776,76.616
985.272,56.608,74.664
1007.72,61.488,67.832
995.52,53.192,69.784
1005.28,44.408,77.592
988.2,47.336,76.128
987.224,57.096,73.2
987.224,47.824,75.64
992.104,42.456,69.296
1000.888,53.68,63.44
979.416,72.224,60.512
993.08,67.344,63.44
1025.776,53.68,53.68
994.056,47.336,79.544
979.904,60.024,79.544
992.592,47.824,81.008
1006.256,44.408,80.52
990.152,33.184,95.648
1000.888,39.528,81.984
983.808,50.752,71.248
1005.28,52.704,52.704
995.52,41.968,70.272
1004.304,36.112,74.176
1013.576,32.208,81.496
987.712,52.216,87.84
982.344,47.336,95.648
980.88,37.576,90.28
1003.816,33.672,78.08
994.544,44.896,77.104
1009.184,53.68,74.664
993.08,51.24,79.544
1000.4,45.872,81.496
991.616,38.064,92.232
977.952,36.6,99.552
970.632,42.944,98.088
1014.552,35.624,87.84
986.736,30.256,101.016
989.664,45.384,86.864
1006.744,44.408,85.4
999.424,35.136,88.328
1005.768,33.672,87.352
976.488,45.384,89.792
981.856,41.48,94.184
1005.768,25.864,92.72
1012.112,40.016,87.84
993.08,45.872,84.424
1011.624,45.384,80.032
1010.648,35.136,88.816
984.784,44.408,89.792
984.784,41.48,83.448
979.904,40.504,91.744
1005.28,34.648,83.936
990.64,26.352,104.92
997.96,34.648,90.768
1005.28,38.552,89.304
988.2,42.944,89.304
1008.696,46.36,88.328
997.472,30.744,99.064
978.44,34.16,99.064
959.896,63.928,85.888
999.912,24.4,89.304
1019.92,20.008,92.72
1006.256,19.032,99.552
1003.328,42.944,82.96
999.912,51.24,76.128
1002.84,37.088,82.472
991.616,43.432,84.424
987.224,40.504,93.696
987.224,36.6,95.648
997.96,22.936,99.552
998.448,37.088,90.28
996.496,39.528,96.624
989.664,47.824,88.816
990.64,49.776,77.104
986.248,42.944,87.352
992.104,42.456,88.328
996.496,46.36,85.4
1008.696,34.648,93.696
984.296,42.456,96.136
1004.792,42.944,88.328
1017.968,35.624,91.256
986.248,33.672,99.552
994.544,27.816,102.48
971.608,41.48,102.968
978.928,60.512,97.112
1003.328,34.16,92.232
1003.816,47.824,85.4
991.616,62.464,79.056
999.912,48.8,81.008
1004.792,40.992,85.888
