acc_x[mg],acc_y[mg],acc_z[mg]
19.602,12.530,912.201
24.669,16.700,1027.805
24.782,14.537,980.669
26.631,15.640,1006.555
25.442,17.738,993.020
24.566,15.548,1004.687
25.861,19.842,996.866
21.076,22.588,1009.161
22.790,19.331,1000.397
24.092,15.668,1005.437
21.891,20.459,996.221
19.907,21.223,1003.490
22.764,19.443,996.452
26.660,18.038,1001.931
23.341,16.402,1001.127
22.261,20.039,1000.796
25.662,18.654,995.728
19.581,16.204,997.476
21.467,16.783,998.865
18.185,18.865,999.690
18.729,20.190,999.565
20.005,14.398,994.558
22.824,16.666,998.182
22.928,17.534,995.789
23.272,14.065,999.730
26.209,18.113,1001.316
19.699,17.194,996.300
23.473,23.986,1001.421
24.517,19.008,1003.103
20.588,15.334,1003.323
26.556,18.329,995.872
24.620,22.153,1002.921
19.098,22.568,998.430
22.130,14.558,997.326
21.917,13.950,998.621
19.978,19.100,996.796
25.372,22.667,997.415
22.463,16.629,1001.334
23.713,18.638,998.004
23.843,21.169,1003.258
20.978,13.616,995.340
27.451,22.678,997.304
20.480,15.479,1003.156
23.740,19.241,1001.874
25.128,19.189,1001.117
25.111,17.930,997.421
22.693,15.551,997.386
21.644,16.829,998.230
18.774,20.262,997.260
23.645,17.384,999.688
21.347,15.018,1002.182
25.623,17.862,1002.220
26.501,17.883,1001.298
20.385,18.127,997.191
20.542,23.028,999.732
25.531,19.859,999.041
21.313,20.893,995.809
24.946,15.207,996.351
21.576,17.732,997.381
22.537,14.556,995.828
24.418,17.305,1001.442
22.932,19.843,1005.670
21.556,20.476,1002.581
25.030,18.082,996.581
23.741,15.645,996.672
23.564,21.199,1002.966
20.359,15.453,1000.078
21.958,19.814,1000.476
21.807,16.195,995.877
22.724,22.973,1000.882
23.166,15.814,1000.931
28.432,22.650,1000.021
23.172,20.240,994.642
19.579,16.599,998.894
24.330,20.582,1006.704
25.992,17.601,996.438
20.648,18.904,1000.348
21.808,17.536,995.777
21.082,18.899,997.036
26.108,15.769,999.556
24.341,19.628,995.732
24.594,17.009,997.473
22.167,17.230,996.943
22.730,19.739,997.054
19.990,17.751,1000.145
25.031,21.868,998.061
22.708,17.533,996.083
20.883,16.823,998.442
24.441,17.180,998.169
24.022,18.260,991.741
28.227,17.363,997.820
24.409,21.832,1001.517
23.461,16.309,996.047
21.847,20.508,998.846
25.661,21.797,998.233
23.075,19.037,997.981
25.492,18.708,996.344
25.059,19.333,998.173
25.774,15.664,993.844
16.944,21.626,1007.234
25.849,23.257,999.877
24.141,14.826,996.626
21.384,18.813,1001.759
23.785,18.042,1003.900
22.849,17.524,994.582
24.044,19.692,1002.988
21.986,18.909,1000.250
24.333,18.275,996.089
22.838,17.740,999.367
24.286,16.170,1003.035
22.951,19.600,1000.485
20.993,20.053,1000.455
19.340,17.676,1001.458
26.121,20.739,997.969
24.112,19.821,1001.791
20.432,18.201,999.260
27.136,18.427,1003.487
27.463,18.130,998.334
24.066,20.689,1002.629
22.551,20.292,999.104
24.767,20.400,1004.149
21.244,22.243,997.648
24.163,22.155,999.973
23.269,20.467,1006.195
23.827,16.583,998.181
21.389,16.999,1001.242
20.824,18.461,1000.237
25.619,22.888,997.411
20.881,18.649,997.953
23.123,17.834,997.561
28.648,16.938,1004.704
19.178,18.143,998.879
22.499,17.432,1000.991
19.789,23.062,998.424
21.393,15.515,997.852
24.991,19.245,998.744
25.340,20.362,997.335
25.434,16.792,997.407
24.110,22.689,999.409
21.925,17.964,1000.508
21.550,16.796,995.314
25.355,20.642,1002.228
24.809,22.810,1000.902
33.293,17.518,998.393
25.982,19.795,998.065
20.546,18.677,997.324
22.512,19.754,1002.653
25.196,23.712,997.342
18.316,20.450,996.966
27.222,16.167,1001.094
21.295,16.493,996.117
24.351,19.256,993.579
21.677,19.630,1003.644
24.007,25.680,1006.001
22.815,16.022,999.151
27.426,22.640,999.203
16.889,16.587,997.465
28.313,25.344,1001.425
22.374,15.109,998.436
30.780,15.392,988.577
18.379,13.042,1001.723
27.369,4.409,988.587
8.407,71.304,994.576
139.044,-7.382,1009.706
54.191,21.668,953.560
12.907,32.053,952.810
95.169,35.770,1020.789
26.759,3.927,1245.716
-31.416,59.566,1257.090
194.308,226.883,1148.978
194.431,106.029,1827.103
189.102,115.236,2101.626
122.213,170.102,1436.331
101.930,187.503,1037.650
-16.074,186.436,690.693
-78.125,269.179,403.394
-64.367,401.654,-142.228
-294.877,489.148,-169.479
-328.071,653.794,-267.478
-249.578,795.426,-411.184
-315.918,839.532,-255.230
-279.901,897.682,-206.158
-192.826,938.856,-172.031
-232.114,971.068,-3.764
-258.336,996.097,-19.086
-238.200,981.175,44.788
-182.921,988.988,-27.939
-192.230,979.164,35.279
-218.910,976.096,48.368
-221.957,979.677,-57.849
-251.858,971.938,50.707
-216.874,990.995,17.741
-221.175,977.557,82.974
-222.591,974.853,12.939
-223.342,974.830,1.306
-232.970,970.527,89.083
-211.248,983.618,47.244
-209.800,980.819,43.241
-202.213,978.093,73.841
-239.406,984.641,66.458
-229.626,980.714,61.515
-213.440,978.299,49.057
-221.240,978.409,39.168
-208.027,973.487,61.727
-232.425,965.789,31.080
-225.038,971.419,37.197
-222.071,974.375,68.090
-233.842,974.440,78.857
-229.677,978.210,40.870
-226.472,971.069,58.695
-236.495,979.650,47.283
-229.844,977.951,53.867
-232.272,966.828,59.850
-232.117,975.085,49.595
-228.447,971.188,75.567
-232.720,969.364,49.907
-228.689,968.667,48.801
-242.119,969.596,35.124
-245.381,962.467,23.708
-236.217,968.106,41.415
-230.026,959.844,23.042
-232.480,963.630,32.605
-239.605,910.069,-72.425
-304.823,853.101,-232.177
-382.750,739.718,-491.403
-384.570,698.866,-316.853
-285.049,565.964,-293.387
-177.903,499.541,-49.542
-12.466,393.624,320.847
278.707,360.460,829.642
241.765,323.943,1022.658
392.126,438.444,1376.537
58.687,479.474,1580.055
170.227,246.916,1478.018
63.282,348.871,1294.983
-42.796,229.483,1160.602
10.217,134.781,1147.858
140.089,65.465,896.369
-5.385,-12.450,1032.103
-106.293,3.128,1364.686
-32.112,114.437,851.333
53.689,10.939,980.520
-21.817,-9.019,1331.825
-61.189,-12.205,899.748
-2.735,8.705,1048.920
-39.186,-2.291,953.653
-36.893,-12.663,1047.406
-9.040,6.513,965.618
-3.338,17.230,1013.012
-39.866,-21.361,983.906
-7.364,-6.584,1012.622
-31.770,-20.454,991.537
-11.336,-10.861,1002.594
-22.078,-14.741,988.939
-10.787,-11.781,1005.487
-20.244,-13.969,996.050
-10.751,-8.684,997.859
-21.802,-14.721,987.567
-20.887,-21.388,1003.441
-13.336,-18.070,992.736
-12.411,-11.701,1004.133
-14.427,-15.495,999.609
-7.972,-9.612,1001.355
-16.083,-17.249,990.402
-14.504,-17.233,998.877
-10.556,-16.836,998.246
-9.654,-13.016,999.250
-10.902,-18.166,991.647
-8.656,-20.526,1000.040
-9.706,-15.038,999.698
-7.754,-11.233,1001.812
-11.436,-17.939,999.690
-10.198,-13.863,999.381
-6.748,-11.692,996.204
-15.259,-15.918,993.815
-8.767,-14.463,1000.617
-7.430,-13.767,997.082
-10.092,-14.707,1002.020
-8.906,-18.779,994.811
-9.484,-14.996,1000.753
-9.480,-17.773,996.462
-6.447,-19.781,1004.726
-7.768,-15.015,993.560
-9.947,-19.065,1009.016
-4.216,-16.918,992.725
-6.580,-12.691,1005.186
-10.684,-16.808,985.416
-11.407,-16.233,1006.051
-11.418,-12.392,993.907
-9.062,-16.988,1008.930
-7.186,-15.540,986.411
-8.905,-15.267,1014.802
-5.554,-13.971,977.245
-10.571,-13.823,1022.966
-11.282,-14.866,968.418
-6.285,-17.432,1046.687
-10.775,-16.104,931.936
-8.936,-19.546,1121.090
-1.294,-6.598,407.345
