acc_x[mg],acc_y[mg],acc_z[mg]
20.496,13.176,995.032
24.888,16.592,998.936
23.424,15.128,998.448
27.328,14.640,995.032
24.888,16.592,996.984
26.840,17.568,1002.352
22.936,15.616,996.984
27.328,18.544,1002.352
21.960,22.936,1003.816
20.984,20.984,1004.792
24.400,18.056,1003.816
22.936,15.616,1001.376
22.936,20.496,999.424
19.032,21.960,1000.400
21.960,19.032,1000.400
24.888,20.008,997.472
26.352,16.104,1002.352
22.936,17.568,1001.864
21.472,19.520,999.912
26.840,19.520,996.984
20.496,16.592,996.496
20.496,16.104,997.472
20.984,17.568,1000.888
17.568,19.032,997.472
19.032,20.496,1002.352
19.520,15.128,992.592
21.960,14.640,998.448
23.424,19.032,996.984
22.448,15.128,995.520
23.912,15.128,1001.864
26.352,17.568,999.912
20.496,17.568,998.448
20.984,20.984,996.984
25.864,24.400,1005.768
22.448,15.128,999.912
20.984,17.080,1006.744
26.840,17.080,991.128
25.376,22.448,1006.256
20.496,22.936,997.960
19.520,19.032,997.960
23.424,13.176,998.448
20.984,14.152,996.496
20.008,20.008,1000.400
24.888,21.472,992.104
23.912,20.496,1006.256
21.960,14.152,994.056
24.888,22.448,1003.816
22.936,19.032,999.912
20.984,13.664,997.472
26.840,21.960,995.032
23.912,18.544,1002.352
19.032,15.128,1003.328
27.328,21.472,1000.400
22.448,17.568,1002.352
27.816,19.032,996.008
20.496,15.128,998.448
24.400,16.104,997.472
18.056,19.032,997.960
20.984,19.520,997.472
23.424,17.568,1000.400
21.472,13.664,1002.352
24.400,19.032,1002.352
27.816,16.592,1001.864
22.936,19.032,999.424
20.008,18.056,996.496
20.496,24.888,1001.376
26.840,18.056,997.960
20.496,22.448,997.472
24.400,16.104,994.544
23.912,16.104,998.448
20.496,17.568,995.520
23.912,14.152,997.472
23.424,17.080,1000.400
24.400,20.496,1006.744
20.496,19.032,1003.328
23.912,21.472,999.912
24.888,15.128,995.520
23.424,17.080,996.984
23.912,21.472,1004.792
20.496,15.128,998.448
20.984,19.520,1002.840
22.936,17.080,996.008
20.496,18.544,997.960
24.888,22.448,1000.888
20.496,16.104,1001.376
30.744,20.496,1000.400
23.424,23.912,996.496
21.960,15.616,994.544
19.520,19.032,1002.840
25.376,20.008,1006.256
