acc_x[mg],acc_y[mg],acc_z[mg]
995.032,13.176,20.496
998.936,16.592,24.888
998.448,15.128,23.424
995.032,14.64,27.328
996.984,16.592,24.888
1002.352,17.568,26.84
996.984,15.616,22.936
1002.352,18.544,27.328
1003.816,22.936,21.96
1004.792,20.984,20.984
1003.816,18.056,24.4
1001.376,15.616,22.936
999.424,20.496,22.936
1000.4,21.96,19.032
1000.4,19.032,21.96
997.472,20.008,24.888
1002.352,16.104,26.352
1001.864,17.568,22.936
999.912,19.52,21.472
996.984,19.52,26.84
996.496,16.592,20.496
997.472,16.104,20.496
1000.888,17.568,20.984
997.472,19.032,17.568
1002.352,20.496,19.032
992.592,15.128,19.52
998.448,14.64,21.96
996.984,19.032,23.424
995.52,15.128,22.448
1001.864,15.128,23.912
999.912,17.568,26.352
998.448,17.568,20.496
996.984,20.984,20.984
1005.768,24.4,25.864
999.912,15.128,22.448
1006.744,17.08,20.984
991.128,17.08,26.84
1006.256,22.448,25.376
997.96,22.936,20.496
997.96,19.032,19.52
998.448,13.176,23.424
996.496,14.152,20.984
1000.4,20.008,20.008
992.104,21.472,24.888
1006.256,20.496,23.912
994.056,14.152,21.96
1003.816,22.448,24.888
999.912,19.032,22.936
997.472,13.664,20.984
995.032,21.96,26.84
1002.352,18.544,23.912
1003.328,15.128,19.032
1000.4,21.472,27.328
1002.352,17.568,22.448
996.008,19.032,27.816
998.448,15.128,20.496
997.472,16.104,24.4
997.96,19.032,18.056
997.472,19.52,20.984
1000.4,17.568,23.424
1002.352,13.664,21.472
1002.352,19.032,24.4
1001.864,16.592,27.816
999.424,19.032,22.936
996.496,18.056,20.008
1001.376,24.888,20.496
997.96,18.056,26.84
997.472,22.448,20.496
994.544,16.104,24.4
998.448,16.104,23.912
995.52,17.568,20.496
997.472,14.152,23.912
1000.4,17.08,23.424
1006.744,20.496,24.4
1003.328,19.032,20.496
999.912,21.472,23.912
995.52,15.128,24.888
996.984,17.08,23.424
1004.792,21.472,23.912
998.448,15.128,20.496
1002.84,19.52,20.984
996.008,17.08,22.936
997.96,18.544,20.496
1000.888,22.448,24.888
1001.376,16.104,20.496
1000.4,20.496,30.744
996.496,23.912,23.424
994.544,15.616,21.96
1002.84,19.032,19.52
1006.256,20.008,25.376
996.008,17.568,26.84
999.912,19.032,19.52
998.448,17.568,23.424
994.056,18.544,19.032
999.424,18.056,24.4
998.936,15.616,24.888
995.52,20.008,25.376
997.96,17.568,23.912
996.496,16.104,23.424
997.472,19.52,21.96
996.984,18.544,22.448
1001.376,18.544,19.52
997.472,21.472,25.864
996.496,19.032,22.936
997.472,15.616,20.984
998.936,18.056,22.448
996.496,16.592,24.888
991.128,19.032,23.912
998.448,16.592,28.792
1001.864,21.96,24.888
997.472,18.544,23.424
996.496,16.104,22.936
999.912,23.424,21.96
996.984,20.008,26.84
999.912,20.008,21.96
994.056,18.056,25.864
1000.888,19.52,24.888
992.592,18.056,25.864
998.936,15.128,23.912
1007.232,24.4,15.616
1000.4,21.96,27.328
996.008,16.592,24.4
999.912,16.104,21.472
1004.304,20.008,22.936
1000.888,17.08,23.424
994.544,17.568,22.936
1003.328,20.496,24.4
1001.864,18.056,21.472
996.008,19.52,24.4
997.472,17.08,22.936
1000.888,18.056,23.912
1002.84,15.616,23.424
1001.376,20.008,23.912
998.936,20.496,20.496
1003.328,17.568,20.008
997.96,19.52,21.472
999.424,20.496,27.816
1002.352,20.008,22.448
997.96,17.568,20.496
1005.28,19.032,26.352
997.96,17.568,27.816
1001.376,19.52,26.352
1001.376,20.984,22.448
999.424,20.008,23.424
1004.792,20.496,24.4
