acc_x[mg],acc_y[mg],acc_z[mg]
21.472,0.976,996.496
18.056,-1.464,1002.840
23.424,2.928,1002.352
22.448,-6.344,996.984
24.888,-1.952,993.568
20.496,-1.952,1001.376
20.496,-0.976,998.936
20.984,-0.976,997.960
21.472,1.464,998.448
19.520,-0.488,1005.280
23.912,1.952,997.472
22.936,0.488,999.424
22.448,4.880,997.472
20.984,2.440,996.984
23.424,2.440,995.520
24.888,0.488,1003.816
20.008,-1.464,996.008
19.520,-0.488,999.912
21.472,1.952,995.520
18.544,-0.976,998.448
22.448,-1.464,996.496
19.520,1.952,995.520
21.960,1.952,1000.400
23.912,-0.976,997.960
20.496,2.928,1001.376
18.544,1.464,995.520
22.936,2.928,1001.376
19.032,1.952,999.912
20.496,-0.976,999.424
21.960,0.976,994.056
21.960,-0.976,998.448
28.792,1.464,998.448
23.424,4.392,1002.840
23.912,4.880,1003.816
26.840,-2.440,996.984
20.008,-1.464,995.032
23.424,3.904,1000.888
24.400,2.928,998.936
19.520,1.952,997.472
21.472,-0.976,1001.376
21.960,1.952,995.032
23.424,0.000,999.912
19.520,-3.904,999.424
25.864,-4.392,995.520
23.912,3.416,999.912
19.032,0.976,1000.400
20.496,2.928,997.472
20.984,1.464,1003.328
17.568,0.488,994.056
21.472,-2.928,1002.352
21.472,3.416,997.472
24.400,-5.368,998.936
20.984,-1.464,1001.864
21.960,2.440,994.544
20.008,1.464,999.912
19.032,-0.488,994.056
20.008,0.488,1006.256
20.984,-0.488,997.960
22.448,-1.464,997.472
19.032,-1.464,996.984
22.936,-0.000,998.448
19.520,0.976,1001.376
20.008,0.488,1003.328
21.960,-0.488,1001.864
22.448,1.464,998.448
24.888,2.440,998.448
25.864,1.464,998.448
18.056,0.976,996.984
19.520,3.416,996.984
20.984,5.368,1001.376
21.960,2.928,1001.376
24.400,0.488,996.008
20.984,0.976,995.032
20.496,2.440,1000.400
22.448,-0.488,997.472
19.520,0.488,1003.816
31.232,-4.880,997.960
20.984,1.952,1002.840
17.568,4.880,996.008
23.912,1.464,1001.376
20.496,-0.488,998.448
24.400,0.976,997.960
20.496,2.440,999.912
21.472,1.952,999.912
21.960,-1.952,996.496
24.888,0.976,995.520
20.984,1.464,999.912
20.008,-0.488,997.472
20.984,0.976,1000.400
21.472,-2.928,1000.400
20.008,2.928,996.496
24.400,0.488,998.448
23.424,-0.488,998.936
23.424,-0.488,996.984
21.472,1.952,996.984
22.936,-0.488,995.032
20.496,-0.976,997.960
22.936,0.976,999.424
21.472,-0.488,1000.888
21.472,-0.000,1001.376
24.400,0.488,997.472
20.984,0.976,998.448
19.520,0.000,997.472
25.376,-0.976,998.936
20.496,-1.464,999.912
24.888,0.976,1002.840
18.544,0.976,1000.400
22.448,-2.928,1001.376
23.424,-0.976,998.936
20.984,4.392,997.960
26.352,-1.464,1000.888
27.328,-0.000,1003.328
26.840,-1.952,996.496
17.568,0.488,1003.816
19.032,0.976,993.568
19.520,-2.440,996.008
23.424,-0.488,995.520
23.424,0.488,996.984
20.984,-0.488,1000.888
20.984,3.904,993.568
21.960,0.976,1007.232
21.960,-2.928,990.640
