acc_x[mg],acc_y[mg],acc_z[mg]
19.234,-0.115,930.478
19.831,0.358,1026.368
22.839,0.012,987.977
23.831,-5.786,1003.137
22.746,-0.523,991.189
19.572,-2.350,1006.297
21.644,0.183,992.183
20.572,0.130,1003.988
20.780,0.968,1000.159
23.916,0.659,1000.155
22.541,3.076,996.907
21.494,3.692,998.268
22.572,2.017,994.759
25.138,0.822,1003.108
19.094,-1.811,996.462
20.918,0.669,999.243
19.663,1.054,995.689
20.774,-2.149,998.580
20.900,1.429,994.588
20.883,1.813,999.874
24.507,-0.368,998.713
18.781,2.725,999.843
20.857,1.668,996.923
21.194,3.137,1001.873
19.224,-0.485,998.861
22.164,0.473,995.654
22.097,-0.492,997.042
28.732,1.542,999.737
21.903,5.556,1003.456
26.853,1.591,1001.572
22.233,-3.270,993.940
22.022,3.129,999.986
24.547,3.259,999.005
19.782,1.459,998.022
21.401,-0.523,1000.267
23.052,2.106,995.210
21.102,-2.488,1002.065
22.985,-4.715,994.686
25.766,1.545,1000.430
18.159,2.377,998.409
21.791,1.680,1000.460
18.905,2.429,999.066
19.523,-2.630,997.703
21.469,1.685,1000.285
23.729,-2.574,997.735
21.701,-3.102,1001.047
21.556,3.334,996.072
19.697,0.234,997.330
19.276,0.195,998.587
20.462,-0.041,1004.052
22.235,-1.125,995.283
19.836,-1.645,998.438
22.113,0.035,997.167
19.727,1.000,1002.604
20.405,0.045,1002.604
22.486,0.115,1000.620
23.379,2.463,997.566
26.569,1.680,999.036
18.695,0.983,996.525
19.609,3.623,997.387
21.000,5.173,1001.789
23.226,1.665,999.590
23.044,0.436,994.248
19.905,2.182,998.773
22.285,0.357,998.854
20.395,-0.387,1001.575
30.657,-3.983,1000.067
17.705,3.663,1000.139
21.330,3.683,997.823
21.979,-0.270,1000.768
22.910,0.499,996.974
21.818,2.468,1000.037
20.590,1.502,999.332
23.357,-1.797,995.728
23.643,2.044,997.202
19.829,-0.106,999.180
20.848,0.749,998.404
21.221,-2.078,1001.468
20.611,1.983,995.807
24.066,0.777,999.322
23.689,-1.116,997.643
22.293,1.008,997.485
22.337,0.796,995.179
21.348,-1.351,997.242
22.178,0.906,999.006
21.796,-0.500,1001.190
21.810,0.187,1000.155
24.325,0.645,997.606
18.480,0.750,998.019
24.292,-0.934,998.084
21.657,-1.231,999.971
23.813,0.585,1002.157
18.975,0.906,1000.641
23.571,-3.897,1000.907
21.730,2.899,997.780
23.799,0.886,999.609
27.951,-0.915,1002.879
26.287,-1.329,998.033
18.198,0.393,1001.573
18.767,0.362,993.977
20.958,-2.485,995.959
24.193,0.833,995.813
21.455,-0.699,999.764
21.011,3.118,996.168
21.703,1.400,1002.791
22.310,-3.395,994.791
21.346,2.948,1000.248
23.755,0.781,995.532
21.163,0.846,1000.596
18.501,6.276,998.145
24.567,1.244,997.157
23.344,0.491,999.910
19.525,5.375,998.617
18.069,-1.528,1000.004
22.460,2.040,995.359
21.738,0.813,996.010
20.296,-1.246,996.841
20.791,2.200,1002.598
21.548,2.658,1000.262
20.107,-0.555,1001.497
22.760,-0.116,996.705
23.801,1.569,999.224
21.706,-4.280,998.450
22.906,-0.462,998.443
25.204,-0.484,998.309
17.620,-0.678,995.753
19.984,1.173,1003.261
24.223,-0.980,1002.106
19.078,1.395,999.089
23.286,-2.471,1003.519
21.419,2.271,1000.678
21.454,-1.065,1000.398
25.741,-0.696,1001.689
22.356,-0.604,999.609
21.196,-0.350,1004.294
20.222,0.490,996.451
20.754,3.432,998.581
25.905,0.219,1003.079
20.420,3.747,996.138
20.659,2.873,1001.355
22.353,5.046,1001.218
20.618,2.761,1001.128
20.689,0.241,998.336
21.150,1.452,998.642
24.048,0.150,998.537
21.234,0.971,993.917
21.018,-4.007,994.470
22.390,2.108,999.933
27.862,-2.499,999.040
19.843,-0.882,999.734
17.985,2.556,998.524
23.237,-2.293,998.153
23.139,-0.598,998.236
22.542,-4.666,1002.228
24.534,-0.261,999.455
23.032,-4.033,998.250
22.293,-0.165,995.723
25.755,-1.660,997.910
21.049,-1.447,998.934
16.502,2.403,1000.422
21.560,-3.417,996.384
19.307,-0.430,999.941
19.729,-0.191,1001.872
23.237,2.519,999.392
20.830,-5.049,997.689
21.875,1.898,993.402
23.146,-1.596,999.169
21.793,1.923,997.509
19.778,3.863,1002.401
19.289,0.397,996.648
23.850,-1.317,1000.556
21.568,0.990,998.868
23.403,-0.794,1000.007
22.110,-1.754,1002.053
22.069,0.678,1001.154
19.918,-0.451,994.151
22.017,2.506,994.884
20.890,3.987,1002.159
23.047,-1.051,998.721
18.917,-1.669,998.510
22.041,0.634,995.528
19.394,-3.895,997.752
21.642,-1.331,995.588
20.563,-1.133,1003.532
22.731,1.257,999.561
24.338,-0.873,997.070
24.555,2.508,999.906
17.902,3.354,999.750
22.321,2.555,1000.213
20.275,0.204,997.631
17.891,2.931,995.768
22.284,-2.680,996.646
22.640,-3.112,1002.973
23.532,-0.050,1001.639
30.369,15.376,1005.563
26.680,-17.443,984.954
27.125,9.857,1016.592
21.642,4.293,1001.147
23.383,0.951,999.846
22.789,0.078,994.276
20.479,2.225,998.823
23.501,1.881,1002.374
24.925,5.205,998.006
22.321,4.105,999.178
21.479,6.070,1001.520
20.089,2.543,1000.163
21.951,5.004,1002.616
21.813,8.521,1000.546
23.109,3.514,998.297
24.665,5.651,997.888
23.326,0.226,1000.623
23.004,4.140,998.751
