acc_x[mg],acc_y[mg],acc_z[mg]
996.496,0.976,21.472
1002.84,-1.464,18.056
1002.352,2.928,23.424
996.984,-6.344,22.448
993.568,-1.952,24.888
1001.376,-1.952,20.496
998.936,-0.976,20.496
997.96,-0.976,20.984
998.448,1.464,21.472
1005.28,-0.488,19.52
997.472,1.952,23.912
999.424,0.488,22.936
997.472,4.88,22.448
996.984,2.44,20.984
995.52,2.44,23.424
1003.816,0.488,24.888
996.008,-1.464,20.008
999.912,-0.488,19.52
995.52,1.952,21.472
998.448,-0.976,18.544
996.496,-1.464,22.448
995.52,1.952,19.52
1000.4,1.952,21.96
997.96,-0.976,23.912
1001.376,2.928,20.496
995.52,1.464,18.544
1001.376,2.928,22.936
999.912,1.952,19.032
999.424,-0.976,20.496
994.056,0.976,21.96
998.448,-0.976,21.96
998.448,1.464,28.792
1002.84,4.392,23.424
1003.816,4.88,23.912
996.984,-2.44,26.84
995.032,-1.464,20.008
1000.888,3.904,23.424
998.936,2.928,24.4
997.472,1.952,19.52
1001.376,-0.976,21.472
995.032,1.952,21.96
999.912,0.0,23.424
999.424,-3.904,19.52
995.52,-4.392,25.864
999.912,3.416,23.912
1000.4,0.976,19.032
997.472,2.928,20.496
1003.328,1.464,20.984
994.056,0.488,17.568
1002.352,-2.928,21.472
997.472,3.416,21.472
998.936,-5.368,24.4
1001.864,-1.464,20.984
994.544,2.44,21.96
999.912,1.464,20.008
994.056,-0.488,19.032
1006.256,0.488,20.008
997.96,-0.488,20.984
997.472,-1.464,22.448
996.984,-1.464,19.032
998.448,-0.0,22.936
1001.376,0.976,19.52
1003.328,0.488,20.008
1001.864,-0.488,21.96
998.448,1.464,22.448
998.448,2.44,24.888
998.448,1.464,25.864
996.984,0.976,18.056
996.984,3.416,19.52
1001.376,5.368,20.984
1001.376,2.928,21.96
996.008,0.488,24.4
995.032,0.976,20.984
1000.4,2.44,20.496
997.472,-0.488,22.448
1003.816,0.488,19.52
997.96,-4.88,31.232
1002.84,1.952,20.984
996.008,4.88,17.568
1001.376,1.464,23.912
998.448,-0.488,20.496
997.96,0.976,24.4
999.912,2.44,20.496
999.912,1.952,21.472
996.496,-1.952,21.96
995.52,0.976,24.888
999.912,1.464,20.984
997.472,-0.488,20.008
1000.4,0.976,20.984
1000.4,-2.928,21.472
996.496,2.928,20.008
998.448,0.488,24.4
998.936,-0.488,23.424
996.984,-0.488,23.424
996.984,1.952,21.472
995.032,-0.488,22.936
997.96,-0.976,20.496
999.424,0.976,22.936
1000.888,-0.488,21.472
1001.376,-0.0,21.472
997.472,0.488,24.4
998.448,0.976,20.984
997.472,0.0,19.52
998.936,-0.976,25.376
999.912,-1.464,20.496
1002.84,0.976,24.888
1000.4,0.976,18.544
1001.376,-2.928,22.448
998.936,-0.976,23.424
997.96,4.392,20.984
1000.888,-1.464,26.352
1003.328,-0.0,27.328
996.496,-1.952,26.84
1003.816,0.488,17.568
993.568,0.976,19.032
996.008,-2.44,19.52
995.52,-0.488,23.424
996.984,0.488,23.424
1000.888,-0.488,20.984
993.568,3.904,20.984
1007.232,0.976,21.96
990.64,-2.928,21.96
1003.816,0.488,21.96
993.08,3.904,21.96
1001.376,-1.952,24.4
996.984,4.392,18.544
1001.376,4.88,20.008
993.568,1.952,24.4
1003.816,-0.976,23.912
