acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
-68.564,101.504,990.884,-1890,-8750,-1890
-118.828,124.44,1019.43,1820,-3010,-1190
-87.108,120.048,984.296,1610,0,-1120
-118.096,139.812,975.268,700,-3640,-700
-96.38,138.104,975.756,-630,840,840
-88.084,114.192,995.52,-70,-840,1820
-79.544,125.66,976.976,-3360,-7770,-280
-90.768,111.752,1026.51,-490,-2380,0
-91.988,122.244,997.228,-910,-280,-70
-102.236,117.608,987.224,-910,-4970,70
-96.38,110.288,1016.02,-1260,-2240,-560
-109.312,123.22,996.008,0,-3010,0
-74.176,109.312,1019.43,490,1330,700
-115.656,128.344,1024.31,630,-1050,1120
-125.66,132.004,1054.81,4410,11410,4970
-124.44,34.892,1294.42,28350,25900,10920
-461.16,150.792,1195.36,47740,36400,27860
-217.892,36.844,1456.44,58100,1820,49000
-287.188,155.916,1275.39,86240,33180,56350
-224.48,117.608,1368.6,107940,56770,59850
-384.056,317.444,1157.05,122990,44730,50610
-291.824,209.84,1187.79,131950,45780,73990
-275.476,436.516,851.072,152040,63280,91700
-452.62,592.188,684.908,156170,116830,114030
-152.744,396.5,749.324,161210,121660,141820
-97.844,696.62,289.628,141680,109830,162890
-9.272,618.784,350.14,130760,138950,193690
332.328,534.604,193.248,132440,117810,196140
545.096,550.464,-50.508,123620,138250,203000
702.72,519.476,-50.264,83370,108010,190680
1186.08,434.564,-137.128,34230,108010,157220
970.632,603.9,18.3,21630,93870,98350
760.304,684.908,109.068,14910,98630,64330
528.504,755.18,256.2,20090,49140,44520
537.288,849.364,50.752,15120,20230,28350
608.292,751.032,231.8,5950,9380,23520
655.14,818.132,58.072,8610,13370,18620
710.284,719.8,247.66,3220,13090,15540
551.44,802.76,168.604,15890,39480,20860
715.408,714.676,187.392,9800,4550,8400
638.304,807.152,35.868,-8050,-13300,-3710
621.468,746.64,283.772,-8750,-1750,140
654.164,741.272,165.188,210,-5740,-5180
631.228,742.248,225.7,2730,-6160,-5110
634.4,766.404,177.632,-3850,-13090,-6300
619.028,776.652,185.684,910,-4340,-8960
582.428,822.524,152.988,4480,6930,-5320
612.928,784.948,165.188,-2590,-13650,-6300
672.952,745.664,182.024,-6860,-13580,-5390
612.928,801.052,180.804,-3220,-2870,-3430
592.676,800.32,148.596,3080,3570,0
621.956,766.16,195.932,-3570,-6790,-4130
586.82,815.448,144.936,-4130,-3990,-5600
591.944,787.144,203.74,-6580,-14490,-4130
605.852,768.844,196.176,3430,8820,4620
657.824,764.208,165.188,210,-2940,-2380
591.7,814.96,142.252,-3220,-6790,-3150
588.772,812.032,157.868,-3290,-3990,-3360
604.144,779.824,190.808,1050,-6930,-3290
597.8,790.56,180.804,0,1890,840
611.22,778.116,169.336,-3290,-13580,-3990
616.588,786.168,148.84,-1960,-7140,-3290
617.808,788.852,182.268,-1190,-910,-3360
579.988,811.056,147.132,-70,1820,-1260
609.024,800.32,156.16,-2100,2030,-2310
674.416,749.324,128.588,-8050,-9380,-7210
828.868,706.38,-1.708,-26740,-22400,-22750
1036.76,513.132,12.2,-64050,-50890,-63840
847.9,475.556,181.048,-72240,-33390,-88620
729.316,548.512,149.084,-86170,-43680,-120400
549.488,540.704,268.888,-98210,-51380,-149100
413.824,580.72,361.12,-107380,-49560,-159390
314.272,494.1,585.844,-133140,-84000,-179830
130.296,584.136,496.54,-127400,-90440,-195160
37.332,606.584,389.18,-162750,-96320,-205380
-60.512,343.308,1057.01,-162960,-122150,-205380
-330.132,503.128,607.804,-167160,-141190,-191030
-118.096,100.528,1380.55,-169610,-147280,-151270
61.732,32.452,1299.79,-92680,-126770,-164150
-442.86,502.64,784.46,-87500,-62650,-102060
-90.036,103.212,1220.49,-101920,-28210,-72940
107.116,54.168,1239.76,-83160,-11760,-75040
-361.12,124.684,1075.55,-57540,14070,-34020
-22.692,-9.76,1151.68,-47810,-2520,-20020
-16.104,-14.152,1071.4,-45220,-15330,-21140
-57.34,-26.108,1170.22,-29820,10640,-18550
-127.612,16.104,1149.97,-25130,-10290,-24500
-42.7,-18.056,1501.82,-12600,-16590,-25130
-10.004,37.332,1180.96,7490,-6440,-20650
-91.256,70.516,858.148,8960,-25130,-17640
33.184,-11.956,962.824,5110,-3360,-7420
31.232,38.796,1069.21,-1260,5530,3080
17.812,38.064,1109.71,5460,-3080,1050
-2.684,104.188,949.892,6300,-5040,1820
5.856,54.168,993.812,4130,-980,7910
50.264,38.552,1029.44,-350,-18270,5390
104.432,51.728,1005.04,840,-5740,4270
35.38,92.232,993.08,630,-7280,-1820
28.06,68.076,994.3,-910,-4480,-1120
50.264,60.024,1018.7,980,-280,-350
58.56,71.492,999.18,-70,-5040,-3500
39.284,70.516,1007.72,1400,2100,-3990
-14.152,70.028,1036.76,2870,-1330,-1120
56.12,74.176,983.076,2940,1190,-140
-7.564,88.084,1008.94,1470,350,770
26.108,74.908,991.616,0,-5600,350
68.808,74.42,1002.6,-280,-3150,-210
7.808,101.504,1018.7,1190,-2100,-630
5.856,96.868,1005.28,3220,1680,910
65.148,79.3,990.152,-630,-9590,-490
38.308,63.928,1037.73,-350,-1610,910
63.684,78.568,1011.14,2380,2310,700
44.164,86.376,986.736,-770,-6510,-1050
41.724,69.54,1044.32,-560,-1470,0
67.344,83.936,1008.7,2100,5110,0
69.784,76.372,995.276,1260,-4060,280
-21.228,99.552,1009.18,2660,-5040,1260
68.076,93.208,980.148,1400,-2800,490
30.012,86.132,1009.18,-1820,-5950,-560
43.432,83.204,1017.97,420,1890,140
31.964,93.94,1002.6,770,-1120,-560
48.556,80.276,1004.3,-1330,-7000,-70
38.308,89.304,1009.67,280,-2030,-840
33.428,97.112,1003.08,-910,-4410,-770
46.604,88.816,997.472,-1610,-8960,-1470
51.728,88.816,1012.36,-350,-5390,-420
39.04,83.204,1007.23,350,1610,350
35.624,93.208,1013.33,-210,910,490
64.904,81.74,1013.82,-1120,-2380,-210
33.672,91.5,1012.84,350,1890,-490
59.048,84.668,988.444,-1120,-4340,140
56.12,74.42,1019.19,-1820,-5670,560
36.356,86.132,1039.68,1120,3640,1050
42.7,105.652,986.492,700,-910,770
43.92,78.08,1001.86,-210,-840,1330
43.92,82.716,1008.94,-70,-4620,420
50.996,91.5,998.692,280,-1890,-210
32.94,91.5,1007.48,0,-350,630
50.264,86.62,1003.08,-490,-1610,140
44.896,103.212,992.592,-2380,-3220,700
