acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
-6.832,-32.208,1006.26,-350,910,630
-1.952,-29.28,1006.74,-490,770,560
-4.392,-29.28,1007.23,-420,840,630
-0.488,-28.304,1002.35,-140,840,490
-7.808,-30.744,1010.65,-280,840,630
-1.952,-32.696,1011.62,-350,770,560
-3.904,-30.744,1014.55,-420,910,560
-5.856,-29.28,1002.84,-420,840,560
-5.368,-35.136,1011.62,-420,700,700
-2.44,-23.424,1013.09,-490,560,630
-4.392,-33.672,1009.67,-350,630,560
-5.856,-29.768,1008.21,-210,1050,560
-9.272,-25.864,1013.58,-280,910,630
-3.904,-25.376,1008.7,-420,770,560
-4.88,-30.256,1005.77,-420,840,630
-7.32,-31.72,1009.18,-350,770,630
-1.464,-28.304,1004.3,-420,840,630
-5.368,-27.328,1010.16,-490,910,630
-2.44,-26.84,1014.06,-140,840,420
-1.952,-27.816,1011.62,-490,770,560
-3.416,-30.256,1017.97,-490,840,560
-5.368,-32.696,1010.65,-280,910,560
-1.952,-29.28,1010.65,-490,910,630
-7.32,-30.256,1009.67,-420,700,630
-1.952,-30.256,1010.16,-420,840,700
-4.392,-30.744,1013.09,-420,840,630
-6.344,-30.256,1012.11,-350,770,560
-1.952,-26.84,1010.65,-280,700,560
-4.88,-27.328,1012.11,-420,700,630
-6.344,-43.92,1003.33,-630,840,630
-48.8,-84.912,1011.14,18760,1680,-18340
90.28,130.784,893.04,5950,1540,4620
100.04,-40.992,960.872,11200,1120,-13860
70.76,-20.984,1083.85,12460,770,-15960
-237.656,81.008,1009.67,-11410,2310,-5670
34.648,-57.096,1007.72,-7420,1190,1330
-39.528,-108.336,1035.54,-3640,1540,-11480
-14.64,121.024,1000.89,70,980,-350
-87.84,75.64,1058.96,1610,840,-420
109.312,18.056,995.032,3150,910,-7140
-98.576,-37.088,1000.89,7000,1120,-4900
-119.072,-70.76,993.08,4620,280,9100
-6.832,27.328,1013.09,3640,560,3990
26.84,-6.832,1004.3,3430,700,560
325.008,-22.936,1044.81,-2800,910,0
25.864,-60.512,854,-10640,980,-16940
-106.872,-71.736,996.008,-14420,8050,-11270
4.88,-21.472,1077.02,-23940,13650,6440
98.576,77.104,1133.14,-6370,18130,2030
-5.856,-213.744,1076.04,17570,-7000,-980
-98.088,-117.608,872.544,12810,-8680,-9310
-115.168,-114.68,1034.07,-8750,1400,-2310
-35.136,-192.76,1125.33,5110,-2100,2170
-31.232,-127.368,885.232,6860,-3150,-2450
-66.856,-129.808,1012.11,-2590,1960,-3500
-61.488,-132.736,1057.01,1820,-1750,-4760
-88.328,-115.656,941.84,6790,0,-700
-3.416,-143.472,1022.36,-2450,3010,3080
-5.856,-160.552,1096.05,4340,630,-5180
-62.952,-130.784,982.832,8260,4270,-11620
-128.832,-90.28,954.528,3920,7000,-5180
-75.152,-98.576,1009.67,-980,770,4410
13.664,-137.128,1040.9,-1190,-350,-420
-44.408,-100.528,1099.95,2030,-2170,-5250
-101.016,-150.792,1316.14,10710,-10430,-5040
-170.8,-132.736,1385.43,29610,-35490,2870
-624.152,-133.224,1925.65,-8330,-26040,24640
-105.896,-681.248,2983.14,-38850,36960,134400
-230.824,-1418.62,4168.5,104510,201600,184380
-421.632,-1634.31,3015.84,405720,304710,273980
-72.712,-1621.62,2040.33,493710,419020,370650
-108.336,-1998.36,1729.96,531720,350980,427210
135.176,-2051.06,527.528,632590,261940,537320
1294.66,-1781.2,-569.496,594720,215040,534310
2055.94,-1070.18,-1506.46,408310,136080,254310
275.72,-1.464,-1383.48,125580,103530,50960
662.704,-381.128,-135.176,8330,21980,95970
1488.89,-332.816,-826.672,21980,10220,124390
1415.69,-107.848,-1040.9,36330,66080,17850
813.008,462.624,-819.352,-23310,91770,-67200
317.688,798.368,-232.776,-42280,63560,-75040
337.696,860.832,-311.344,-2310,16380,-44660
227.408,939.4,-297.192,12810,10430,-36890
116.632,927.688,-284.504,45570,24430,-23100
499.712,792.024,-802.272,33740,3920,-10290
423.584,802.272,-440.176,1960,29190,-8400
