acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
1006.26,-32.208,-6.832,-350,910,630
1006.74,-29.28,-1.952,-490,770,560
1007.23,-29.28,-4.392,-420,840,630
1002.35,-28.304,-0.488,-140,840,490
1010.65,-30.744,-7.808,-280,840,630
1011.62,-32.696,-1.952,-350,770,560
1014.55,-30.744,-3.904,-420,910,560
1002.84,-29.28,-5.856,-420,840,560
1011.62,-35.136,-5.368,-420,700,700
1013.09,-23.424,-2.44,-490,560,630
1009.67,-33.672,-4.392,-350,630,560
1008.21,-29.768,-5.856,-210,1050,560
1013.58,-25.864,-9.272,-280,910,630
1008.7,-25.376,-3.904,-420,770,560
1005.77,-30.256,-4.88,-420,840,630
1009.18,-31.72,-7.32,-350,770,630
1004.3,-28.304,-1.464,-420,840,630
1010.16,-27.328,-5.368,-490,910,630
1014.06,-26.84,-2.44,-140,840,420
1011.62,-27.816,-1.952,-490,770,560
1017.97,-30.256,-3.416,-490,840,560
1010.65,-32.696,-5.368,-280,910,560
1010.65,-29.28,-1.952,-490,910,630
1009.67,-30.256,-7.32,-420,700,630
1010.16,-30.256,-1.952,-420,840,700
1013.09,-30.744,-4.392,-420,840,630
1012.11,-30.256,-6.344,-350,770,560
1010.65,-26.84,-1.952,-280,700,560
1012.11,-27.328,-4.88,-420,700,630
1003.33,-43.92,-6.344,-630,840,630
1011.14,-84.912,-48.8,18760,1680,-18340
893.04,130.784,90.28,5950,1540,4620
960.872,-40.992,100.04,11200,1120,-13860
1083.85,-20.984,70.76,12460,770,-15960
1009.67,81.008,-237.656,-11410,2310,-5670
1007.72,-57.096,34.648,-7420,1190,1330
1035.54,-108.336,-39.528,-3640,1540,-11480
1000.89,121.024,-14.64,70,980,-350
1058.96,75.64,-87.84,1610,840,-420
995.032,18.056,109.312,3150,910,-7140
1000.89,-37.088,-98.576,7000,1120,-4900
993.08,-70.76,-119.072,4620,280,9100
1013.09,27.328,-6.832,3640,560,3990
1004.3,-6.832,26.84,3430,700,560
1044.81,-22.936,325.008,-2800,910,0
854.0,-60.512,25.864,-10640,980,-16940
996.008,-71.736,-106.872,-14420,8050,-11270
