acc_x[mg],acc_y[mg],acc_z[mg]
32.824,19.106,929.646
35.597,17.027,1024.170
39.303,18.035,982.640
32.932,20.274,1002.937
37.772,21.017,997.421
36.893,17.248,1006.511
32.712,17.271,994.244
33.392,20.069,1001.486
37.079,18.765,991.882
34.211,20.876,997.166
37.793,22.703,998.988
36.950,19.794,1001.022
36.707,17.962,995.394
34.028,20.715,1000.437
33.139,21.219,1000.568
34.670,25.431,1003.580
38.496,18.287,995.042
37.006,20.365,1004.347
31.220,16.678,997.990
38.109,17.463,1000.610
32.545,17.729,998.222
38.161,17.917,1000.600
36.994,21.482,1000.820
33.237,20.870,1004.022
37.088,21.482,997.224
37.520,17.163,999.340
38.235,22.407,1000.172
36.791,24.406,1001.699
33.684,18.571,996.012
34.944,17.819,995.449
37.830,21.840,996.449
33.059,18.631,994.400
33.923,17.333,995.419
38.041,15.660,999.744
35.844,18.605,998.718
38.863,21.047,999.483
37.885,21.621,998.021
38.446,21.037,1000.201
37.913,20.072,996.841
38.433,21.510,1000.235
35.641,21.495,996.004
35.492,18.901,997.137
33.306,19.310,998.151
36.680,19.268,1001.946
33.687,18.712,998.968
36.546,19.406,1002.531
35.731,20.090,998.149
38.070,22.340,998.576
33.803,20.112,996.336
36.535,20.514,997.280
35.108,22.330,998.233
34.408,21.343,1000.949
36.717,21.798,1001.338
38.331,22.793,994.777
36.443,20.140,997.172
38.137,21.271,1001.726
34.832,20.180,1000.362
34.005,21.431,994.433
36.512,17.159,995.024
38.224,20.039,997.815
35.831,19.972,993.126
33.121,18.947,999.335
35.710,21.256,996.568
37.645,19.402,995.501
36.531,17.747,998.181
38.992,21.035,998.298
32.691,20.384,999.236
35.953,24.037,998.265
33.791,17.753,1001.495
38.940,18.821,998.365
34.712,22.840,1002.162
34.261,17.743,995.149
36.677,18.225,1003.052
35.291,22.276,996.698
33.388,19.735,1000.312
35.528,15.968,998.229
39.868,20.350,1002.161
35.311,17.950,999.510
33.368,20.787,997.804
35.621,21.799,997.591
36.263,22.397,996.485
35.116,22.878,997.795
36.885,13.714,999.131
36.773,16.263,994.512
39.118,19.494,996.202
36.175,21.375,997.910
35.857,19.905,995.055
30.962,27.252,997.728
35.724,16.633,998.906
38.035,20.545,997.017
32.529,22.816,995.639
36.074,17.586,1000.642
33.250,16.649,1000.670
36.558,20.843,1001.198
39.884,19.287,1000.825
39.584,18.480,1000.818
39.203,21.856,1004.159
35.782,18.933,994.574
35.576,18.283,996.913
32.108,23.186,995.324
30.118,16.771,1001.111
33.900,22.274,996.207
32.360,21.982,998.681
38.142,21.816,995.600
33.416,22.554,997.209
35.765,19.267,998.397
35.519,18.187,997.253
34.154,18.570,999.515
32.562,17.574,997.406
36.275,19.019,1001.302
34.626,20.594,1000.509
34.768,20.081,995.173
36.562,22.631,995.826
36.219,20.138,994.550
35.365,23.428,996.670
39.828,23.236,994.154
36.916,21.118,997.339
37.732,20.131,999.025
35.558,22.624,998.579
40.259,21.783,995.075
36.491,18.587,998.540
36.518,22.241,998.089
37.755,19.240,998.021
36.505,17.691,1000.598
39.311,18.672,995.062
35.527,17.238,996.729
37.741,18.460,998.588
39.496,20.838,999.421
36.677,23.494,997.589
36.023,21.262,1001.073
35.197,16.075,998.049
34.652,18.424,996.965
36.244,17.871,1000.159
36.663,20.645,998.946
37.466,19.037,997.418
33.667,22.109,994.501
35.111,20.644,1000.937
35.096,19.463,1001.630
35.481,16.889,1003.485
31.980,20.809,996.661
36.376,18.980,996.815
