acc_x[mg],acc_y[mg],acc_z[mg]
995.032,20.008,35.624
1001.864,17.568,33.672
996.496,16.592,40.016
994.544,20.496,35.136
996.496,20.008,33.672
1007.72,20.984,39.528
996.984,16.104,35.136
1001.864,17.568,33.184
995.032,20.496,32.696
998.448,18.056,37.088
991.128,20.984,35.136
1000.4,20.984,35.136
999.912,23.424,39.04
999.424,17.568,35.624
996.008,19.032,37.576
1000.4,20.496,33.184
999.912,20.496,33.672
1004.792,25.864,33.672
996.496,20.496,37.088
999.424,19.032,39.04
1003.816,19.52,34.648
996.984,16.592,31.232
1001.864,17.08,39.528
996.984,18.544,31.232
1001.864,16.592,38.064
998.448,21.472,37.576
1005.28,20.496,35.136
999.912,21.96,33.184
998.448,20.008,39.04
998.448,17.568,36.112
1001.376,21.96,39.528
1000.888,25.376,36.112
998.448,19.52,35.136
994.056,17.568,33.184
996.984,19.52,37.088
995.52,21.96,37.088
994.544,17.568,31.72
995.52,17.568,35.136
999.912,15.616,37.088
998.936,17.568,37.088
998.936,20.984,36.6
999.424,20.984,40.016
997.472,21.96,36.6
1001.864,20.496,39.528
994.056,20.008,37.088
1003.816,21.96,39.04
993.08,20.984,35.624
999.912,20.496,35.624
994.544,17.568,34.16
1002.84,20.984,34.16
999.424,17.568,37.088
1000.4,20.008,32.696
1002.352,18.544,37.576
998.448,20.496,35.136
998.936,21.96,38.064
996.496,20.984,35.624
997.472,20.008,33.672
996.496,20.984,38.064
1000.4,22.936,33.184
999.424,20.496,35.624
1003.816,22.448,36.112
993.08,22.448,38.552
997.96,20.984,37.088
998.448,20.496,36.6
1003.816,20.984,38.552
996.984,20.496,32.208
995.032,20.984,36.112
994.544,17.08,35.136
998.936,19.52,39.528
993.08,20.984,35.624
996.984,18.056,34.16
999.912,20.984,33.672
994.056,20.496,37.088
997.472,19.032,37.576
997.472,17.568,36.112
998.936,21.472,40.016
999.424,20.008,32.208
997.472,23.424,35.624
1001.864,21.472,34.648
998.448,15.616,35.136
1001.376,21.96,40.016
999.424,21.472,32.208
997.472,18.056,36.112
1000.4,17.568,35.136
1001.376,21.96,37.088
994.544,21.472,32.696
1004.304,16.592,34.648
994.544,17.568,37.088
1006.744,20.496,40.016
995.52,17.568,34.16
1000.4,20.984,33.672
996.496,21.96,35.136
996.984,21.472,36.6
997.472,24.4,35.136
997.96,18.056,36.112
999.424,13.664,36.6
992.592,16.592,37.576
997.96,20.496,38.552
997.472,20.496,37.088
995.52,20.496,35.136
996.984,24.4,33.672
997.96,24.4,30.744
999.912,13.664,39.528
994.544,24.4,35.624
997.96,20.984,32.696
998.936,18.056,36.6
1002.84,16.592,32.696
998.936,19.032,36.112
1003.328,21.96,38.064
998.448,16.592,40.992
1003.816,20.984,38.552
1002.352,20.984,39.528
