acc_x[mg],acc_y[mg],acc_z[mg]
35.624,20.008,995.032
33.672,17.568,1001.864
40.016,16.592,996.496
35.136,20.496,994.544
33.672,20.008,996.496
39.528,20.984,1007.720
35.136,16.104,996.984
33.184,17.568,1001.864
32.696,20.496,995.032
37.088,18.056,998.448
35.136,20.984,991.128
35.136,20.984,1000.400
39.040,23.424,999.912
35.624,17.568,999.424
37.576,19.032,996.008
33.184,20.496,1000.400
33.672,20.496,999.912
33.672,25.864,1004.792
37.088,20.496,996.496
39.040,19.032,999.424
34.648,19.520,1003.816
31.232,16.592,996.984
39.528,17.080,1001.864
31.232,18.544,996.984
38.064,16.592,1001.864
37.576,21.472,998.448
35.136,20.496,1005.280
33.184,21.960,999.912
39.040,20.008,998.448
36.112,17.568,998.448
39.528,21.960,1001.376
36.112,25.376,1000.888
35.136,19.520,998.448
33.184,17.568,994.056
37.088,19.520,996.984
37.088,21.960,995.520
31.720,17.568,994.544
35.136,17.568,995.520
37.088,15.616,999.912
37.088,17.568,998.936
36.600,20.984,998.936
40.016,20.984,999.424
36.600,21.960,997.472
39.528,20.496,1001.864
37.088,20.008,994.056
39.040,21.960,1003.816
35.624,20.984,993.080
35.624,20.496,999.912
34.160,17.568,994.544
34.160,20.984,1002.840
37.088,17.568,999.424
32.696,20.008,1000.400
37.576,18.544,1002.352
35.136,20.496,998.448
38.064,21.960,998.936
35.624,20.984,996.496
33.672,20.008,997.472
38.064,20.984,996.496
33.184,22.936,1000.400
35.624,20.496,999.424
36.112,22.448,1003.816
38.552,22.448,993.080
37.088,20.984,997.960
36.600,20.496,998.448
38.552,20.984,1003.816
32.208,20.496,996.984
36.112,20.984,995.032
35.136,17.080,994.544
39.528,19.520,998.936
35.624,20.984,993.080
34.160,18.056,996.984
33.672,20.984,999.912
37.088,20.496,994.056
37.576,19.032,997.472
36.112,17.568,997.472
40.016,21.472,998.936
32.208,20.008,999.424
35.624,23.424,997.472
34.648,21.472,1001.864
35.136,15.616,998.448
40.016,21.960,1001.376
32.208,21.472,999.424
36.112,18.056,997.472
35.136,17.568,1000.400
37.088,21.960,1001.376
32.696,21.472,994.544
34.648,16.592,1004.304
37.088,17.568,994.544
40.016,20.496,1006.744
34.160,17.568,995.520
33.672,20.984,1000.400
35.136,21.960,996.496
36.600,21.472,996.984
35.136,24.400,997.472
36.112,18.056,997.960
36.600,13.664,999.424
37.576,16.592,992.592
38.552,20.496,997.960
37.088,20.496,997.472
35.136,20.496,995.520
33.672,24.400,996.984
30.744,24.400,997.960
39.528,13.664,999.912
35.624,24.400,994.544
32.696,20.984,997.960
36.600,18.056,998.936
32.696,16.592,1002.840
36.112,19.032,998.936
38.064,21.960,1003.328
40.992,16.592,998.448
38.552,20.984,1003.816
39.528,20.984,1002.352
35.136,19.032,994.544
35.624,18.056,996.984
33.672,22.448,995.520
28.792,20.008,998.936
33.672,16.592,1000.400
32.208,25.864,994.544
34.160,19.032,1000.888
38.064,23.912,993.080
33.184,21.472,999.424
35.624,20.008,996.984
35.624,18.544,998.448
35.136,17.568,997.960
32.696,19.520,999.424
33.672,16.104,997.472
36.600,20.984,1002.352
34.160,19.520,1000.400
35.136,20.496,995.032
35.624,22.448,996.496
37.576,20.496,994.056
34.160,21.960,996.496
38.064,23.424,995.520
39.040,23.424,994.544
37.088,20.008,997.960
37.576,20.984,998.936
35.624,21.472,999.424
39.040,23.424,995.032
39.040,18.544,997.472
35.136,20.496,998.448
37.576,21.960,998.448
37.576,18.544,997.472
36.112,17.568,1002.352
40.016,19.032,993.568
35.624,17.080,997.960
36.600,18.056,996.496
39.528,19.520,1000.888
38.064,21.960,997.472
37.088,23.912,998.936
34.648,20.008,1000.888
37.088,16.592,998.448
32.208,17.568,996.496
38.552,18.544,999.912
33.672,19.032,999.424
40.016,20.496,998.936
34.160,19.520,995.520
35.136,21.960,996.008
34.160,21.472,1000.400
35.624,18.056,1003.328
35.624,19.032,1001.376
32.696,17.080,1002.352
33.672,22.936,991.616
38.064,16.592,1002.840
38.064,22.448,995.520
33.672,18.544,1003.328
34.648,19.032,998.936
38.064,20.496,999.912
37.576,14.640,993.568
35.136,19.520,1000.888
32.208,15.616,991.616
37.576,21.960,998.448
36.600,17.568,1000.400
26.352,17.568,1010.160
37.576,28.304,995.520
31.232,18.056,998.448
33.672,20.984,993.080
35.624,18.056,998.936
35.624,21.960,997.472
37.576,21.472,998.448
36.112,18.056,999.912
34.648,19.032,1003.816
37.576,19.520,1000.400
38.552,21.472,1005.280
37.088,18.544,994.544
32.696,25.864,998.936
35.136,18.544,999.912
30.744,15.128,994.544
35.624,21.472,993.568
38.552,20.984,996.496
32.696,16.592,1003.816
35.624,20.496,999.912
44.896,33.672,998.936
29.280,25.864,999.912
36.600,17.080,1002.352
42.456,17.568,992.592
34.160,16.104,996.496
41.968,19.032,1000.888
35.624,21.960,996.496
42.944,18.544,1001.376
57.096,58.072,1012.112
32.696,28.304,1009.184
3.904,73.200,962.336
-0.976,12.200,1041.880
95.648,4.880,990.640
236.680,-1.952,1098.976
65.392,1.464,1049.688
142.008,53.192,1012.600
83.936,-165.432,1192.184
-305.976,-330.864,2342.400
-268.400,-445.056,2275.544
91.744,-541.680,2282.376
-56.120,-339.648,2531.256
14.640,-590.480,1439.600
71.248,-603.656,-45.384
212.280,-139.080,-629.520
130.784,113.216,-293.776
-894.016,153.720,-875.472
-253.272,465.552,-1314.184
-313.784,716.384,-1015.040
-453.840,742.736,-379.664
-218.624,984.784,-75.640
-103.944,1116.056,201.544
-124.440,1095.560,139.568
-101.016,1044.320,75.640
-156.648,1024.800,-17.568
-175.680,970.632,-150.304
-222.528,926.712,-291.824
-197.640,951.600,-103.456
-164.944,976.488,-110.776
-166.408,979.416,-106.384
-201.544,969.168,-101.992
-177.632,1006.744,-84.424
-213.256,1011.136,8.784
-185.440,982.832,-80.520
-185.440,969.656,-176.656
-209.840,977.952,-118.096
-187.392,970.632,-66.856
-184.464,974.536,-107.848
-188.368,974.048,-98.576
-194.224,972.096,-82.960
-199.104,977.952,-115.168
-183.000,967.216,-129.320
-203.496,976.000,-115.656
-222.528,983.808,-83.936
-215.696,975.512,-77.104
-207.400,970.144,-109.800
-226.920,983.808,-68.320
