acc_x[mg],acc_y[mg],acc_z[mg]
31.833,18.687,912.931
36.465,17.116,1029.471
38.451,18.191,978.891
33.290,20.481,1006.210
38.125,20.759,996.383
36.158,16.470,1006.660
32.000,18.395,993.288
35.005,19.626,1001.742
36.207,19.213,990.274
34.920,21.671,999.931
38.321,22.422,999.127
36.331,17.743,999.294
36.167,19.934,996.537
32.592,20.091,1001.374
34.298,24.710,1002.537
36.275,21.204,998.372
39.524,18.884,999.697
31.203,18.763,1002.310
36.893,16.099,997.788
34.019,18.604,1000.711
36.169,16.972,998.335
38.473,21.489,1002.037
32.740,20.692,1002.683
37.173,21.717,999.162
37.238,17.226,997.867
38.515,22.359,1001.488
36.376,24.314,1000.317
33.847,18.079,996.727
35.150,18.468,994.776
37.859,21.647,997.216
31.872,18.145,993.176
35.881,16.940,997.570
37.037,15.914,998.952
36.897,19.848,999.750
38.613,21.229,998.030
38.185,21.684,999.780
37.964,20.350,998.032
38.635,20.592,998.903
36.741,22.005,998.533
35.815,19.951,995.968
33.635,18.791,997.525
35.683,19.617,1000.922
34.794,18.636,1000.026
35.316,19.302,1001.512
36.314,19.713,999.992
37.385,22.078,997.663
34.972,20.671,997.291
35.426,20.065,996.564
36.077,22.489,998.763
33.673,21.176,1000.335
37.370,22.050,1001.716
37.649,22.419,994.311
37.084,20.437,998.012
37.511,20.906,1001.785
34.791,20.661,999.707
33.917,20.602,993.398
37.640,17.237,996.665
37.477,20.738,996.471
35.174,19.218,994.325
32.822,19.682,1000.105
37.910,21.336,994.310
35.935,17.689,997.658
39.047,19.676,997.563
35.140,20.491,1000.096
34.305,22.631,997.288
34.727,21.294,1001.439
36.700,16.372,998.343
37.366,23.153,1002.177
32.893,18.854,996.517
36.991,17.684,1001.189
35.295,21.430,998.684
33.919,20.996,998.671
34.655,15.544,999.452
40.021,20.456,1001.110
35.416,17.737,1000.428
33.440,21.138,997.182
35.679,21.291,998.068
36.136,23.236,996.058
35.300,21.362,998.706
36.854,13.845,998.198
37.261,16.525,994.315
38.775,20.969,997.127
35.837,19.816,997.389
34.785,23.046,995.297
30.810,24.531,998.806
38.856,15.633,998.168
34.580,23.648,995.917
34.233,19.964,997.656
35.058,16.452,1002.035
33.912,18.837,999.852
39.526,20.904,1002.148
39.426,17.722,999.119
39.850,21.215,1005.047
36.513,20.286,996.813
35.619,17.358,996.136
33.116,23.040,995.529
29.862,17.662,1000.067
33.584,21.105,997.424
32.559,22.604,997.962
37.594,21.433,996.277
33.944,22.772,996.748
35.370,18.996,998.692
35.890,18.328,997.131
33.390,18.463,999.905
33.401,17.513,997.049
36.048,19.686,1002.474
34.580,20.193,998.520
34.934,20.988,995.763
37.303,22.006,995.096
34.851,20.623,995.561
37.747,24.326,995.607
38.672,21.974,994.858
37.276,20.581,998.831
36.380,20.916,999.322
37.904,23.342,996.374
39.212,18.880,996.326
35.031,21.061,999.380
38.491,20.897,996.897
35.975,17.350,1001.223
39.258,18.848,996.139
36.222,17.314,996.003
36.918,18.219,998.319
39.776,20.397,999.614
36.728,23.518,997.704
36.193,21.292,1000.878
34.980,16.350,998.123
34.971,18.152,997.072
35.974,18.319,1000.220
37.225,20.336,999.043
36.615,19.486,996.577
33.889,22.073,995.279
35.002,20.448,1001.896
35.635,18.469,1002.092
34.179,17.787,1002.681
32.705,20.952,994.460
38.289,18.649,999.551
37.054,21.048,998.230
33.235,18.540,1002.098
37.053,20.041,998.884
37.861,16.770,996.265
35.174,17.346,997.272
32.452,18.148,994.612
39.614,20.509,997.478
28.900,16.509,1008.029
34.333,25.428,999.583
33.005,20.890,996.449
33.484,18.459,994.517
36.053,20.693,999.504
36.458,21.154,996.413
36.958,20.095,1001.445
34.562,16.879,1000.702
38.033,22.293,1004.517
38.410,17.743,999.038
34.207,24.847,997.721
34.135,19.352,998.426
31.746,16.785,997.257
36.295,19.944,990.370
37.099,21.624,1003.547
32.016,14.240,998.519
44.451,34.950,1002.634
30.318,22.425,995.539
38.932,21.065,1006.154
38.907,11.870,985.556
37.685,23.826,1008.335
38.755,12.984,988.675
41.789,32.809,1010.077
56.114,39.366,1005.466
18.936,55.325,999.146
-5.257,38.625,982.776
67.798,4.633,1046.152
224.919,-8.983,1032.094
59.968,27.590,1113.116
176.449,-14.773,923.472
-161.007,-281.412,1920.487
-317.066,-424.261,2382.072
66.790,-521.042,2266.798
-49.176,-367.472,2437.729
39.314,-668.247,787.985
147.864,-340.768,-535.796
188.142,98.221,-375.447
-784.560,152.362,-815.382
-238.937,542.414,-1357.457
-403.360,723.104,-716.871
-335.786,867.049,-187.443
-102.047,1117.936,157.507
-125.060,1085.476,154.362
-107.148,1047.198,49.761
-170.488,1002.370,-53.385
-197.931,941.469,-264.055
-217.506,938.643,-157.172
-153.424,982.041,-91.806
-185.466,971.113,-114.270
-185.102,983.838,-97.454
-200.756,1015.417,-30.010
-194.510,988.461,-38.927
-184.940,970.387,-187.420
-207.988,976.675,-90.911
-181.923,971.028,-87.157
-188.285,975.403,-104.975
-191.895,972.228,-86.004
-198.756,976.349,-111.054
-183.733,968.497,-132.037
-215.214,979.886,-100.788
-219.064,981.286,-76.008
-209.740,968.387,-101.075
-221.424,984.279,-78.097
-210.259,964.919,-93.486
-208.820,974.038,-102.771
-196.257,973.290,-104.674
-198.227,983.759,-116.402
-199.448,986.686,-76.222
-208.673,971.953,-116.528
-204.800,951.148,-104.418
-220.122,968.728,-129.151
-229.350,963.633,-89.260
-226.446,988.281,-98.523
-216.012,968.913,-89.388
-210.468,976.318,-121.177
-213.052,966.354,-115.002
-227.339,985.007,-94.320
-208.745,952.248,-103.485
-220.759,978.662,-98.642
-210.148,946.590,-121.398
-233.076,994.813,-100.619
