acc_x[mg],acc_y[mg],acc_z[mg]
27.119,23.390,931.808
28.916,26.432,1026.532
24.855,21.003,986.067
30.355,24.686,1005.625
26.623,20.426,995.790
26.847,20.262,1006.299
30.090,19.987,998.724
27.796,20.787,1005.658
32.580,21.735,999.242
29.068,21.842,1000.956
28.700,21.074,996.423
29.343,21.606,1000.999
25.585,21.725,996.884
27.082,22.130,1002.085
27.255,20.563,997.003
29.315,21.481,996.180
28.027,24.505,997.377
27.242,22.591,1000.877
22.967,21.725,996.613
25.018,24.132,998.306
24.300,21.878,1000.686
26.402,19.213,999.514
27.639,21.048,998.672
26.694,22.652,997.684
26.756,20.767,997.529
28.452,25.312,998.805
26.242,23.990,996.742
28.385,20.492,998.925
26.616,22.849,998.871
31.078,21.321,996.306
30.813,23.374,1000.470
26.189,21.520,996.958
28.336,19.430,998.807
29.485,22.450,1002.466
26.835,24.496,999.182
27.473,22.808,994.567
29.073,20.819,995.935
21.997,21.204,1000.533
27.035,21.112,998.148
28.096,20.536,997.604
29.669,20.956,1000.421
28.374,20.343,997.053
26.919,22.187,999.675
30.855,21.489,998.371
27.745,23.790,996.926
26.977,22.262,996.961
28.990,17.207,995.547
26.407,25.067,1005.656
26.358,23.378,998.354
26.868,22.143,997.380
23.900,23.195,999.069
28.518,23.177,1000.359
28.700,20.923,998.763
29.419,20.120,1000.097
27.514,22.394,999.497
25.803,24.426,998.998
24.351,23.840,994.264
26.665,21.185,999.274
27.027,22.474,995.731
29.383,20.095,995.639
29.963,22.977,1001.511
28.759,21.013,996.773
29.268,20.837,996.139
25.660,19.212,998.263
28.923,16.033,1004.676
30.721,22.988,997.384
26.498,22.928,999.404
23.967,23.881,999.011
23.208,21.797,997.798
26.567,21.337,1000.587
28.277,24.099,998.999
25.830,16.767,999.670
26.750,21.708,996.831
28.304,20.433,1000.136
25.817,21.802,998.925
29.010,18.631,1004.757
27.395,21.934,1003.361
30.806,19.344,1001.276
23.072,22.562,999.755
28.409,20.470,996.230
30.592,22.000,998.565
24.918,22.425,1002.187
27.422,21.848,996.988
28.829,20.442,999.146
30.400,21.214,999.933
22.858,19.921,998.869
28.922,21.441,1002.722
26.081,23.389,996.928
28.383,19.922,994.758
26.392,21.567,997.190
27.554,21.183,999.239
26.360,24.897,997.969
26.408,23.958,997.127
24.205,22.388,996.562
27.842,20.819,997.302
26.664,18.009,1000.289
26.633,21.352,998.283
30.906,17.466,995.494
31.536,24.581,1002.712
26.545,18.508,997.247
26.642,19.336,1001.673
24.972,26.390,1000.142
29.714,22.419,997.137
26.100,18.110,1000.571
21.927,22.308,1001.160
24.253,19.036,1000.776
22.199,18.000,999.454
29.188,23.285,1000.230
26.240,23.014,1000.837
25.761,19.238,996.630
27.239,22.094,996.220
28.479,19.356,1000.209
26.706,21.142,1001.588
29.793,21.470,999.510
27.906,20.064,996.809
26.338,17.622,999.539
26.269,21.328,998.877
26.255,22.770,994.622
27.545,19.628,1002.628
23.999,25.916,1000.914
28.879,19.340,1001.009
28.901,21.900,998.930
25.409,18.624,1001.310
26.324,19.982,996.846
29.118,21.081,998.890
24.694,23.164,999.376
25.705,17.908,1000.237
34.329,23.531,1000.920
25.842,24.952,992.888
27.357,20.419,997.426
31.630,22.403,1001.768
31.026,23.434,997.521
26.873,26.329,1000.398
30.526,20.862,1003.495
27.858,21.100,999.292
29.147,19.209,1002.365
25.493,23.299,997.010
25.917,15.903,999.338
30.354,22.848,995.167
26.771,22.791,995.343
26.122,20.638,999.415
26.128,20.494,1001.033
26.956,17.683,1000.504
27.566,24.003,999.013
26.688,22.508,997.345
24.888,21.190,998.087
29.065,20.958,993.790
26.138,20.545,1002.104
29.983,21.184,996.874
27.917,19.790,997.432
24.173,23.524,1000.422
26.967,21.790,996.171
28.669,20.029,997.682
25.559,22.304,997.326
27.355,19.827,999.152
30.293,18.356,999.622
25.958,23.713,998.704
26.936,20.597,998.069
25.966,24.762,1003.309
26.079,21.413,1000.076
23.340,21.847,1000.216
28.100,22.953,999.010
33.334,23.931,999.279
28.205,20.550,1002.408
25.771,18.302,1001.333
26.353,20.827,1000.466
27.173,21.247,1002.779
26.637,24.909,995.456
28.251,22.447,1005.317
25.397,24.382,1003.602
23.245,19.024,999.955
29.568,22.413,997.827
22.045,23.912,1003.974
32.842,18.691,998.098
24.992,21.515,1006.998
28.263,21.718,996.248
23.353,26.903,1000.910
31.537,20.895,997.276
22.145,23.318,1001.708
29.444,19.121,995.938
22.808,18.646,998.920
32.995,17.842,992.137
22.701,23.367,1003.596
36.071,16.668,992.872
18.088,26.447,1005.110
35.153,17.240,993.768
22.107,27.370,1008.317
40.412,12.097,989.897
9.905,26.745,1008.313
47.630,13.508,985.459
-1.493,30.430,1023.015
76.383,1.721,973.304
-65.316,58.425,1041.987
482.423,-158.066,800.097
181.794,-158.156,964.692
-85.601,40.864,1026.222
-4.385,57.983,983.863
39.263,15.705,990.047
55.978,44.972,1006.966
-221.528,11.883,936.375
-192.312,232.353,943.636
-1164.683,416.060,596.676
-53.877,7.784,979.109
124.544,82.479,1001.265
20.457,85.788,1025.434
212.913,-81.106,1152.302
205.218,7.420,1132.281
244.703,-208.382,1237.978
324.213,-8.460,1319.742
327.931,80.357,909.414
254.959,143.260,768.498
-164.837,230.495,723.549
-823.886,257.929,732.073
-947.311,392.314,1092.139
-1704.702,325.043,1176.319
281.114,-108.724,441.268
1817.113,36.758,1052.719
1364.530,151.769,1206.773
363.380,-134.138,545.510
-816.258,122.809,1288.541
-1531.824,318.119,1578.060
-1185.038,213.137,1120.058
186.576,-194.504,506.438
1918.635,278.104,1499.098
752.268,-39.265,1166.231
181.151,32.650,773.913
-1008.619,130.930,1147.457
-1503.055,276.724,1397.076
-1101.073,197.910,966.510
893.364,-152.999,565.694
2129.538,339.221,1462.400
401.909,-82.482,712.584
-1053.932,46.463,974.681
-1404.766,267.379,1220.495
-850.431,32.093,657.093
66.664,14.863,731.117
140.579,295.896,1017.152
154.724,50.507,700.755
268.840,136.297,1066.413
111.340,101.212,1159.500
207.429,38.119,1135.471
5.583,134.151,1155.787
-37.588,-32.187,1010.074
-30.163,41.956,1161.852
-54.951,-4.466,984.012
-100.444,16.234,947.822
-100.643,-9.815,954.969
