acc_x[mg],acc_y[mg],acc_z[mg]
-28.284,105.151,918.791
-36.779,109.909,1028.053
-32.035,88.476,984.279
-27.401,107.905,1007.962
-13.209,112.099,986.619
-13.928,114.208,1001.865
-25.305,111.084,985.100
-30.834,114.540,1005.776
-12.650,107.997,999.208
2.490,95.150,988.285
6.080,84.041,985.322
-2.661,79.707,997.397
-23.446,101.139,999.723
-10.770,115.301,1005.550
5.539,118.414,981.968
-6.395,94.583,992.323
-14.469,100.797,997.174
-21.162,97.676,1010.762
-14.770,91.491,997.965
-15.682,112.958,990.711
-10.509,133.654,1004.236
-12.089,107.483,1015.047
-0.944,51.384,1016.121
-3.319,52.981,1006.179
-9.363,77.168,999.701
-12.417,104.246,998.569
-16.078,155.788,999.315
-15.614,127.103,1016.793
-18.227,45.946,1005.731
-25.877,52.806,999.917
-19.109,118.120,998.981
-10.386,142.401,1006.753
-2.735,110.121,1013.922
-6.132,80.870,1005.924
-22.743,68.113,1000.830
-22.777,115.909,1001.448
-11.055,151.669,1002.266
-9.773,115.995,996.749
-28.436,80.393,994.418
-23.681,118.540,998.888
-22.735,136.099,1001.340
-20.112,128.169,994.521
-23.014,85.146,994.096
-32.124,89.445,988.519
-29.258,105.652,989.541
-23.119,92.791,993.100
-19.408,110.556,997.790
-25.242,156.850,992.247
-41.200,79.191,994.528
-51.240,53.397,982.957
-23.386,214.632,996.986
-6.033,290.948,975.186
-27.066,285.939,972.082
-32.806,374.544,980.306
-16.388,416.659,991.319
-44.821,303.109,1000.814
-57.025,222.379,970.178
-53.970,222.253,885.346
-46.857,47.647,699.647
-48.848,-371.642,540.220
-13.723,-890.794,538.612
70.118,-976.092,578.437
55.187,-640.421,489.629
-37.925,-665.770,325.428
-7.233,-1043.221,216.670
68.239,-1273.987,170.324
-3.117,-1092.773,155.918
-6.608,-859.978,44.215
12.500,-822.475,-89.732
42.379,-1013.692,-177.912
31.532,-1140.816,-245.978
24.052,-1128.645,-351.894
44.334,-1120.301,-339.906
40.882,-1147.748,-367.275
41.988,-1081.273,-394.251
38.067,-979.526,-452.366
57.068,-949.401,-503.595
73.005,-974.160,-513.138
65.188,-989.544,-449.223
72.396,-953.487,-418.777
50.020,-874.616,-414.176
58.375,-901.184,-414.167
37.783,-839.151,-402.414
49.769,-988.952,-433.852
35.533,-1245.600,-417.109
57.261,-1646.151,-451.189
65.040,-1896.175,-374.685
62.865,-2195.194,-526.211
8.178,-1992.687,-1131.628
74.218,-1407.047,-1674.139
28.966,-384.210,-1767.767
-8.551,640.408,-1415.494
-128.525,2662.752,24.747
83.099,3840.922,1112.605
9.642,1515.548,839.713
-36.936,-1328.084,1046.638
-232.496,-1341.328,812.079
-224.670,988.580,853.474
184.298,1474.932,1024.741
-21.526,1013.397,944.171
-117.524,78.849,926.172
-91.065,67.497,926.766
-42.200,368.852,961.624
-29.713,691.605,940.121
-55.148,584.660,944.707
-74.308,363.341,938.045
-63.016,189.999,912.757
-51.034,361.340,931.068
-29.136,491.295,920.096
-30.193,495.203,927.985
-54.186,332.867,917.790
-58.207,296.620,921.791
-51.042,361.049,929.507
-28.626,464.833,925.095
-42.693,443.469,922.160
-45.465,391.267,928.755
-46.838,257.411,915.463
-47.117,277.884,925.161
-30.946,434.549,945.926
-37.200,481.321,930.371
-45.809,392.944,932.987
-44.518,318.543,925.553
-50.292,288.386,941.727
-40.264,382.640,933.398
-34.123,390.896,935.332
-40.903,365.990,929.910
-56.153,413.401,932.499
-46.362,423.854,933.159
-44.535,345.382,930.948
-45.658,224.265,944.047
-46.485,284.956,950.105
-39.004,444.612,935.611
-35.824,428.044,935.056
-46.373,332.656,942.065
-44.396,290.495,951.891
-43.339,289.009,947.754
-47.826,376.704,942.906
-34.890,427.199,934.788
-33.078,399.119,933.481
-40.877,356.916,938.075
-50.337,295.093,937.769
-57.153,284.288,941.746
-39.255,384.263,939.116
-37.259,403.531,946.153
-44.157,324.776,944.878
-46.463,315.828,940.993
-49.126,351.318,939.782
-43.267,363.396,937.662
-36.254,366.678,934.092
-34.102,367.401,935.507
-38.610,351.485,943.619
-51.844,349.382,950.415
-42.794,366.559,948.441
-35.832,337.566,935.501
-49.606,342.104,947.390
-40.097,358.930,942.650
-28.068,361.627,922.659
-44.221,367.098,927.149
-35.487,409.262,908.160
-48.310,438.562,923.118
-45.055,456.751,932.700
-44.185,492.511,946.879
-22.797,620.182,968.215
-21.269,651.299,948.757
-75.450,379.366,879.704
-97.230,5.065,893.335
-64.552,-61.673,897.487
-36.591,34.681,825.848
-40.052,-76.922,690.963
-46.988,-450.180,556.891
-0.776,-764.653,507.347
32.579,-688.520,429.861
-37.918,-505.516,236.810
-42.089,-706.173,-30.527
15.162,-1274.656,-159.277
29.120,-1578.676,-159.880
-14.153,-1325.646,-159.155
8.478,-1155.430,-199.280
11.499,-1155.916,-226.144
13.802,-1102.371,-292.256
24.594,-1022.489,-317.554
38.355,-1065.219,-330.297
13.027,-1045.570,-355.382
40.966,-971.442,-367.676
18.295,-878.009,-363.447
35.998,-910.692,-375.450
24.956,-907.369,-390.202
31.344,-918.736,-427.494
24.579,-898.620,-413.268
39.782,-951.396,-406.912
13.783,-870.566,-384.635
