acc_x[mg],acc_y[mg],acc_z[mg]
2.275,-25.485,920.500
1.329,-23.351,1019.494
-2.000,-25.928,981.000
-4.407,-48.279,1017.423
-1.337,-59.190,999.542
-5.420,-24.909,1017.903
-7.210,-17.990,1008.664
-9.769,-53.456,1013.221
-5.579,-55.591,997.878
3.941,-38.812,1007.094
6.724,-28.381,989.655
-7.866,-20.207,1005.375
-5.586,-41.996,1003.936
-9.302,-53.884,1010.137
-5.954,-46.938,997.643
-3.308,-39.399,1006.061
0.031,-29.088,1000.668
-15.052,-43.360,1008.466
-14.231,-47.311,1005.683
-1.863,-45.446,1007.939
-2.195,-31.999,1002.957
-9.879,-27.644,1004.007
-4.281,-39.802,1012.998
-2.670,-41.548,1006.287
-15.669,-30.185,1013.343
-7.268,-33.707,1006.240
-7.958,-50.921,1010.976
-7.380,-44.069,1010.622
-1.835,-32.196,993.526
-5.918,-41.402,1005.236
-5.666,-39.863,1003.502
-13.966,-38.285,1003.648
-6.728,-30.664,999.127
-8.350,-29.892,998.376
-9.903,-27.819,1000.281
-13.252,-46.321,1011.499
-10.824,-41.827,998.776
-1.528,-19.753,1000.888
-6.614,-31.104,1008.259
-8.850,-41.015,1016.317
-2.459,-29.298,1004.192
-0.193,-24.985,1008.350
-11.522,-29.042,1006.809
-12.809,-49.042,1009.080
-7.932,-57.041,1010.708
-4.913,-30.362,1003.143
-6.237,-19.285,1006.092
-9.702,-46.407,1005.297
-6.580,-45.546,997.562
-3.780,-28.725,997.836
-1.180,-26.689,994.603
-7.386,-30.415,996.108
-11.458,-29.191,1009.513
-11.362,-33.185,1014.682
-3.554,-43.278,1015.112
-6.723,-37.740,1009.337
-10.713,-16.469,1019.283
-13.523,-19.801,1022.880
-6.089,-50.236,1018.910
-10.757,-44.344,1003.797
-14.372,-25.634,1012.060
-2.353,-30.026,1012.372
1.361,-29.313,999.207
-8.411,-26.349,979.944
-8.157,-34.721,983.560
2.336,-39.147,964.172
-7.347,-11.383,971.984
-3.511,-17.558,949.171
-2.445,-27.444,937.128
-2.688,-29.140,911.346
20.943,-33.336,843.937
52.242,-17.282,779.563
48.022,4.940,643.002
36.096,-32.861,543.080
59.566,-30.262,431.733
32.859,-85.897,438.916
-79.671,-304.174,542.534
-281.302,-487.116,630.437
-544.356,-488.013,687.225
-783.545,-299.254,808.827
-906.740,-7.381,1023.955
-922.636,172.442,1224.629
-953.105,-14.578,1370.244
-967.188,-234.230,1434.973
-937.731,-245.871,1420.393
-891.537,-150.632,1380.985
-773.875,-18.819,1285.598
-681.427,24.579,1182.765
-665.478,-68.944,1098.200
-674.852,-163.414,993.375
-642.517,-174.310,904.472
-572.558,-162.483,869.619
-490.238,-135.794,926.371
-439.264,-103.949,879.189
-428.768,-121.598,804.470
-388.190,-172.172,808.337
-323.383,-192.242,876.075
-285.466,-180.289,898.323
-286.288,-143.498,896.074
-265.210,-98.178,854.784
-203.476,-71.111,869.585
-147.580,-80.170,920.510
-147.738,-95.974,928.552
-147.266,-110.966,893.914
-116.343,-100.257,889.612
-75.313,-57.969,915.347
-36.216,-21.570,928.260
-4.851,-16.783,897.802
-15.214,-50.149,912.872
-34.676,-56.552,934.879
-20.530,-18.518,966.579
2.391,-15.828,972.904
7.380,-35.660,973.116
-9.912,-46.418,972.520
-9.507,-13.448,952.769
17.968,8.492,948.718
41.497,-7.528,964.956
47.691,-18.452,979.470
38.342,-40.548,961.656
46.390,-7.130,925.985
71.150,32.335,944.939
60.953,29.889,969.688
42.107,22.709,954.283
36.815,10.656,966.218
33.712,-4.627,986.879
31.760,24.314,1021.909
34.515,31.569,1016.806
45.661,9.796,1005.240
33.469,-4.188,1006.345
20.388,-7.920,1009.473
25.601,-2.637,1015.943
41.188,9.093,1002.125
23.297,-14.044,1002.359
16.611,-19.332,1012.697
25.820,5.786,998.437
34.365,11.371,1007.289
19.254,-5.128,1003.716
20.207,-8.436,1003.034
18.220,1.860,999.318
24.404,16.694,1012.477
23.805,9.811,1006.333
7.595,10.729,1010.626
10.739,11.556,1012.447
21.408,7.430,1009.932
8.349,4.261,1019.618
1.830,0.868,1009.948
15.306,11.640,997.685
17.049,4.563,1012.322
3.771,-11.134,1009.915
6.202,17.461,1002.929
11.622,21.665,1008.273
11.044,11.619,1002.587
9.688,-7.931,1007.884
11.609,-22.264,1012.635
