acc_x[mg],acc_y[mg],acc_z[mg]
-28.552,107.145,935.283
-36.836,109.976,1023.287
-32.190,89.086,986.704
-28.695,105.119,1007.154
-14.839,112.826,987.134
-12.562,113.306,1002.086
-22.299,112.402,985.513
-31.611,112.599,1001.711
-19.669,112.722,1001.767
-0.864,98.019,994.246
5.385,89.827,980.735
3.703,77.329,996.788
-15.128,90.986,993.960
-22.369,108.729,1009.323
1.084,120.424,991.111
1.439,108.669,985.939
-9.773,92.765,992.806
-17.842,103.882,1003.725
-19.783,92.672,1008.201
-14.335,95.588,994.872
-15.121,118.898,991.172
-10.165,133.889,1008.732
-11.646,98.215,1014.357
0.408,48.023,1016.910
-4.428,55.072,1003.869
-9.141,77.816,1000.857
-12.629,104.292,997.549
-15.862,154.398,999.713
-15.779,133.396,1015.425
-17.400,52.127,1008.409
-25.248,45.673,999.082
-21.472,105.785,999.909
-11.682,144.067,1002.994
-5.146,119.797,1014.595
-2.145,89.570,1008.077
-18.261,66.783,1002.526
-24.530,92.450,999.960
-17.010,144.527,1003.352
-6.317,140.150,999.004
-20.090,89.439,995.324
-28.718,93.311,994.940
-21.479,131.451,1002.037
-23.100,135.726,998.074
-18.877,115.700,994.543
-26.886,77.932,992.479
-32.023,98.163,988.116
-28.235,102.966,990.081
-21.587,92.248,994.361
-20.023,118.366,997.280
-26.131,156.277,992.017
-43.162,70.130,994.506
-50.403,57.764,982.360
-23.873,214.381,997.944
-5.305,290.835,975.167
-25.663,283.671,971.929
-33.931,361.639,979.123
-17.240,422.187,989.292
-37.055,329.660,1001.235
-58.586,229.172,981.376
-53.252,227.914,916.715
-50.848,130.532,764.858
-45.588,-203.293,578.368
-39.240,-705.117,524.427
39.828,-1025.602,569.148
78.164,-791.092,551.034
8.021,-586.723,403.698
-48.578,-822.788,268.602
41.443,-1190.061,187.024
48.014,-1240.087,170.340
-16.480,-999.683,128.013
1.497,-820.040,0.509
18.530,-861.319,-120.044
46.282,-1056.532,-190.233
25.435,-1148.815,-267.649
28.081,-1118.753,-358.133
44.392,-1130.267,-337.444
41.050,-1138.858,-371.953
41.628,-1086.870,-394.169
38.407,-967.957,-453.414
55.436,-962.308,-501.482
73.975,-957.383,-515.745
63.973,-1004.998,-457.153
74.434,-948.721,-419.724
51.568,-899.004,-414.893
58.566,-879.881,-415.315
41.554,-871.616,-402.787
46.695,-896.029,-424.927
39.676,-1169.050,-424.547
47.257,-1465.616,-435.678
61.412,-1829.597,-422.071
73.738,-2037.447,-385.293
26.418,-2210.047,-801.785
35.207,-1723.257,-1422.208
67.590,-1052.332,-1769.480
17.217,39.087,-1705.482
-55.661,1144.151,-1052.526
-96.931,3380.222,541.671
118.136,3470.528,1080.755
-35.474,790.019,843.343
-32.650,-1650.605,1058.584
-286.877,-1003.971,763.955
-164.624,1160.811,895.939
183.430,1451.807,1014.691
-27.190,989.488,948.391
-121.566,67.800,920.667
-88.541,67.798,930.737
-49.247,330.718,955.959
-25.208,683.689,947.712
-53.019,607.199,937.058
-71.360,420.567,948.543
-67.864,190.051,909.317
-53.767,311.884,931.428
-36.542,454.715,920.359
-24.723,526.853,927.476
-45.981,385.457,921.058
-58.970,302.429,918.864
-55.811,310.747,925.981
-39.834,431.386,929.756
-29.261,457.420,920.813
-50.093,435.467,926.758
-41.065,335.841,924.816
-52.150,242.331,913.929
-39.555,318.302,934.288
-32.166,470.749,943.582
-38.517,461.735,928.796
-47.303,380.597,933.025
-43.662,304.890,925.715
-51.551,297.343,943.523
-38.011,386.550,931.583
-35.209,390.791,936.154
-40.034,363.902,929.298
-56.594,413.560,932.763
-47.011,423.766,933.476
-44.078,361.228,930.267
-46.030,234.762,941.957
-45.894,257.726,950.653
-42.364,416.063,939.410
-33.565,452.396,932.577
-44.683,354.831,940.485
-45.347,303.646,947.917
-43.245,278.017,952.380
-46.059,335.337,942.755
-43.582,415.405,941.120
-29.393,419.374,929.963
