acc_x[mg],acc_y[mg],acc_z[mg]
-0.045,-5.556,941.607
-2.538,-21.180,1029.307
-10.054,-30.860,993.268
-3.235,-25.511,1024.474
0.331,-32.296,1005.877
-3.021,-19.790,1017.383
-4.315,-3.309,999.360
5.365,-8.754,1006.702
1.389,-31.986,993.924
-6.364,-34.742,1006.993
-11.812,-25.433,1003.034
-2.095,-17.054,1013.357
3.159,-27.776,1006.517
-2.137,-32.175,1010.300
-1.001,-15.547,1012.217
-3.668,-10.484,1017.232
-8.129,-14.276,1002.267
-7.768,-21.525,1014.230
-3.353,-28.091,1000.543
1.809,-27.149,1000.587
0.848,-18.313,1002.547
-9.679,-14.723,1006.180
-7.298,-17.811,994.604
-7.719,-21.594,1002.119
3.276,-28.433,1003.382
-6.864,-30.620,997.071
-1.915,-21.027,1010.916
-3.139,-20.752,1001.647
-1.342,-20.011,1007.488
0.132,-8.071,1000.835
-7.856,-24.315,1015.502
-7.259,-36.523,1015.156
-9.773,-20.888,1018.040
0.046,-3.471,1007.546
-4.370,-10.739,1014.158
-6.024,-29.478,1000.022
-2.091,-22.681,1009.876
-4.059,-10.769,1003.979
-10.934,-17.965,1003.106
-9.680,-31.432,999.046
-8.437,-15.576,1000.044
8.750,-14.598,1000.083
3.038,-20.626,987.965
-2.429,-18.028,998.532
0.198,-18.245,1002.422
-11.425,-27.860,1002.008
-13.590,-6.410,1005.642
-13.078,-4.677,999.680
-8.536,-27.683,1005.369
-8.748,-37.038,1012.489
-22.161,-37.066,1013.625
-14.528,-18.758,1017.923
-0.337,-8.817,1011.048
-10.083,-27.805,1002.716
-8.477,-23.986,1000.676
-4.885,-14.118,991.162
-8.904,-7.222,999.800
-13.765,-20.286,998.821
-14.502,-23.519,1000.080
0.673,-23.712,1006.380
-0.904,-36.229,1001.262
-16.916,-36.791,1012.804
-10.151,-24.653,1010.881
-7.296,-25.961,1013.276
-9.201,-34.188,1029.303
-15.652,-37.097,1041.491
-11.081,-32.025,1074.744
-18.738,-27.056,1091.174
-50.475,-39.030,1202.357
-91.223,6.213,1391.681
-166.435,89.482,1543.202
-204.012,211.618,1643.779
-206.273,255.751,1779.393
-226.566,-30.406,1713.116
-242.493,-373.257,1474.118
-178.762,-293.768,1148.758
-64.302,4.382,834.937
62.489,62.523,532.839
232.888,-82.095,269.256
463.482,-226.799,136.579
694.223,-324.862,-29.438
878.904,-376.113,-78.400
991.434,-243.450,-67.171
985.731,29.042,-6.608
952.882,185.706,59.968
893.722,126.932,132.433
781.379,11.216,284.903
662.573,15.193,472.472
575.344,72.750,624.235
545.679,95.796,686.380
511.685,95.713,781.649
481.023,67.303,860.779
474.130,32.570,921.677
462.379,-3.481,940.077
424.466,-45.559,875.635
410.742,-44.628,878.080
394.941,-8.908,930.102
363.849,-37.517,944.357
318.865,-78.665,986.054
257.596,-59.177,1017.908
227.726,28.064,1042.486
232.473,128.883,1035.101
252.534,131.198,1002.566
228.420,-22.219,1031.964
181.579,-165.758,1028.049
114.778,-112.792,993.895
110.319,25.834,1024.035
140.680,83.104,1051.299
124.654,-1.740,1039.203
94.062,-109.667,1020.982
61.335,-120.867,1010.339
31.448,-56.746,1050.801
53.169,21.389,1042.534
55.099,48.025,1031.520
33.451,-38.419,1029.169
12.752,-109.750,1043.723
-5.371,-51.574,1025.513
-2.794,25.379,1020.556
6.872,14.108,1073.051
-28.576,-51.668,1082.734
-57.467,-62.552,1088.732
-51.553,-5.885,1083.154
-27.117,11.418,1108.600
-30.150,-28.326,1103.815
-53.510,-46.995,1081.005
-44.179,-25.142,1062.264
-30.539,-5.252,1056.937
-19.203,-28.542,1034.414
-29.558,-56.698,1022.086
-18.305,-50.096,1002.778
-12.991,-45.441,989.403
-15.509,-51.007,983.569
-16.382,-49.609,988.484
-10.305,-48.561,991.180
-14.306,-58.325,978.639
-17.790,-47.697,1004.281
-19.647,-11.380,1005.892
-23.149,-1.308,1014.305
-5.256,-35.598,1013.257
-9.152,-71.439,1010.464
-17.598,-70.317,1009.243
-14.151,-12.296,1004.871
-1.980,-7.452,1016.507
-9.193,-51.247,1023.806
-14.320,-65.480,1012.600
-7.750,-41.087,1002.180
2.768,-29.833,998.572
7.289,-39.878,992.575
7.022,-49.407,997.694
2.799,-41.128,991.717
0.332,-36.506,1006.438
-1.200,-41.282,1004.967
-2.359,-42.737,1005.211
-0.652,-60.809,1016.530
10.142,-51.554,1004.395
13.492,-24.218,993.959
2.278,-21.414,1001.673
-3.716,-33.669,1007.001
-3.574,-44.069,1015.332
6.296,-54.066,1003.118
11.572,-46.989,1003.834
7.682,-34.962,1000.606
10.405,-30.332,995.556
9.348,-27.084,1007.248
12.315,-33.849,1008.574
13.243,-43.575,1000.104
