acc_x[mg],acc_y[mg],acc_z[mg]
-30.256,114.192,1000.888
-36.112,110.288,1001.864
-33.672,92.232,997.472
-30.744,96.624,1002.352
-22.936,110.776,992.592
-11.712,113.704,997.472
-14.152,112.24,994.056
-22.936,113.704,991.128
-31.72,110.776,996.496
-23.424,115.656,1005.28
-6.344,101.504,997.96
4.392,94.672,982.832
4.88,83.448,988.688
1.952,78.568,994.544
-20.008,93.208,997.96
-20.008,109.8,1006.744
-4.392,118.096,996.984
7.32,116.632,981.856
-9.272,93.208,992.592
-10.248,99.552,995.032
-22.936,101.504,1009.184
-16.104,91.256,1004.792
-16.104,96.624,996.008
-14.152,117.12,988.2
-11.224,134.2,1008.208
-11.712,115.656,1010.648
-5.856,67.344,1019.432
1.464,43.432,1010.648
-7.32,62.952,1003.328
-8.784,79.544,999.424
-13.176,104.432,998.936
-15.128,149.328,996.984
-16.592,149.816,1013.088
-15.128,81.984,1013.576
-21.96,36.112,1002.352
-24.888,62.464,998.936
-20.496,118.096,1000.4
-9.76,143.472,1002.84
-7.32,122.976,1015.528
0.488,93.696,1008.696
-13.664,73.688,1005.28
-22.936,70.272,998.936
-23.424,117.608,1002.84
-13.176,148.84,1001.376
-6.344,135.664,999.912
-20.496,88.328,993.568
-28.792,88.816,996.496
-22.936,124.44,998.448
-22.448,136.152,1003.328
-20.984,131.76,993.08
-20.496,100.04,996.496
-27.816,77.592,989.664
-33.672,100.04,989.176
-26.352,103.456,989.664
-25.376,93.208,992.592
-17.08,102.968,999.424
-24.4,147.864,991.128
-30.256,135.664,996.984
-48.312,44.896,987.712
-49.288,74.664,986.736
-21.96,212.768,994.056
-8.296,290.848,983.808
-14.64,280.6,963.8
-40.016,320.128,983.32
-20.984,406.504,976.488
-22.448,405.04,999.424
-40.992,304.512,996.984
-60.512,224.48,980.392
-52.704,230.824,922.808
-51.728,165.432,802.272
-46.848,-64.416,633.912
-45.872,-464.088,527.528
-17.568,-886.696,540.704
63.928,-1013.576,576.328
71.248,-740.296,536.8
10.248,-589.016,405.528
-51.24,-772.016,280.112
12.688,-1108.248,207.4
68.808,-1272.704,166.408
7.808,-1139.48,167.384
-14.152,-921.832,87.84
4.392,-808.128,-25.376
20.496,-872.056,-124.928
46.36,-1044.32,-190.32
29.768,-1145.336,-240.584
23.424,-1128.744,-346.48
37.576,-1120.448,-345.504
46.36,-1135.088,-346.48
38.064,-1138.504,-380.64
43.92,-1065.792,-396.256
36.6,-974.048,-457.744
52.216,-954.04,-490.928
73.688,-962.336,-524.6
64.904,-981.856,-479.704
71.736,-996.008,-436.76
66.856,-925.248,-413.824
52.216,-888.16,-416.264
56.608,-889.624,-415.288
44.896,-861.32,-400.648
41.968,-883.768,-421.632
46.36,-1056.52,-427.488
38.064,-1323.456,-423.584
54.168,-1623.088,-446.52
67.344,-1878.312,-394.304
67.832,-2095.472,-411.872
32.696,-2179.408,-797.88
18.056,-1843.664,-1352.248
81.984,-1227.808,-1715.32
24.4,-441.64,-1775.344
7.32,510.448,-1525.0
-106.384,1792.912,-569.496
-55.144,3704.408,796.904
124.928,3380.376,1069.696
-33.184,918.904,820.816
-25.864,-1220.976,1069.208
-182.512,-1761.68,849.608
-324.032,454.328,782.752
31.72,1321.016,977.952
161.528,1508.896,1006.256
-56.12,770.064,935.984
-123.464,135.664,925.248
-90.28,-7.808,925.248
-63.928,265.472,950.624
-25.376,570.96,958.432
-37.088,678.808,933.544
-60.512,573.4,947.696
-73.688,341.112,940.376
-65.392,210.328,908.656
-56.608,280.112,931.592
-38.552,442.128,921.832
-27.328,519.72,924.76
-31.72,462.624,925.736
-55.632,344.04,918.416
-58.56,284.504,920.856
-53.68,333.792,925.736
-42.456,422.12,932.568
-23.912,465.552,917.44
-51.24,442.128,929.152
-40.504,385.52,922.808
-48.8,282.064,923.784
-48.312,240.584,911.584
-38.552,357.704,944.28
-30.744,471.408,939.4
-38.552,469.456,930.616
-46.848,395.28,933.056
-43.432,327.448,925.248
-49.288,286.944,936.472
-47.336,326.96,940.864
-36.112,404.552,930.616
-34.648,381.616,936.96
-40.992,365.024,928.664
-54.168,407.48,932.08
-52.704,426.024,934.032
-40.992,400.16,931.104
-47.824,298.168,933.056
-43.92,218.136,948.184
-47.336,285.968,948.184
-40.992,424.072,940.376
-33.672,457.744,930.616
-42.456,371.856,940.864
-46.36,317.688,943.304
-43.92,283.528,954.04
-43.432,290.36,947.208
-47.336,359.656,943.304
-41.48,421.632,938.912
-29.28,418.704,931.104
-37.576,385.032,935.984
-40.992,348.432,938.912
-50.264,295.728,935.496
-59.048,274.744,945.256
-43.92,350.872,935.008
-37.088,411.384,946.72
-38.064,382.104,942.816
-46.36,312.808,947.696
-45.384,318.664,938.424
-49.288,344.528,941.352
-46.848,362.584,938.424
-37.576,365.024,935.008
-37.088,366.976,935.008
-32.208,367.464,935.008
-40.016,349.896,945.256
-49.776,347.944,948.184
-48.312,363.56,952.088
-36.6,356.24,940.376
-38.552,330.864,936.96
-52.216,347.944,949.16
-38.552,357.216,943.792
-28.304,363.072,921.832
-39.528,361.12,929.152
-41.48,385.52,916.464
-36.6,423.096,909.144
-50.264,440.176,927.2
-44.896,458.72,931.104
-44.408,478.24,945.256
-32.696,574.864,959.408
-14.152,664.656,971.608
-34.648,597.8,921.344
-86.864,307.928,878.4
-92.72,9.76,890.112
-76.616,-79.056,906.216
-37.088,18.056,853.512
-39.528,11.712,768.112
-41.968,-177.144,637.816
-44.408,-520.696,543.632
-2.928,-766.16,508.984
40.016,-720.288,447.496
-18.056,-546.56,318.176
-48.8,-538.752,98.088
-29.28,-878.4,-95.648
26.84,-1364.936,-162.504
27.328,-1576.24,-162.504
-10.248,-1383.968,-152.256
-1.464,-1174.128,-188.856
12.688,-1157.048,-210.328
13.176,-1148.264,-244.0
11.712,-1081.896,-304.024
27.328,-1029.192,-313.296
38.064,-1048.224,-331.352
18.544,-1071.16,-342.088
25.864,-1009.184,-369.904
37.576,-933.544,-361.608
18.544,-882.792,-367.464
34.16,-898.408,-374.296
29.28,-922.808,-384.056
27.816,-906.704,-421.632
25.376,-905.728,-419.68
35.624,-926.224,-415.776
28.304,-925.248,-397.72
24.4,-896.456,-389.912
20.984,-929.64,-380.152
4.88,-1017.968,-352.336
-3.904,-1139.968,-353.312
10.736,-1450.824,-402.112
5.856,-2022.272,-430.904
130.296,-2834.304,-487.512
-119.072,-3321.328,-1128.256
-102.48,-2004.216,-2344.352
181.536,-635.864,-2882.616
-7.32,531.432,-2544.432
-77.592,2029.104,-1172.664
178.12,4294.4,602.192
108.336,3178.344,1254.648
104.92,979.904,780.8
-186.416,-711.504,1113.128
-174.704,-2259.928,809.592
-397.72,15.128,795.928
-21.472,1094.584,992.592
155.184,1522.072,1057.496
3.416,938.424,1004.304
-162.016,251.808,870.592
-91.744,86.376,926.224
-72.224,217.16,953.552
-46.848,478.728,962.336
-56.608,594.872,950.624
-41.968,559.248,946.72
-49.288,427.0,931.592
-75.64,326.472,928.664
-71.248,315.248,926.712
-68.32,325.496,920.368
-50.752,338.184,917.928
-51.728,394.304,919.392
-42.456,462.136,928.176
-44.896,467.504,916.952
-61.976,398.696,906.704
-57.096,321.104,920.856
-52.704,309.88,934.032
-48.312,370.88,921.344
-43.432,425.536,936.96
-43.432,440.664,916.952
-48.312,414.8,919.392
-41.48,394.792,925.736
-52.704,334.768,928.176
-64.416,261.08,933.544
-62.952,301.096,929.152
-43.432,418.216,934.52
-31.72,467.992,928.664
-39.04,427.488,922.32
-52.704,349.408,934.52
-60.024,317.688,933.056
-47.336,359.168,930.616
-43.432,421.632,932.08
-50.264,399.672,934.52
-61.488,329.888,924.76
-60.024,317.688,937.448
-50.264,386.984,925.248
-50.264,436.272,927.688
-52.216,395.768,936.472
-59.048,329.888,941.84
-51.728,339.16,942.816
-52.704,370.88,939.4
-49.776,346.968,932.08
-42.944,361.608,924.76
-38.064,414.312,930.128
-56.608,414.312,946.232
-58.56,374.784,950.136
-62.464,351.36,953.064
-57.584,336.72,940.376
-54.168,298.656,946.72
-44.896,339.16,936.96
-43.92,399.672,936.472
-48.8,389.912,939.4
-49.288,339.16,922.808
-60.512,314.76,942.816
