acc_x[mg],acc_y[mg],acc_z[mg]
0.200,-5.191,925.406
-3.147,-22.304,1033.573
-9.757,-30.140,991.914
-2.524,-26.265,1025.730
0.377,-31.827,1005.268
-4.295,-15.847,1016.187
-2.098,-1.839,998.838
5.901,-15.273,1004.986
-1.373,-35.697,995.341
-8.978,-31.768,1007.945
-9.926,-21.085,1005.198
2.843,-19.274,1012.939
-0.019,-33.665,1006.130
-1.613,-23.711,1011.864
-1.996,-10.780,1016.333
-6.390,-12.325,1007.840
-8.927,-18.623,1008.422
-4.524,-26.514,1008.268
-0.049,-28.457,997.101
2.943,-20.540,1003.874
-8.692,-14.576,1004.866
-7.526,-17.313,997.363
-8.283,-20.939,999.439
2.791,-27.940,1004.973
-6.262,-30.707,996.664
-2.104,-21.149,1010.588
-3.306,-20.856,1002.127
-0.621,-19.161,1006.499
-1.132,-8.068,1002.508
-7.681,-28.370,1015.819
-8.315,-34.702,1016.509
-7.714,-16.146,1015.051
0.393,-1.859,1009.472
-6.205,-18.438,1010.683
-4.624,-29.434,1000.680
-1.488,-17.200,1011.142
-7.911,-10.315,1000.626
-10.402,-27.672,1003.917
-10.468,-24.604,996.534
0.920,-11.918,1003.789
8.997,-19.275,990.365
-3.679,-19.696,993.815
1.589,-16.292,1002.609
-8.480,-27.052,1001.580
-13.637,-13.273,1005.264
-13.389,-0.850,1001.151
-9.554,-25.150,1003.076
-7.745,-35.984,1012.856
-21.278,-38.089,1012.833
-15.356,-19.224,1018.403
-0.291,-9.339,1010.414
-10.499,-27.743,1003.355
-7.801,-23.535,999.292
-5.223,-12.511,992.069
-9.517,-8.337,1000.252
-14.862,-22.588,998.302
-11.866,-22.423,1001.957
3.713,-26.810,1005.852
-7.200,-38.625,1002.515
-16.492,-32.621,1016.201
-7.391,-22.676,1006.796
-8.080,-30.440,1023.240
-11.942,-35.651,1030.884
-15.233,-36.619,1061.796
-10.532,-25.855,1079.516
-37.908,-36.858,1143.199
-72.315,-17.913,1321.095
-142.140,60.717,1505.617
-199.910,173.578,1610.740
-205.133,270.161,1754.939
-220.788,49.911,1747.250
-243.772,-339.965,1517.510
-190.902,-325.746,1191.112
-73.555,-14.122,857.334
56.632,65.876,546.022
233.103,-82.301,269.070
473.104,-231.153,130.667
710.851,-332.015,-39.497
897.543,-372.251,-77.031
997.729,-203.268,-62.956
978.078,76.927,10.624
944.452,188.797,71.106
865.159,89.655,169.457
743.095,-2.271,342.088
623.993,37.729,538.833
559.707,85.636,652.776
533.010,98.937,722.769
494.145,84.832,826.251
475.120,48.684,891.747
471.508,13.590,944.763
439.565,-29.925,902.822
412.450,-53.262,863.822
403.029,-16.632,917.866
372.665,-23.127,940.148
332.540,-73.222,974.275
268.437,-68.741,1013.575
229.911,10.712,1038.510
230.339,119.662,1039.554
251.753,137.083,1003.154
230.580,-14.486,1030.339
180.884,-165.636,1028.332
113.544,-107.695,993.444
112.404,35.261,1028.336
142.097,79.580,1050.622
118.666,-22.010,1037.397
89.432,-120.853,1015.107
50.562,-109.649,1018.501
34.132,-34.359,1055.173
58.711,40.286,1035.718
47.723,27.966,1031.057
25.122,-80.407,1032.455
3.793,-97.060,1043.715
-7.913,-7.399,1011.406
5.989,31.594,1050.367
-8.543,-23.103,1081.222
-50.958,-69.577,1087.716
-56.470,-27.743,1083.070
-35.214,14.803,1099.645
-23.907,-16.282,1110.024
-50.796,-46.806,1085.924
-47.098,-31.319,1065.222
-32.981,-5.769,1057.797
-19.275,-24.172,1037.949
-28.935,-55.626,1022.391
-19.195,-50.863,1004.121
-12.843,-45.157,989.124
-15.627,-51.472,983.463
-16.121,-48.840,989.701
-9.749,-49.851,989.072
-15.954,-58.499,980.976
-16.998,-41.861,1007.323
-22.286,-3.812,1005.860
-18.561,-8.671,1017.062
-3.559,-47.803,1010.409
-13.254,-79.071,1011.863
-18.066,-48.923,1005.544
-8.093,0.882,1009.056
-3.003,-28.338,1021.787
-14.057,-64.850,1020.504
-11.248,-53.656,1004.324
-1.538,-30.466,1001.295
6.828,-35.463,992.642
7.185,-47.597,997.417
4.413,-44.987,992.678
0.294,-35.565,1002.270
-0.528,-41.230,1007.364
-2.545,-41.247,1002.939
-0.981,-59.020,1016.678
8.857,-53.836,1005.573
14.073,-24.854,994.255
1.934,-21.581,1001.220
-3.565,-33.947,1007.976
-3.501,-45.194,1014.657
8.110,-54.138,1002.447
10.572,-44.868,1004.206
8.351,-33.440,998.526
10.070,-29.682,997.498
10.162,-27.064,1009.755
12.661,-38.944,1006.044
13.334,-39.625,997.981
4.621,-24.508,1002.205
-1.626,-35.864,1008.709
13.832,-38.880,993.727
19.327,-33.193,990.977
5.841,-35.260,995.828
5.568,-48.935,1007.774
9.246,-35.604,1000.970
5.114,-24.067,1002.012
2.163,-28.563,1012.258
1.799,-34.262,1019.574
8.347,-27.984,1000.397
15.643,-27.364,1004.301
15.306,-41.335,984.003
9.694,-39.629,1004.530
3.301,-34.025,1052.463
-27.484,-31.054,1181.836
-104.326,52.902,1480.366
-223.015,103.582,1773.504
-355.332,84.519,1877.329
-312.049,67.557,1898.916
-192.817,-23.011,1745.976
-171.219,-140.277,1363.506
-134.806,-189.358,991.054
-38.277,-228.958,593.605
143.027,-236.111,318.365
369.462,-141.735,149.812
574.868,-46.978,-3.078
734.566,-0.528,-75.989
879.113,-7.398,-130.538
953.181,-72.613,-100.531
945.562,-117.970,-24.799
867.920,-40.422,93.873
793.078,85.893,200.604
724.732,122.106,410.447
640.171,18.125,656.769
548.664,-69.404,721.463
533.747,-10.337,770.507
555.064,119.100,841.239
549.727,66.550,899.877
512.034,-98.785,909.303
462.354,-120.362,852.015
424.857,-25.022,859.009
414.423,42.839,884.139
398.697,-0.460,963.182
326.539,-51.973,975.873
248.930,-45.906,951.761
234.119,-12.173,1002.685
226.050,13.687,1043.314
214.555,29.194,1019.923
191.715,-1.817,1030.225
121.981,-99.425,1027.426
87.165,-88.236,1035.283
120.292,29.208,1060.599
121.934,22.287,1062.812
79.868,-103.905,1041.145
49.790,-143.261,1009.955
50.447,-76.466,1066.841
57.677,-21.791,1072.947
20.257,-7.680,1068.510
6.521,20.585,1063.843
3.778,-6.449,1103.306
7.435,-105.925,1105.137
-13.726,-102.399,1068.658
-14.720,9.123,1066.590
-10.312,55.749,1083.972
-9.877,-16.157,1068.930
-7.775,-51.587,1062.926
-8.174,-73.665,1044.967
-12.409,-60.982,1045.668
2.367,-24.723,1030.127
2.162,-39.357,1019.647
-0.346,-68.546,1012.332
-2.569,-78.623,1008.078
-8.297,-32.058,1027.157
-1.869,-6.493,1008.938
3.889,-64.539,998.194
-5.982,-84.743,1010.359
-6.177,-20.499,999.772
11.714,-9.877,1015.195
12.757,-64.569,1010.312
-5.764,-96.175,998.952
8.827,-57.888,1009.474
28.087,12.802,1004.301
12.393,10.221,1019.073
17.347,-46.911,994.410
14.845,-98.624,981.150
17.459,-88.521,981.853
4.450,-10.230,997.467
14.975,9.778,1015.430
33.755,-29.704,985.417
16.322,-82.572,1010.587
9.811,-77.985,1009.271
8.737,-10.384,1003.413
22.551,3.168,1006.461
23.645,-46.909,996.834
14.067,-70.870,998.397
10.504,-29.177,1006.466
26.739,-1.142,1020.758
33.825,-26.491,1028.602
36.766,-65.556,1012.621
34.778,-54.897,987.079
38.507,-39.339,998.501
31.333,-53.925,1008.669
30.840,-45.596,1002.151
25.415,-41.979,1011.465
25.012,-53.850,1003.301
20.081,-58.364,1000.254
19.724,-67.873,1007.452
25.599,-40.321,997.390
37.761,2.240,991.911
28.266,-34.266,990.960
16.838,-62.310,999.012
20.348,-58.651,1007.954
28.783,-34.632,1013.892
33.337,-34.119,1012.766
26.058,-63.434,1008.801
17.861,-52.599,1006.262
32.046,-34.831,1000.558
39.849,-40.574,1002.070
39.427,-32.164,1006.342
28.443,-59.298,1000.068
30.399,-67.531,992.231
40.945,-48.154,1012.759
46.436,-47.273,1022.396
26.969,-90.295,1052.016
28.557,-83.000,1066.128
45.022,-39.161,1133.933
29.096,-0.271,1334.364
-55.072,17.415,1511.456
-151.772,41.376,1675.624
-207.950,112.363,1866.961
-317.838,128.505,1952.643
-294.877,275.532,1719.162
-252.606,206.029,1326.541
-242.129,-275.119,844.714
-132.695,-595.983,381.245
132.861,-477.600,84.038
509.139,-161.883,-218.451
821.653,-10.551,-383.388
1021.231,-127.212,-408.283
1047.988,-239.657,-325.405
1021.867,-152.298,-209.736
986.346,5.521,-116.967
880.429,46.747,67.539
732.385,-50.619,274.615
641.021,-103.420,508.699
604.476,-68.380,636.756
580.210,-32.363,744.326
529.181,-63.576,890.556
457.400,-98.504,945.546
470.088,-42.150,985.677
491.450,42.484,970.014
440.800,-3.237,929.824
384.119,-121.830,993.670
350.934,-192.516,1004.228
326.506,-105.135,984.521
322.158,32.873,1022.237
275.639,37.520,1027.993
204.248,-55.598,988.390
211.669,-88.785,989.327
175.296,-14.990,1057.921
138.267,0.100,1038.969
140.891,1.255,988.609
133.109,-53.466,1033.926
69.671,-161.491,1056.255
36.777,-78.386,1040.446
62.481,140.898,1068.650
78.057,184.489,1074.000
62.866,-4.807,1077.911
46.082,-170.582,1078.315
10.070,-131.612,1057.408
40.044,1.981,1079.605
68.036,77.176,1082.733
24.211,-6.332,1069.631
26.602,-105.962,1042.229
23.005,-124.350,1031.155
27.827,-17.916,1041.839
35.369,44.182,1049.416
39.479,-22.634,1037.430
22.974,-100.970,1006.451
22.468,-69.139,1021.106
48.940,-1.688,1021.127
52.187,-11.072,1024.322
30.949,-71.088,1010.063
25.722,-76.546,1000.458
40.387,-30.710,1016.577
45.888,-12.021,1011.668
38.329,-32.240,1000.369
31.097,-49.471,996.108
39.967,-44.987,1000.474
43.784,-37.945,994.580
38.215,-54.535,1004.288
43.123,-51.255,999.994
41.928,-54.194,1002.310
39.794,-41.700,995.868
43.226,-24.428,1002.144
57.262,-34.294,1007.618
44.838,-63.316,1020.379
34.849,-62.037,1008.240
40.394,-37.266,1009.493
56.641,-47.438,1002.360
46.327,-54.656,994.787
45.055,-47.008,997.855
63.881,-7.477,993.064
65.999,-34.358,1011.616
45.953,-74.490,1005.565
