acc_x[mg],acc_y[mg],acc_z[mg]
35.351,-26.014,946.239
47.153,-20.824,1033.159
49.429,12.393,998.774
57.485,32.296,1024.107
57.087,-10.908,1000.854
38.387,-31.809,1020.229
41.188,13.859,1005.578
53.008,18.428,1025.411
59.465,-10.329,1012.071
34.605,-5.331,1006.180
49.020,3.688,1009.548
63.158,5.092,1003.163
65.217,-9.606,1004.061
48.144,-26.145,1010.344
46.914,-14.824,1004.374
60.595,3.846,1004.466
56.553,-3.831,994.573
44.001,-15.422,994.123
50.428,19.715,993.379
65.589,23.562,987.070
47.062,-22.234,993.828
37.756,-22.855,989.151
66.335,9.892,990.151
74.367,10.649,997.780
51.215,-20.219,1010.340
40.749,-5.562,1025.839
44.860,15.806,1017.596
61.194,-7.891,1014.606
57.315,-37.514,1013.018
52.203,-13.855,1018.149
62.446,20.192,1017.655
57.126,-13.537,1015.565
36.009,-44.783,1007.981
29.022,6.204,1005.693
53.140,46.591,1003.943
57.286,18.870,1001.356
39.811,7.771,997.275
53.229,20.017,998.208
65.566,9.105,990.164
57.191,-8.181,996.308
47.330,-13.387,990.893
37.450,-12.222,1007.206
48.071,12.614,1016.376
39.189,9.410,1018.291
24.282,6.650,1014.287
31.221,30.397,1014.666
42.276,24.480,1016.018
35.122,-3.411,1022.927
26.705,16.466,1023.812
35.781,22.825,1019.137
37.291,9.111,1008.369
29.966,-2.286,1007.159
40.064,30.887,1002.022
49.748,43.738,1005.301
43.168,31.899,983.272
35.359,-69.271,988.403
26.298,-19.221,978.890
39.439,215.994,1006.039
42.643,530.913,1048.065
43.837,778.762,1113.273
81.343,1010.371,1025.380
88.285,971.848,548.792
163.325,660.698,-459.727
191.412,2.328,-1496.152
175.563,-781.680,-2098.489
203.004,-2449.623,-1802.515
253.256,-3598.096,-443.350
-25.792,-1996.844,-42.117
3.947,-740.273,-326.938
219.414,-383.902,-595.749
126.388,-849.105,-690.130
139.491,-1337.389,-595.697
174.104,-1264.773,-481.944
158.614,-824.476,-497.911
145.279,-782.370,-493.673
112.263,-957.787,-430.752
105.253,-1049.365,-373.081
104.910,-955.245,-374.893
97.166,-927.891,-437.897
88.260,-1029.085,-408.118
100.328,-1137.889,-300.054
107.528,-1076.273,-279.555
109.249,-781.215,-297.456
92.748,-681.453,-243.111
111.756,-959.482,-73.042
95.424,-1357.463,69.094
57.818,-1486.742,19.879
47.586,-1150.646,-23.873
73.562,-718.289,94.358
106.084,-506.949,261.599
97.261,-589.550,421.318
72.846,-803.798,512.945
70.517,-899.901,576.326
61.353,-842.780,616.108
58.702,-718.996,665.755
53.805,-609.274,713.248
47.732,-461.582,765.722
37.160,-288.959,826.068
28.868,-170.794,871.014
7.752,-164.740,914.492
1.119,-267.560,967.589
14.261,-233.066,989.473
5.317,-20.669,994.121
-8.613,125.847,977.422
-22.923,39.764,990.166
-9.256,-176.287,1015.549
-10.544,-215.559,1024.494
-15.633,23.314,1013.314
7.135,225.313,983.233
5.504,114.586,956.867
-38.762,-186.654,999.593
-49.049,-81.965,1002.339
-11.909,314.918,970.703
19.408,473.137,970.281
-4.979,353.721,979.382
-37.206,163.528,972.852
-45.850,171.488,993.973
-15.684,304.750,980.449
-10.453,386.287,986.023
-13.523,353.062,985.284
-20.893,256.572,1000.901
-18.720,185.038,984.672
-13.745,147.343,970.540
-29.948,172.453,976.783
-25.684,288.123,988.442
-14.116,335.391,984.887
-16.795,279.432,972.846
-16.572,178.071,955.489
-19.313,78.547,964.384
-28.493,150.018,975.098
-29.625,310.001,981.410
-7.803,320.690,979.617
-15.751,213.732,972.979
-28.104,127.435,972.504
-29.659,114.305,988.923
-14.921,195.336,980.345
-7.404,268.007,982.496
-8.599,263.278,990.764
-18.648,209.888,999.589
-23.877,191.011,999.498
-11.869,160.800,987.427
-16.928,114.210,985.372
-19.169,175.701,981.240
-3.549,268.596,982.782
-8.346,251.549,989.307
-12.709,194.837,983.854
-12.935,161.743,979.539
-21.042,116.779,991.904
-8.737,155.522,990.541
-6.888,250.705,985.403
-9.232,237.280,981.652
-17.766,169.932,973.866
-21.369,146.555,988.465
-12.989,158.084,996.024
-15.792,186.511,988.535
-10.964,209.908,986.165
-10.497,192.862,986.943
-12.920,170.850,990.472
-14.243,160.984,988.466
-7.607,163.464,989.146
-12.383,181.969,986.874
-22.688,215.145,994.606
-12.898,205.908,996.775
-13.548,173.655,997.311
-10.993,165.639,990.318
-16.538,152.431,978.747
-19.655,135.298,995.619
-22.748,206.264,996.765
-15.466,201.980,1000.945
-13.511,179.805,991.746
-11.388,156.647,990.199
-22.972,184.064,977.296
-15.977,149.616,999.307
-13.468,187.205,985.854
0.166,162.229,990.873
-6.218,175.051,973.700
-18.036,84.973,991.907
-33.014,139.436,970.641
-3.094,197.128,987.947
-11.812,305.526,979.067
-2.179,166.380,978.885
-33.304,155.989,947.233
-11.014,201.598,959.317
-44.906,577.578,983.916
18.905,1003.746,1277.026
47.781,1843.539,1257.935
125.510,2238.953,339.220
62.579,1723.906,-1492.944
142.195,78.351,-2895.292
-155.924,-931.147,-3368.373
19.249,-4523.727,-1923.203
704.206,-4850.976,-51.496
-35.746,-954.383,-204.794
-60.084,-209.844,-583.685
90.519,75.628,-782.662
168.486,-1367.213,-620.251
120.279,-1711.480,-443.107
133.440,-1255.384,-372.680
56.092,-564.628,-374.202
42.049,-744.107,-290.911
34.704,-884.851,-276.763
38.414,-1069.799,-248.037
29.023,-1007.318,-235.716
49.744,-1058.194,-258.977
44.018,-946.064,-318.402
51.797,-968.146,-303.079
59.057,-1021.640,-243.315
67.745,-1147.724,-177.969
48.641,-1068.179,-162.817
23.673,-1025.891,-94.033
25.221,-1015.518,-15.429
62.158,-1066.061,34.687
43.596,-1056.891,91.871
33.471,-1113.163,144.255
53.331,-1057.190,145.975
49.314,-874.066,212.625
30.781,-760.140,332.207
43.859,-814.093,424.458
49.677,-768.880,448.059
32.078,-617.758,519.559
13.596,-580.486,627.474
39.302,-743.390,704.620
49.401,-761.947,734.660
28.799,-497.067,754.389
-2.539,-223.480,799.210
4.494,-193.021,888.992
34.946,-367.796,942.201
23.467,-457.922,936.353
1.867,-277.898,954.996
-4.550,-68.048,964.902
-5.059,-62.719,974.421
-11.090,-268.824,997.689
10.570,-413.241,969.036
4.530,-259.750,1005.279
-9.106,44.614,991.282
-22.072,151.940,993.294
-6.456,-28.842,995.468
-24.765,-365.549,1015.565
-20.445,-230.406,1017.416
1.561,233.496,985.077
-1.851,429.829,976.725
-40.037,244.684,986.660
-31.504,-160.024,1026.792
-21.040,-279.669,992.065
-26.038,43.228,988.557
-11.012,360.229,997.263
-16.882,373.801,1019.564
-26.044,185.864,1011.922
-27.146,-3.327,998.733
-28.430,-76.196,987.695
-28.781,32.084,1002.869
-11.379,215.558,1008.210
-6.430,283.454,1009.888
-27.454,232.720,997.960
-30.539,121.369,978.402
-32.703,-56.984,991.391
-31.180,-56.445,997.600
-22.862,119.646,999.290
-9.116,235.505,1020.656
-29.403,159.249,1009.199
-44.680,102.394,986.802
-18.341,27.720,994.929
-5.105,-86.625,992.411
-12.138,18.637,989.348
-13.277,175.252,995.392
-25.009,197.906,1005.892
-27.392,121.594,993.938
-28.527,39.066,993.184
-21.796,-28.198,1009.675
-14.200,46.652,1015.128
-12.761,170.985,1013.036
