acc_x[mg],acc_y[mg],acc_z[mg]
2.729,-25.995,936.872
0.883,-23.323,1015.191
-1.047,-25.100,982.080
-5.237,-45.151,1015.960
-0.735,-60.645,999.483
-5.263,-32.658,1017.394
-6.114,-13.294,1007.687
-10.143,-45.060,1016.805
-6.839,-59.291,997.007
-0.637,-43.896,1009.275
9.309,-32.483,991.681
-3.061,-21.574,1000.657
-7.323,-28.601,1002.645
-6.959,-52.856,1010.451
-8.738,-49.905,1001.935
-4.650,-45.604,1002.165
-1.302,-33.073,1003.323
-3.291,-32.626,1003.596
-18.569,-46.410,1007.560
-9.858,-47.024,1006.509
-1.198,-43.583,1006.802
-3.134,-29.222,1002.794
-10.732,-29.231,1004.927
-2.524,-40.758,1013.565
-4.145,-41.103,1005.287
-15.282,-29.609,1014.230
-7.768,-33.999,1005.607
-7.138,-50.191,1010.921
-8.642,-45.911,1011.870
-1.010,-31.673,993.792
-6.445,-40.722,1003.662
-4.217,-40.111,1004.214
-13.513,-39.425,1003.827
-8.681,-32.114,1000.008
-6.951,-30.348,998.859
-9.798,-27.075,997.645
-11.475,-37.973,1009.158
-13.762,-49.572,1005.290
-4.800,-27.102,997.147
-2.609,-21.974,1004.644
-9.282,-38.922,1012.849
-6.505,-37.062,1013.097
-0.238,-26.075,1002.436
-3.133,-25.492,1010.848
-14.018,-33.334,1004.541
-10.897,-54.647,1011.938
-7.490,-52.948,1007.829
-4.341,-24.965,1003.816
-7.384,-22.077,1006.126
-9.242,-48.794,1004.806
-6.492,-43.935,996.750
-3.400,-28.442,998.153
-1.278,-26.655,994.457
-7.093,-30.278,995.657
-11.331,-29.459,1008.926
-11.781,-31.869,1013.674
-4.492,-42.520,1016.498
-5.310,-40.282,1008.741
-10.170,-21.444,1017.447
-13.161,-13.888,1021.631
-8.976,-42.675,1022.666
-6.601,-51.056,1006.765
-16.095,-30.342,1008.069
-7.117,-26.725,1013.830
0.994,-31.355,1007.897
-1.940,-26.761,986.418
-12.069,-28.555,981.978
-1.527,-40.138,976.701
-0.692,-29.895,963.686
-7.997,-7.666,970.791
-1.572,-23.768,939.021
-3.794,-26.576,938.125
0.447,-31.164,894.034
27.647,-32.081,835.533
54.688,-12.691,761.088
45.268,3.784,629.126
37.276,-35.840,534.902
59.869,-29.267,428.800
33.160,-86.090,438.782
-74.168,-295.005,538.810
-262.229,-478.261,624.623
-514.047,-499.197,680.410
-751.499,-336.760,781.322
-895.288,-66.410,981.665
-920.297,162.289,1181.844
-942.885,60.668,1338.272
-968.952,-188.872,1424.258
-949.361,-259.697,1431.331
-915.156,-195.084,1398.473
-830.559,-72.786,1335.035
-712.169,23.945,1223.113
-667.738,-11.280,1144.779
-669.618,-121.811,1047.664
-669.717,-176.189,955.787
-616.458,-169.363,876.408
-545.942,-156.693,888.699
-466.893,-123.364,926.165
-436.670,-102.973,853.968
-422.416,-132.592,797.371
-377.066,-179.762,819.201
-313.776,-191.706,884.367
-284.976,-177.553,897.746
-285.787,-139.725,895.227
-263.685,-96.804,852.310
-203.453,-70.978,870.956
-148.538,-79.546,917.709
-147.000,-94.862,931.444
-148.714,-109.595,895.981
-122.836,-104.969,888.882
-82.443,-66.353,908.150
-46.024,-28.437,931.616
-9.618,-13.151,903.396
-8.470,-39.009,904.486
-30.482,-61.460,927.569
-29.904,-33.284,953.942
-5.430,-10.543,975.172
7.611,-27.081,970.106
0.673,-43.529,976.289
-15.185,-37.364,963.108
1.601,3.737,948.563
27.764,1.849,952.866
46.727,-9.594,972.354
44.828,-26.949,977.805
37.932,-37.812,951.093
52.082,5.119,923.712
72.992,34.442,953.583
56.804,28.222,967.948
41.421,22.135,953.975
36.369,9.049,967.530
33.570,-4.620,988.044
31.948,24.741,1022.044
33.779,31.681,1017.479
45.985,11.965,1005.426
35.038,-3.857,1006.025
22.225,-6.980,1008.564
21.687,-5.830,1015.693
40.858,9.440,1006.556
28.806,-6.590,998.076
16.620,-22.413,1013.324
20.994,-3.355,1001.844
34.163,13.766,1003.088
25.884,1.465,1006.850
17.727,-8.780,1002.725
20.462,-5.180,1000.610
18.918,10.418,1003.930
27.542,15.624,1013.520
17.075,7.921,1003.913
5.815,12.664,1015.038
15.338,9.726,1008.678
20.244,7.209,1013.529
4.596,2.604,1018.509
3.592,2.210,1007.410
17.026,12.646,997.568
15.735,1.965,1014.740
3.370,-10.626,1007.511
6.410,18.963,1004.326
11.916,21.158,1007.018
10.622,12.463,1003.978
10.297,-6.260,1005.821
10.407,-22.674,1013.821
15.766,5.199,1010.391
6.764,26.384,1011.322
5.233,-4.892,1001.231
10.332,-8.629,1014.369
19.567,-1.331,1007.986
11.364,-6.674,1005.724
9.670,3.630,1021.642
16.211,21.288,1006.142
20.957,5.950,997.732
11.571,-13.990,998.702
9.942,-19.618,994.339
19.007,-14.481,991.040
23.456,25.130,982.878
16.411,20.169,977.984
18.624,-9.571,915.967
30.287,-13.528,841.377
58.648,-13.442,698.571
87.606,-31.431,560.435
92.903,-10.030,420.036
98.131,51.649,296.723
43.077,-16.901,223.369
-132.063,-204.641,278.532
-440.442,-386.554,502.008
-748.381,-408.232,705.351
-878.295,-233.828,953.391
-923.894,-97.634,1220.651
-975.280,-107.166,1353.863
-1002.824,-176.602,1420.340
-1026.995,-225.199,1514.790
-1003.489,-218.116,1542.751
-871.359,-137.815,1479.720
-783.848,-74.300,1352.876
-781.947,-71.066,1225.194
-744.775,-85.225,1095.386
-674.122,-102.357,1017.040
-619.051,-131.470,998.997
-590.553,-152.208,949.597
-532.374,-173.451,823.457
-443.171,-208.813,768.172
-345.525,-211.006,820.550
-299.603,-166.503,896.244
-309.116,-160.912,881.516
-311.152,-163.934,813.542
-257.598,-142.762,803.309
-182.029,-112.449,871.479
-138.576,-94.803,917.399
-123.419,-82.487,875.712
-142.005,-95.660,819.411
-101.693,-88.722,839.382
-33.908,-58.203,878.209
-13.573,-61.725,927.773
-22.661,-100.396,913.593
-34.565,-118.872,871.899
-16.855,-55.446,898.192
1.070,-31.857,978.006
11.837,-53.313,987.782
0.751,-79.187,951.787
0.753,-79.989,947.905
5.373,-50.357,985.687
4.291,-8.471,1001.004
18.793,-7.432,990.498
30.723,-24.840,948.709
17.867,-39.497,937.840
20.086,-24.507,967.773
39.477,41.677,961.536
46.445,82.479,957.272
