acc_x[mg],acc_y[mg],acc_z[mg]
1009.672,-4.392,34.648
1008.208,-5.368,42.456
994.056,-0.488,45.384
991.616,-6.344,45.872
999.424,-2.44,47.824
1006.256,-5.368,47.336
996.008,-7.32,48.312
994.544,-4.392,45.872
995.52,-10.248,44.408
1006.256,-9.76,43.432
997.472,-1.464,41.48
999.912,-2.928,40.504
999.424,-6.344,46.36
1000.888,-5.368,43.432
1001.864,-6.344,42.456
988.688,-2.44,49.288
996.984,-5.856,46.848
1009.672,-9.272,37.088
1000.888,-2.44,41.968
987.224,-3.416,49.288
991.128,-1.952,50.264
1011.136,-10.248,45.384
1000.4,-4.392,44.408
992.592,0.976,45.872
992.592,-2.928,37.088
1004.304,-5.368,41.968
993.568,-7.32,44.896
989.176,17.568,50.752
1007.72,-15.616,33.672
996.496,-15.128,44.896
1000.888,-5.856,46.36
1002.84,-4.88,48.8
994.544,-7.32,48.312
994.056,-6.344,46.848
1000.888,-7.808,47.824
1000.888,-5.856,42.944
994.544,-6.344,40.504
993.08,-5.368,47.824
1003.328,-6.832,47.824
1007.232,-7.808,41.48
1000.888,-4.88,39.04
995.52,-5.368,42.456
995.032,-11.224,50.264
1003.328,-16.592,46.36
996.984,-11.224,45.872
996.496,-1.952,43.432
1003.328,-4.88,39.528
995.52,-6.344,42.456
1000.4,-7.32,45.384
991.128,-7.32,46.36
1004.792,-9.76,41.968
1002.352,-6.832,41.968
993.568,-6.832,45.872
1001.864,-3.904,40.016
1002.352,-9.76,43.432
996.984,-5.856,43.432
996.496,-1.952,46.36
1001.376,-9.272,47.336
996.984,-9.76,43.92
1001.864,-6.344,41.968
1000.4,-3.416,40.992
991.128,-5.856,47.824
992.104,-6.832,45.384
1010.16,-7.32,39.04
995.52,-2.44,43.92
991.128,-4.392,43.92
999.424,-6.344,43.432
1001.864,-6.832,40.992
1000.4,-10.248,48.8
991.128,-3.904,48.8
997.472,-7.32,43.432
1004.792,-10.736,40.992
1005.768,-11.712,42.944
997.472,-5.856,38.064
998.936,-4.392,45.872
1000.888,-7.808,44.408
997.96,-7.32,37.576
996.984,-1.952,44.896
997.472,-7.32,41.968
995.032,-7.32,39.04
1002.84,-9.76,44.896
1005.768,-5.368,41.48
992.592,-1.952,52.704
995.032,-6.832,49.288
1010.648,-11.712,40.992
998.448,-5.368,46.848
992.592,-1.952,41.48
1000.888,-10.736,39.04
996.984,-4.392,44.896
1009.184,-18.056,36.112
984.296,2.44,51.728
1010.16,-2.44,33.184
988.688,-0.976,43.432
996.984,-5.856,44.408
995.52,-8.296,40.016
994.056,-8.296,43.432
1009.672,-11.712,35.624
994.056,0.488,46.848
998.448,6.832,40.504
1002.352,-5.368,41.968
998.936,-8.296,46.848
998.448,-3.904,44.896
997.96,-10.248,43.92
996.496,-7.808,41.968
1000.4,-4.392,41.48
995.032,-5.856,48.312
996.984,-7.808,42.944
1000.4,-8.296,42.944
994.544,-7.32,41.968
1002.84,-5.856,44.896
997.472,-1.464,42.456
993.08,-6.344,43.92
1005.768,-14.152,45.872
996.008,-3.904,44.408
997.472,-4.392,37.576
995.032,-0.976,47.336
1006.256,-5.856,39.04
995.52,-8.296,44.408
992.592,-5.368,47.824
1011.136,-7.32,40.504
996.984,-1.952,51.24
997.472,-0.488,44.408
1003.328,-9.76,44.896
997.96,-2.44,50.752
992.592,-5.856,38.064
1001.864,-3.904,48.312
994.544,-5.856,50.752
998.936,-8.296,44.896
993.08,0.0,40.504
994.544,-2.44,42.944
997.472,-7.808,40.992
997.472,-6.344,44.408
998.936,-4.392,45.384
993.08,-7.808,41.968
995.032,-7.32,41.968
1007.232,-4.392,37.576
1004.792,-8.296,45.384
