acc_x[mg],acc_y[mg],acc_z[mg]
-0.488,-5.368,1008.208
-0.976,-19.032,1007.232
-9.760,-30.256,1003.816
-6.344,-27.328,1014.064
-0.976,-27.816,1013.576
0.488,-31.720,1013.576
-4.880,-15.128,1010.160
-2.928,-2.928,1003.816
3.904,-7.808,1003.328
4.392,-27.328,997.472
-5.368,-37.576,1001.376
-8.784,-28.792,1005.768
-11.224,-22.448,1006.744
2.440,-16.592,1012.600
1.464,-30.744,1006.744
-1.464,-31.720,1010.160
-1.464,-17.568,1011.136
-2.440,-10.736,1018.944
-6.344,-11.712,1005.768
-9.272,-18.056,1007.720
-5.856,-23.424,1012.112
-2.928,-29.280,998.936
2.440,-26.352,1000.400
1.464,-19.032,1003.328
-8.784,-14.640,1005.280
-7.808,-16.592,999.912
-8.784,-19.520,994.056
-2.928,-24.400,1007.720
2.440,-29.280,998.936
-7.808,-31.232,998.936
-1.952,-19.032,1011.624
-1.952,-22.448,1001.376
-3.904,-19.520,1007.232
2.440,-14.152,1002.352
-4.880,-9.272,1006.256
-7.808,-34.160,1017.968
-7.320,-33.184,1014.552
-10.736,-20.496,1018.944
1.464,-3.904,1006.744
-4.880,-6.344,1014.552
-4.392,-26.352,1004.304
-6.344,-27.328,1002.840
0.976,-18.056,1011.136
-8.784,-9.272,1001.864
-8.784,-20.984,1002.840
-11.712,-31.720,1000.888
-7.808,-17.080,996.496
2.928,-13.664,1005.768
10.248,-18.056,987.712
-3.904,-21.472,994.056
0.976,-15.616,999.424
-2.440,-20.984,1003.328
-11.224,-27.816,1001.864
-14.152,-7.320,1005.280
-12.688,-2.440,1002.352
-11.224,-19.520,999.424
-5.856,-35.624,1013.576
-14.640,-37.088,1009.672
-22.448,-35.136,1017.480
-12.688,-15.128,1016.016
0.976,-8.784,1012.112
-10.248,-26.352,1003.328
-8.784,-26.352,1000.888
-6.832,-18.544,996.496
-4.392,-8.784,990.152
-12.688,-10.248,1005.768
-12.200,-22.448,993.568
-16.592,-23.424,1004.792
2.440,-22.936,1003.328
-0.488,-34.160,1004.304
-11.224,-38.552,1005.768
-17.080,-30.744,1016.992
-5.856,-21.960,1006.256
-8.784,-29.768,1020.408
-9.272,-33.184,1028.216
-15.616,-39.040,1043.832
-12.688,-31.232,1069.208
-12.200,-28.304,1086.288
-38.552,-33.672,1138.504
-64.904,-30.256,1292.712
-114.680,35.624,1446.920
-179.584,106.384,1567.944
-203.496,223.504,1647.976
-207.400,259.128,1778.272
-218.624,52.216,1744.112
-245.464,-292.800,1564.528
-217.160,-387.960,1309.792
-137.128,-168.848,1012.600
-30.256,51.728,761.768
80.032,49.288,487.024
234.240,-81.984,272.792
429.928,-210.816,152.256
637.328,-301.096,14.152
810.568,-368.440,-78.568
944.768,-343.552,-71.736
1001.376,-155.672,-56.608
976.976,76.616,10.736
952.088,187.880,63.928
898.408,135.664,123.464
806.664,26.840,252.784
700.280,0.976,405.528
609.024,47.824,569.008
558.760,86.376,651.480
539.240,97.600,707.600
506.056,93.696,795.440
481.168,67.344,859.856
474.336,36.600,915.488
468.480,7.808,943.304
440.176,-30.744,905.728
413.336,-53.192,859.368
409.432,-31.720,900.360
387.960,-7.808,933.056
362.584,-41.480,946.720
322.080,-77.592,983.320
