acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
8.296,-42.456,991.616,-350.000,210.000,350.000
6.344,-44.408,997.960,-210.000,280.000,490.000
7.808,-44.408,998.448,-70.000,280.000,420.000
10.248,-44.408,1004.304,-140.000,280.000,490.000
7.320,-46.360,1002.352,-210.000,420.000,420.000
5.368,-39.528,993.568,-280.000,210.000,420.000
6.344,-46.848,999.912,-210.000,210.000,490.000
9.272,-40.016,1000.400,-210.000,280.000,350.000
6.832,-40.992,999.424,-350.000,70.000,420.000
5.856,-44.896,998.448,-350.000,210.000,350.000
6.344,-44.896,996.008,-280.000,210.000,420.000
2.440,-38.552,1004.792,-280.000,140.000,350.000
11.224,-42.456,1002.352,-280.000,280.000,350.000
12.200,-44.408,999.912,-280.000,280.000,420.000
10.248,-42.944,997.960,-280.000,280.000,490.000
6.344,-49.288,1002.352,-210.000,350.000,490.000
8.296,-45.872,1001.864,-280.000,280.000,420.000
10.248,-43.920,1001.376,-350.000,280.000,420.000
12.200,-39.528,991.128,-280.000,280.000,490.000
8.784,-42.456,997.960,-140.000,280.000,350.000
9.760,-44.896,997.960,-210.000,280.000,490.000
4.880,-43.432,1003.328,-280.000,210.000,420.000
11.712,-45.872,997.960,-210.000,350.000,420.000
3.416,-45.872,996.008,-140.000,280.000,420.000
8.296,-45.872,1001.376,-70.000,280.000,350.000
11.224,-41.968,996.496,-350.000,280.000,350.000
4.392,-40.992,996.496,-350.000,350.000,420.000
6.832,-45.384,994.544,-280.000,210.000,420.000
2.928,-43.432,999.424,-280.000,210.000,490.000
0.976,-42.944,1002.352,-210.000,210.000,420.000
9.760,-45.384,1001.376,-350.000,280.000,420.000
6.832,-45.384,988.688,-210.000,280.000,420.000
9.760,-42.944,1001.376,-210.000,210.000,420.000
2.440,-46.848,995.032,-280.000,280.000,420.000
4.880,-42.456,996.496,-280.000,280.000,420.000
7.320,-44.408,997.960,-280.000,140.000,420.000
5.856,-42.944,997.472,-210.000,140.000,420.000
5.856,-43.920,997.960,-210.000,210.000,420.000
7.808,-43.432,994.544,-350.000,210.000,350.000
4.880,-42.944,997.960,-350.000,210.000,420.000
4.392,-40.992,996.984,-350.000,280.000,490.000
7.808,-40.992,1001.376,-280.000,210.000,350.000
4.880,-42.944,1001.864,-350.000,210.000,420.000
7.808,-42.944,992.592,-350.000,210.000,420.000
7.808,-41.480,997.960,-350.000,210.000,490.000
7.808,-43.432,1003.328,-210.000,140.000,420.000
4.880,-43.920,1003.816,-280.000,140.000,420.000
3.904,-43.920,996.496,-350.000,210.000,490.000
5.856,-43.920,995.520,-70.000,140.000,420.000
4.880,-42.944,1004.304,-140.000,350.000,420.000
7.320,-44.896,994.544,-280.000,280.000,420.000
9.760,-43.920,994.056,-350.000,350.000,420.000
5.856,-43.920,995.520,-210.000,210.000,350.000
