acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
1.464,-9.760,1004.792,-210.000,210.000,420.000
-3.416,-12.200,1001.864,-140.000,350.000,420.000
-0.488,-7.808,999.424,-280.000,280.000,420.000
-3.904,-7.320,998.448,-210.000,210.000,420.000
-3.416,-7.320,1001.376,-140.000,350.000,420.000
-0.976,-10.736,1004.304,-210.000,280.000,420.000
-4.392,-8.784,1000.400,-350.000,280.000,420.000
1.464,-3.416,996.496,-280.000,210.000,420.000
-2.440,-10.736,996.984,-280.000,280.000,420.000
-5.856,-10.736,1000.400,-210.000,140.000,490.000
-2.440,-5.856,1001.864,-280.000,210.000,490.000
0.488,-4.880,1000.400,-280.000,140.000,350.000
-1.464,-7.808,996.496,-140.000,210.000,420.000
0.000,-11.224,1002.840,-210.000,210.000,490.000
0.000,-6.832,1002.352,-350.000,210.000,280.000
-2.928,-8.784,1000.888,-420.000,210.000,280.000
0.976,-9.272,997.960,-280.000,280.000,280.000
-3.904,-4.392,1003.328,-280.000,280.000,490.000
2.928,-8.296,1004.792,-210.000,350.000,420.000
-2.440,-8.784,999.424,-280.000,280.000,420.000
-1.464,-6.832,996.008,-350.000,280.000,280.000
-0.976,-5.856,998.448,-350.000,210.000,490.000
-1.464,-8.784,1004.792,-280.000,210.000,350.000
-0.976,-8.296,1006.256,-280.000,210.000,420.000
-3.904,-12.688,996.984,-280.000,350.000,350.000
-3.904,-7.808,996.008,-280.000,350.000,490.000
-3.904,-12.200,999.912,-280.000,210.000,420.000
-3.416,-8.784,998.448,-210.000,350.000,490.000
-2.928,-9.760,997.472,-210.000,350.000,350.000
-0.976,-9.760,996.984,-210.000,350.000,420.000
-0.488,-8.296,998.448,-210.000,210.000,420.000
-2.928,-10.248,1005.768,-350.000,140.000,420.000
-1.952,-9.760,993.080,-350.000,210.000,420.000
-2.928,-8.784,994.056,-350.000,280.000,420.000
-0.488,-8.784,1000.888,-280.000,210.000,420.000
-0.488,-9.760,1005.768,-280.000,280.000,420.000
-2.440,-9.272,1003.816,-210.000,350.000,420.000
0.976,-7.320,994.056,-210.000,210.000,420.000
-4.392,-7.808,999.424,-280.000,280.000,420.000
0.000,-7.808,1005.280,-210.000,210.000,350.000
-3.416,-6.832,999.424,-350.000,280.000,420.000
-3.416,-5.856,1002.352,-280.000,280.000,420.000
-2.928,-10.248,995.520,-210.000,210.000,420.000
-0.976,-8.784,1000.400,-210.000,210.000,420.000
-2.928,-8.784,998.448,-280.000,280.000,350.000
-0.488,-9.272,994.544,-280.000,280.000,350.000
-2.928,-5.368,996.008,-280.000,210.000,350.000
-1.464,-10.736,1000.888,-350.000,140.000,420.000
4.392,-3.904,1002.352,-420.000,140.000,420.000
1.952,-8.296,998.448,-350.000,140.000,420.000
-2.928,-11.224,995.032,-420.000,280.000,420.000
-6.344,-8.296,1005.280,-420.000,280.000,420.000
0.488,-8.296,1003.328,-280.000,280.000,420.000
1.464,-12.200,997.960,-210.000,280.000,420.000
2.440,-9.760,996.008,-350.000,280.000,420.000
2.440,-10.248,996.496,-210.000,210.000,420.000
-0.488,-11.712,1005.280,-280.000,210.000,350.000
-0.488,-7.320,998.448,-210.000,210.000,420.000
-3.416,-4.880,1000.400,-280.000,280.000,350.000
-6.832,-5.856,997.960,-280.000,490.000,350.000
