acc_x[mg],acc_y[mg],acc_z[mg]
29.012,20.793,935.288
31.310,17.683,1025.478
27.725,17.298,982.323
27.745,17.772,1008.167
29.255,17.681,989.154
29.515,21.676,1006.482
29.383,20.268,994.496
35.083,17.624,1000.482
30.168,22.024,995.146
27.878,21.705,1000.997
27.495,17.491,994.799
29.942,17.998,996.933
33.338,21.901,998.532
30.300,19.631,999.338
25.058,17.608,1000.375
31.032,23.175,1000.938
28.933,19.945,1000.729
31.275,21.588,1001.830
29.885,19.925,998.500
28.830,17.546,999.480
28.503,18.344,995.813
26.885,16.282,999.936
28.832,22.111,1002.031
32.927,19.774,1002.282
32.611,17.404,996.718
32.391,17.922,998.415
28.092,19.696,997.698
27.359,21.559,997.042
32.394,17.775,996.552
29.899,17.404,997.887
29.837,21.977,998.798
29.178,19.736,999.199
29.119,19.268,1000.079
31.527,22.972,996.823
34.850,20.208,997.427
30.910,18.468,996.597
30.951,21.426,997.126
29.120,22.879,996.168
30.988,20.652,997.344
38.963,42.073,992.621
31.838,17.589,995.825
29.173,17.617,997.899
32.541,18.669,998.261
30.766,19.725,1001.926
32.497,16.878,1000.314
31.084,19.031,998.318
26.289,17.847,997.024
31.553,19.946,998.120
28.786,21.096,997.397
29.764,20.537,999.815
32.370,17.446,996.937
28.132,19.688,1002.276
27.737,18.708,1001.564
28.463,20.767,997.135
28.901,18.580,1003.343
30.460,15.522,999.165
30.659,18.534,1000.705
30.572,17.951,999.951
31.810,19.859,1000.547
29.266,22.374,996.137
27.978,19.867,999.613
30.441,19.636,996.202
32.514,21.297,1000.492
30.130,21.080,997.837
30.128,21.696,1000.694
27.124,20.049,999.091
25.863,21.499,998.926
29.037,20.979,1005.211
27.404,19.942,993.106
30.981,17.976,999.026
30.409,20.971,1001.341
33.717,17.643,1002.052
26.702,21.333,998.334
31.362,23.573,997.422
32.309,15.972,997.650
26.988,17.653,1000.890
30.399,22.382,997.707
27.769,20.357,998.791
30.108,20.048,996.556
30.652,20.333,994.677
29.908,19.963,998.100
26.721,18.605,998.232
33.374,22.827,997.361
32.135,17.417,994.902
33.391,19.105,999.701
25.825,17.851,998.671
28.325,18.467,996.857
28.164,19.998,1000.086
29.254,21.496,1003.189
30.424,21.779,997.213
27.159,16.604,1001.466
35.446,19.239,996.663
31.935,17.453,1000.911
31.098,20.717,998.710
33.740,17.167,996.357
27.679,21.575,1000.376
32.578,23.078,996.264
33.933,16.132,996.082
32.861,21.425,997.953
28.436,20.158,1001.337
27.774,17.570,995.765
27.695,18.192,997.409
29.520,17.425,999.628
32.107,18.204,995.963
31.108,18.742,1001.706
29.496,20.782,1001.734
30.684,16.543,996.286
29.433,18.796,1000.755
30.288,20.142,999.465
29.785,21.631,994.732
30.558,20.094,997.956
26.030,17.618,1001.778
27.557,21.136,997.954
27.203,23.588,996.014
31.919,20.626,1001.351
33.921,19.210,997.511
30.282,17.605,997.483
28.536,21.089,1005.759
27.228,21.665,998.449
30.221,19.727,999.679
28.855,20.408,1004.094
26.971,18.001,999.107
28.127,20.672,1000.010
29.513,19.768,1000.587
29.120,19.422,999.302
29.669,21.662,1002.506
25.571,20.804,1000.155
31.803,20.634,1000.049
30.967,20.361,998.773
28.197,18.948,998.758
30.672,21.549,1001.182
29.297,21.986,998.965
25.902,19.296,1001.670
29.327,20.416,997.136
30.089,19.034,1000.334
29.479,21.454,999.907
24.026,23.595,1002.227
28.192,20.417,999.701
31.951,20.996,1000.591
29.300,18.580,996.351
25.786,18.449,997.179
28.832,20.375,996.032
29.952,19.534,999.564
28.570,22.386,999.991
30.216,20.351,1002.390
26.739,19.798,999.223
30.909,20.099,1001.094
29.180,22.460,1000.024
29.042,18.534,997.627
26.463,22.618,998.500
31.413,18.199,998.105
29.955,19.301,998.987
30.221,19.729,998.825
30.682,14.902,1004.543
31.403,17.904,999.008
32.837,22.707,1001.756
30.329,19.479,996.552
26.383,22.059,995.372
27.683,22.180,1004.030
27.919,20.589,998.090
29.658,21.218,999.309
28.299,18.515,1000.271
31.215,22.507,996.387
28.895,20.741,998.646
27.093,18.072,1000.550
29.433,20.546,994.989
27.956,23.586,1005.860
30.858,19.162,996.289
32.526,17.209,999.931
30.363,20.558,998.159
31.706,19.770,999.617
31.105,21.175,1001.057
30.058,20.903,1000.496
29.869,22.317,995.574
29.255,17.748,997.233
32.872,18.657,997.592
31.242,17.413,995.216
28.831,20.739,994.742
28.902,18.209,994.738
26.918,21.632,1000.427
33.532,18.259,993.865
32.364,20.493,1000.398
29.277,19.515,999.641
30.782,18.172,999.173
26.866,22.533,1001.111
27.601,17.039,999.063
28.990,23.487,998.205
32.956,18.291,1003.264
33.273,21.563,994.645
25.838,15.770,1001.711
25.682,19.413,998.673
29.718,20.399,1002.487
27.324,19.879,998.420
29.521,15.892,996.344
27.216,22.262,1000.775
29.259,20.853,999.446
29.470,20.290,995.711
30.123,21.779,998.002
28.563,22.465,994.485
28.085,21.492,998.758
31.162,15.667,1001.816
35.417,21.707,992.594
21.850,18.231,1000.009
27.518,23.938,1001.550
25.132,17.935,1007.973
30.246,20.895,996.558
29.352,19.280,999.748
25.689,21.230,994.499
31.060,17.930,1002.717
28.451,12.625,992.783
32.290,23.662,1000.160
31.519,20.113,992.544
30.717,20.465,1008.738
24.454,19.237,993.356
66.820,28.659,1022.876
-75.168,86.661,1021.804
51.080,21.578,1009.342
-34.184,46.182,986.550
-5.834,63.045,1007.112
41.328,9.303,993.388
34.908,34.776,1015.896
48.941,14.122,974.483
57.494,21.832,1004.361
27.887,16.944,989.959
63.314,58.917,1010.976
25.319,-26.131,974.047
18.411,-1.726,1025.271
23.688,-45.123,962.447
38.024,58.616,1047.102
-279.432,-37.917,941.788
58.649,-67.762,1182.433
-307.470,-49.097,1293.134
337.122,185.768,1364.560
-25.874,-39.976,1236.604
171.595,44.901,1169.028
418.324,214.324,740.397
-792.342,387.763,540.816
569.030,597.163,522.645
-22.800,1212.727,593.348
-318.459,1263.241,420.115
56.674,652.997,1.147
-15.462,811.288,190.724
-106.068,809.464,-40.613
-97.069,1088.594,139.343
-42.568,1038.206,-60.597
-162.186,958.701,110.986
23.322,872.070,-16.229
-148.716,1065.889,143.118
-124.853,977.521,18.469
-165.917,1039.538,19.841
-194.259,962.651,46.593
-191.743,898.278,155.052
-134.773,1046.951,141.430
-189.863,912.573,42.278
-132.834,991.805,80.497
-200.133,1052.169,135.407
-90.260,960.742,3.248
-205.021,944.399,72.853
-179.011,970.141,25.169
-269.412,650.374,-371.102
0.213,938.345,424.756
-82.172,902.854,6.142
166.885,951.332,439.827
-152.229,907.062,550.276
105.238,958.311,205.731
-78.520,1027.364,948.871
-70.824,476.612,284.850
185.623,543.138,1221.132
75.863,599.628,374.663
220.781,789.490,1337.099
-217.904,214.167,967.071
301.374,462.520,955.237
-35.133,341.056,1129.879
152.863,307.973,823.036
-36.483,292.552,1189.856
76.960,229.598,803.157
30.643,255.621,1130.506
28.631,258.405,799.717
22.518,221.320,1043.179
16.657,212.773,975.865
45.698,171.023,998.380
6.761,206.129,962.654
-44.305,172.965,1057.273
18.515,155.993,973.232
16.967,142.970,1037.187
23.697,149.400,964.948
7.435,129.052,1006.371
-52.563,147.901,1027.199
101.409,89.889,949.294
41.707,104.682,939.213
4.917,97.052,1075.182
12.626,81.041,980.775
15.447,78.928,971.082
-13.229,68.932,992.773
-26.746,70.985,1003.944
24.199,29.961,1003.039
-9.489,42.774,998.394
-13.937,25.112,1011.155
1.457,31.979,993.545
7.801,58.396,965.206
-7.551,29.473,999.468
6.196,22.014,1005.651
13.846,25.161,993.543
13.056,20.001,1005.976
6.675,23.123,989.191
10.002,18.783,1011.281
8.808,19.144,988.830
16.141,11.319,1013.924
15.593,16.443,982.150
7.734,22.006,1014.939
11.958,20.121,979.637
8.612,22.689,1026.090
14.696,17.933,963.941
5.556,28.132,1044.474
1.840,22.023,935.529
23.476,21.370,1126.017
3.322,10.037,387.074
