acc_x[mg],acc_y[mg],acc_z[mg]
1001.864,22.448,30.744
1002.84,17.568,31.232
996.496,17.08,28.304
997.472,18.056,27.816
998.448,17.08,27.816
996.008,19.032,30.256
1002.84,21.96,28.792
997.472,20.008,29.768
997.96,17.568,35.136
996.984,20.984,31.232
999.424,22.936,28.304
996.984,19.032,27.328
996.984,17.08,28.304
994.544,19.032,30.744
1002.352,21.96,33.672
996.008,20.008,30.256
1002.84,16.592,24.888
999.424,22.936,29.768
1000.888,20.984,30.256
1002.352,20.496,29.28
999.424,21.472,31.72
1000.4,19.52,29.28
997.472,17.08,28.792
997.96,19.032,28.792
996.984,15.616,26.84
1003.328,20.496,27.816
1001.376,21.96,31.232
1001.376,18.056,33.184
995.52,17.568,32.696
999.424,18.056,31.72
997.472,19.52,28.792
996.984,21.96,25.864
996.984,18.544,32.696
996.496,17.08,30.256
999.424,19.032,30.256
997.96,22.936,29.28
1000.4,18.056,29.28
999.424,20.496,29.28
997.472,21.96,30.744
996.984,21.96,35.624
996.984,17.568,31.232
996.984,20.496,31.72
996.496,21.96,29.28
996.984,22.936,30.256
996.496,20.008,30.256
993.568,45.872,40.992
994.056,17.568,31.232
999.424,17.568,30.256
996.008,18.056,30.256
1001.864,19.52,33.184
1000.4,19.032,29.768
1001.376,16.592,33.672
996.984,19.52,30.256
998.448,17.568,26.352
996.984,19.52,30.744
998.448,20.984,30.256
997.96,20.984,28.304
999.912,19.52,31.232
996.496,17.08,32.208
1003.816,20.496,26.84
1001.376,18.056,28.792
996.984,20.984,27.328
1002.352,19.52,29.768
1001.376,16.104,28.792
998.936,16.592,31.72
1001.376,19.032,29.768
999.424,17.568,31.232
1001.376,20.496,31.72
995.52,21.96,29.28
999.912,20.984,28.304
996.984,18.544,28.792
997.96,21.472,32.696
1000.888,20.496,31.232
996.984,21.96,30.256
1001.864,20.984,29.768
998.936,20.496,27.328
997.96,20.984,25.376
1005.768,21.472,28.792
997.472,20.496,27.816
994.056,18.544,28.792
1000.888,19.032,31.232
1001.864,20.496,30.744
1001.376,18.056,33.672
999.912,20.008,27.328
996.008,25.376,28.792
998.936,17.08,35.136
997.96,16.592,26.84
1001.864,19.032,29.768
996.008,23.424,28.792
999.912,19.032,28.792
996.496,20.984,29.28
