acc_x[mg],acc_y[mg],acc_z[mg]
28.637,20.330,918.727
31.220,17.756,1030.227
27.673,17.306,979.534
27.708,17.711,1010.131
29.780,18.104,987.774
28.793,22.147,1008.514
31.078,19.073,991.963
34.498,18.491,1002.360
28.797,22.882,993.927
27.644,20.032,1002.211
28.111,16.967,992.042
31.541,19.780,1000.287
33.331,21.944,997.148
26.081,17.198,1001.381
28.416,21.123,999.657
30.404,21.868,1001.462
29.727,20.056,1001.027
31.263,21.734,1000.199
28.399,17.050,998.767
29.118,19.038,997.266
26.823,15.756,998.000
28.385,21.603,1002.493
32.469,20.158,1002.017
32.837,17.680,997.681
32.317,17.558,997.838
28.180,20.108,998.157
27.512,21.024,996.597
32.471,18.007,996.803
29.616,17.289,998.045
29.930,22.927,998.802
28.971,18.091,999.647
29.415,21.389,999.354
32.797,21.536,996.820
34.193,20.635,997.266
30.046,17.171,996.757
31.160,25.457,996.656
28.075,17.252,996.838
36.010,34.010,995.589
36.533,32.149,993.029
28.614,12.935,998.244
31.720,20.645,997.007
31.536,18.056,1001.263
31.450,18.934,1000.973
32.597,17.175,999.298
26.453,19.283,996.888
30.581,18.343,998.234
29.688,21.929,997.031
29.022,20.024,1000.031
32.636,18.243,996.983
28.164,18.964,1002.121
27.832,19.284,1001.361
28.377,20.365,997.577
29.084,18.528,1003.106
30.534,15.427,999.391
30.604,18.989,1000.442
30.797,17.666,1000.365
31.645,20.992,999.394
28.369,21.897,996.988
28.594,19.274,999.177
31.471,20.448,996.654
31.989,21.136,1000.862
29.530,21.572,997.128
29.740,20.802,1002.571
24.939,20.640,996.126
28.625,21.461,1005.225
27.383,20.541,997.154
30.066,18.237,995.484
30.228,20.102,1001.694
33.428,18.966,1002.015
28.471,19.301,999.632
29.343,24.563,997.152
33.451,16.718,997.483
26.938,17.106,1000.690
30.257,22.091,998.211
27.982,20.668,998.549
29.871,19.805,996.643
30.964,20.620,994.773
29.220,19.476,998.207
27.545,19.318,998.531
33.427,22.336,996.512
32.480,16.994,995.670
32.099,19.578,1000.088
25.106,17.149,998.252
29.550,19.614,996.978
27.249,19.780,1002.592
31.200,22.955,1000.247
27.757,18.707,998.689
30.926,17.846,1000.178
35.446,18.329,997.466
29.477,19.122,1001.838
34.299,19.256,995.133
29.167,18.324,1000.101
30.382,24.838,997.485
34.321,16.811,996.156
33.142,20.076,997.120
29.521,21.054,1001.274
27.382,17.627,996.656
27.993,18.149,996.750
28.989,17.532,1000.028
32.338,18.049,995.839
30.824,18.918,1001.822
29.818,20.517,1001.327
30.352,16.571,996.522
29.739,19.063,1001.242
29.963,20.347,998.490
30.296,21.712,994.598
29.513,19.222,999.511
25.924,18.008,1001.507
27.784,22.641,996.540
27.937,22.711,997.674
34.093,19.886,1001.337
32.053,18.367,995.068
29.618,18.608,1002.924
27.231,22.532,1003.127
28.977,19.889,996.987
29.943,20.628,1003.673
27.326,18.514,1000.918
27.447,19.648,998.988
29.490,20.531,1001.416
28.968,18.985,998.986
30.015,21.427,1002.229
25.871,21.041,1000.444
30.762,20.528,1000.207
31.648,20.534,998.869
27.908,18.877,998.873
30.919,21.629,1000.838
28.867,21.771,999.446
26.218,19.395,1001.100
29.436,20.308,997.692
30.324,19.066,1000.074
28.405,22.268,1000.567
23.938,23.061,1001.671
30.131,20.078,1000.249
31.416,20.988,999.475
27.901,17.417,996.167
25.959,20.041,996.767
30.658,19.355,997.054
28.267,21.316,1000.408
30.395,21.449,1001.230
27.570,20.049,1001.250
29.233,19.351,999.113
30.215,22.421,1001.821
29.052,19.367,997.291
26.958,21.396,999.188
29.884,19.961,997.555
31.024,18.039,999.523
29.487,20.676,997.808
31.141,14.924,1004.799
30.886,17.644,999.192
33.181,22.437,1001.859
29.993,19.731,996.247
26.678,21.996,996.144
27.453,22.102,1003.593
28.373,20.618,998.234
29.339,20.904,999.286
28.702,18.701,1000.241
31.371,23.194,995.264
27.693,19.212,1001.562
27.984,18.725,996.916
29.095,21.718,999.488
28.359,23.070,1003.244
32.503,16.612,995.827
31.244,19.622,1000.931
30.864,19.730,997.592
31.789,21.013,1001.344
30.194,20.420,1000.578
30.125,22.680,997.715
29.089,18.815,995.576
31.787,18.467,998.899
32.409,17.360,995.142
28.655,20.367,995.296
29.400,18.452,993.873
26.539,21.312,1000.431
33.234,18.547,994.523
32.356,20.434,999.601
29.576,19.254,1000.219
30.339,18.829,998.637
27.107,21.651,1001.898
27.363,18.000,997.898
29.900,22.801,1000.045
33.137,18.739,1001.167
32.510,20.689,995.752
23.683,15.690,1002.018
28.511,20.496,998.960
27.899,20.389,1002.690
29.074,18.076,995.812
27.729,17.657,998.519
28.907,23.423,1001.210
28.276,19.003,997.122
31.467,22.150,996.787
27.377,21.218,996.435
30.577,23.547,995.470
26.309,15.933,1003.089
39.351,20.745,994.479
21.086,18.799,997.269
29.461,23.003,1002.395
21.712,19.065,1005.985
34.137,20.208,1000.280
24.082,19.676,996.296
32.645,21.259,998.415
22.475,17.637,997.956
38.835,13.307,998.281
19.813,23.456,993.812
47.363,20.114,1000.665
8.579,20.695,1000.232
58.348,17.879,1003.301
17.170,42.439,1019.020
-44.546,82.752,1028.022
41.414,5.242,990.171
-45.103,76.935,1003.493
20.536,25.884,990.849
45.638,28.689,1016.058
27.882,17.049,985.698
73.657,28.600,997.111
19.987,1.522,986.810
68.331,63.212,1017.106
22.347,-6.822,970.045
43.269,-2.364,1026.378
-17.691,-46.312,963.032
102.073,41.971,1042.628
-280.070,-12.549,948.732
40.277,-66.696,1134.118
-285.057,-64.921,1289.512
277.766,176.476,1363.307
10.055,-26.751,1241.010
174.641,42.355,1171.729
356.740,219.178,715.639
-750.550,405.485,552.841
654.557,639.055,503.059
-209.632,1316.353,630.968
-194.062,1112.154,279.597
33.230,654.207,57.476
-13.156,819.882,123.969
-157.046,879.003,6.886
-20.241,1119.795,87.689
-138.550,992.997,-26.759
-58.216,909.833,94.503
-45.589,945.990,11.242
-158.323,1066.017,147.576
-133.527,962.230,-48.364
-187.680,1058.691,78.273
-205.170,850.505,70.382
-138.087,1045.973,209.351
-184.894,933.173,22.155
-137.082,969.065,97.087
-196.342,1042.313,101.058
-102.349,993.043,63.936
-188.137,918.876,8.540
-184.304,999.133,98.784
-263.467,642.810,-414.908
-10.007,949.966,459.017
-70.362,881.891,-54.551
161.323,982.060,568.178
-172.124,862.016,381.075
157.899,1038.731,423.087
-181.066,892.639,765.167
76.742,474.965,497.500
85.303,524.963,1089.869
213.935,725.645,454.055
-7.193,591.643,1524.557
-20.146,223.229,663.894
222.149,506.005,1278.582
-21.023,249.301,791.070
131.414,354.737,1146.453
-56.245,217.850,897.930
126.219,264.002,1031.403
-32.634,246.302,924.156
73.513,246.743,923.654
-23.590,203.542,1042.190
71.302,190.174,962.635
-3.864,186.353,986.404
-22.542,193.901,1027.249
-8.142,144.686,1002.175
35.901,154.402,1012.397
8.541,139.434,987.591
18.426,138.408,988.440
-58.200,138.911,1041.561
115.334,93.867,927.319
21.043,102.834,968.282
15.875,95.564,1064.345
4.527,79.279,971.580
21.333,76.670,975.266
-32.956,70.859,998.612
-2.845,59.955,1003.612
15.192,27.539,1001.478
-15.716,43.916,1001.405
-8.880,16.751,1011.002
9.186,52.719,973.595
-2.012,44.953,978.228
-2.179,21.271,1012.258
13.014,25.287,991.684
13.684,21.300,1006.979
8.731,22.084,989.621
8.145,20.488,1008.875
9.950,18.850,991.885
13.130,13.291,1010.571
18.118,14.103,986.845
6.838,22.649,1009.884
12.800,19.593,985.130
7.679,23.028,1019.206
15.711,17.768,972.703
3.698,28.507,1033.110
4.752,21.191,952.296
22.044,21.671,1097.620
1.397,6.217,231.544
