acc_x[mg],acc_y[mg],acc_z[mg]
30.744,22.448,1001.864
31.232,17.568,1002.840
28.304,17.080,996.496
27.816,18.056,997.472
27.816,17.080,998.448
30.256,19.032,996.008
28.792,21.960,1002.840
29.768,20.008,997.472
35.136,17.568,997.960
31.232,20.984,996.984
28.304,22.936,999.424
27.328,19.032,996.984
28.304,17.080,996.984
30.744,19.032,994.544
33.672,21.960,1002.352
30.256,20.008,996.008
24.888,16.592,1002.840
29.768,22.936,999.424
30.256,20.984,1000.888
29.280,20.496,1002.352
31.720,21.472,999.424
29.280,19.520,1000.400
28.792,17.080,997.472
28.792,19.032,997.960
26.840,15.616,996.984
27.816,20.496,1003.328
31.232,21.960,1001.376
33.184,18.056,1001.376
32.696,17.568,995.520
31.720,18.056,999.424
28.792,19.520,997.472
25.864,21.960,996.984
32.696,18.544,996.984
30.256,17.080,996.496
30.256,19.032,999.424
29.280,22.936,997.960
29.280,18.056,1000.400
29.280,20.496,999.424
30.744,21.960,997.472
35.624,21.960,996.984
31.232,17.568,996.984
31.720,20.496,996.984
29.280,21.960,996.496
30.256,22.936,996.984
30.256,20.008,996.496
40.992,45.872,993.568
31.232,17.568,994.056
30.256,17.568,999.424
30.256,18.056,996.008
33.184,19.520,1001.864
29.768,19.032,1000.400
33.672,16.592,1001.376
30.256,19.520,996.984
26.352,17.568,998.448
30.744,19.520,996.984
30.256,20.984,998.448
28.304,20.984,997.960
31.232,19.520,999.912
32.208,17.080,996.496
26.840,20.496,1003.816
28.792,18.056,1001.376
27.328,20.984,996.984
29.768,19.520,1002.352
28.792,16.104,1001.376
31.720,16.592,998.936
29.768,19.032,1001.376
31.232,17.568,999.424
31.720,20.496,1001.376
29.280,21.960,995.520
28.304,20.984,999.912
28.792,18.544,996.984
32.696,21.472,997.960
31.232,20.496,1000.888
30.256,21.960,996.984
29.768,20.984,1001.864
27.328,20.496,998.936
25.376,20.984,997.960
28.792,21.472,1005.768
27.816,20.496,997.472
28.792,18.544,994.056
31.232,19.032,1000.888
30.744,20.496,1001.864
33.672,18.056,1001.376
27.328,20.008,999.912
28.792,25.376,996.008
35.136,17.080,998.936
26.840,16.592,997.960
29.768,19.032,1001.864
28.792,23.424,996.008
28.792,19.032,999.912
29.280,20.984,996.496
31.232,19.520,994.056
30.256,20.984,998.448
27.328,18.056,996.984
29.280,20.984,999.912
34.160,21.960,994.544
31.720,16.592,996.984
33.672,19.520,998.936
25.864,18.056,999.912
27.328,17.568,996.496
29.280,20.496,998.448
27.328,19.520,1003.328
31.232,23.424,1000.400
28.792,19.520,997.960
27.816,17.080,1001.376
35.624,19.032,996.984
32.696,17.568,999.912
30.256,20.008,1000.888
33.672,19.032,995.520
31.232,17.568,998.936
27.328,23.912,999.912
34.648,21.472,995.032
32.696,16.104,997.472
34.160,20.984,996.496
28.304,21.472,1002.840
28.304,17.080,996.496
27.328,19.032,996.496
28.304,16.592,998.448
30.256,19.032,999.424
32.208,16.592,995.520
31.232,20.496,1002.352
29.280,19.032,1002.352
30.744,19.520,996.984
29.768,15.128,998.448
29.768,21.960,1001.864
30.256,18.544,996.984
29.768,23.424,995.520
30.744,18.544,997.472
25.864,18.544,1003.328
27.328,19.520,997.472
27.328,23.912,997.472
28.792,21.960,996.984
34.160,20.008,1003.328
32.696,18.544,994.056
30.256,18.056,1000.400
28.304,20.496,1004.792
27.328,22.936,1000.400
29.280,18.544,997.472
30.256,21.960,1003.816
27.328,17.568,1002.352
27.328,20.008,997.960
28.304,19.520,1001.376
29.768,20.984,999.912
28.792,18.056,999.912
30.256,22.448,1001.864
26.352,20.496,1001.376
27.816,20.984,999.912
33.672,20.496,999.424
28.792,20.008,999.424
29.280,19.032,997.472
29.768,21.472,1003.816
30.744,22.448,996.008
25.376,19.520,1004.792
28.304,20.008,995.520
29.768,20.008,1001.376
30.256,19.032,997.472
28.792,22.448,1003.328
23.424,23.424,999.424
28.304,20.496,1002.840
31.232,20.984,997.960
31.232,19.520,1000.400
26.352,18.056,994.056
26.840,19.032,998.936
29.280,20.984,995.032
30.256,18.544,1000.888
27.816,23.912,999.912
31.232,19.032,1001.864
26.352,21.472,1001.376
29.768,18.056,997.960
30.256,22.936,1003.816
29.280,20.496,996.496
28.304,19.032,999.912
26.840,22.936,996.984
30.744,18.056,999.424
31.232,19.032,998.448
28.792,20.008,998.448
31.720,17.568,1002.352
29.768,14.152,1003.328
32.696,20.496,998.448
32.208,21.960,1002.352
30.744,20.008,996.496
26.352,20.984,994.544
27.328,23.424,1002.840
27.816,20.008,1001.376
28.792,21.960,996.984
29.280,19.520,1000.888
28.792,19.520,999.424
30.744,21.960,996.496
30.256,21.960,998.448
25.376,17.080,1001.376
30.744,20.496,995.520
26.840,21.472,1000.400
30.256,23.912,1005.280
30.256,16.592,993.568
33.672,18.544,1002.352
29.280,20.008,996.984
32.208,20.008,999.912
31.232,20.984,1000.888
30.256,20.496,1000.888
30.256,22.448,998.936
29.280,20.496,994.544
29.768,18.056,998.448
33.184,18.056,997.472
31.232,18.056,995.032
29.280,19.520,996.008
28.792,20.008,992.592
27.816,18.544,999.912
28.304,22.448,997.472
35.136,16.592,994.544
31.232,21.960,1001.376
29.280,19.032,999.424
31.232,17.568,999.424
27.328,22.936,1000.400
27.328,18.056,1000.888
27.816,20.008,997.472
30.256,22.936,999.912
33.672,17.568,1003.816
32.696,22.448,992.104
26.840,15.128,1004.792
23.912,19.032,996.008
30.256,20.008,1004.304
27.328,20.984,998.448
28.792,17.568,999.424
28.792,17.080,994.544
27.328,22.448,1003.816
29.280,21.472,997.472
29.280,19.032,997.472
30.256,22.936,996.496
29.280,20.496,996.984
27.816,24.400,994.544
29.280,18.056,1001.376
30.744,16.592,1000.888
38.064,22.448,991.128
18.544,17.080,1001.864
29.768,24.888,998.448
23.424,18.544,1010.160
28.792,20.008,998.936
30.744,20.008,1000.400
27.328,20.008,994.544
27.328,20.984,999.912
29.280,18.544,997.472
30.744,11.712,998.936
29.280,21.472,994.056
33.184,22.448,997.960
32.208,20.008,998.936
25.864,19.032,1003.816
29.768,22.448,999.912
73.688,24.888,1016.504
-87.352,94.672,1034.072
38.064,29.768,1000.400
7.320,25.376,1002.840
-48.800,75.640,987.224
30.744,29.280,1009.184
37.576,22.448,996.496
33.672,22.936,1010.160
53.680,26.840,982.344
53.680,10.736,990.152
37.088,19.032,1004.304
44.408,50.752,998.448
56.120,17.080,991.128
17.080,-14.152,999.424
15.616,-27.328,996.496
25.376,-14.152,997.472
63.440,20.008,1001.376
-272.792,27.816,1008.208
