acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
0.748,-9.556,937.549,-181.303,198.741,394.026
-2.743,-11.669,1025.185,-171.492,362.932,427.527
-1.100,-7.245,985.252,-276.005,227.703,417.046
-4.692,-7.237,1008.657,-163.450,279.017,420.773
-1.181,-9.158,996.660,-166.106,327.652,420.656
-3.689,-10.232,1007.366,-324.569,260.086,418.121
0.311,-3.486,991.724,-299.958,241.179,422.674
-2.134,-11.086,1001.268,-262.291,242.181,419.331
-6.244,-9.504,997.386,-221.410,164.767,510.984
-0.010,-5.051,1005.003,-300.484,184.962,429.788
-1.149,-5.863,994.925,-204.219,160.808,360.981
-0.107,-10.927,1002.477,-155.088,231.267,493.172
-0.502,-7.612,1001.467,-346.814,192.260,328.137
-1.574,-8.619,1001.691,-397.863,230.765,248.762
-0.945,-8.559,997.448,-291.663,261.747,336.431
-1.437,-4.648,1005.725,-249.410,318.323,471.852
1.308,-9.796,1001.742,-230.890,316.709,427.087
-3.036,-6.939,997.434,-329.108,279.995,327.949
-0.366,-6.573,996.573,-359.480,228.848,410.441
-1.726,-7.433,1004.934,-283.412,204.797,417.520
-1.054,-10.030,1005.028,-283.089,218.208,360.763
-4.252,-10.704,996.074,-273.526,378.624,418.000
-3.749,-9.604,997.548,-291.797,277.235,446.831
-3.757,-10.916,999.740,-238.095,268.013,470.211
-3.136,-8.738,997.357,-207.431,375.431,398.662
-1.269,-10.223,996.928,-206.120,336.890,388.604
-0.673,-8.255,998.907,-222.962,228.318,435.066
-2.696,-10.381,1004.368,-346.361,127.651,410.035
-2.331,-9.394,991.160,-360.758,257.056,427.577
-2.074,-8.575,997.908,-312.100,242.083,413.650
0.075,-9.492,1003.569,-282.282,237.779,425.833
-2.128,-9.443,1005.881,-225.743,347.149,413.882
0.064,-7.701,993.889,-212.513,233.658,427.639
-3.270,-7.459,1000.842,-262.740,260.725,405.007
-0.813,-8.174,1003.379,-241.072,223.253,363.414
-3.658,-5.518,1000.776,-349.359,294.574,430.022
-3.358,-8.579,999.019,-225.615,240.855,413.132
-1.353,-9.443,997.354,-207.688,199.440,428.125
-2.538,-8.874,1000.437,-263.321,267.964,361.785
-0.775,-8.519,993.265,-287.353,284.467,344.518
-3.186,-6.808,997.658,-279.417,190.665,361.792
0.619,-8.993,1000.900,-387.036,142.284,427.928
4.220,-4.234,1002.091,-391.428,127.277,414.129
-1.077,-11.617,994.125,-370.089,221.088,425.721
-6.130,-8.576,1003.287,-453.501,300.274,413.617
-0.453,-8.496,1003.525,-269.313,265.609,427.611
1.767,-11.829,997.997,-248.112,294.050,409.759
2.649,-9.553,994.794,-307.265,255.575,435.770
1.305,-11.210,1000.659,-232.805,209.164,379.305
-0.671,-9.843,1002.605,-251.294,206.280,387.409
-2.054,-5.016,998.215,-239.821,245.972,385.170
-6.507,-5.611,999.749,-297.880,451.354,334.686
-2.707,-8.052,1001.262,-265.517,444.278,425.555
-3.057,-11.941,1004.585,-219.764,312.787,493.078
-0.606,-10.474,1000.033,-297.839,317.544,471.459
-0.712,-11.340,995.605,-230.050,295.421,408.559
-2.817,-9.286,998.662,-292.434,179.903,426.591
-3.515,-11.330,999.706,-277.599,320.170,416.806
-0.095,-6.663,995.753,-61.822,361.327,364.902
-5.443,-12.954,1000.471,-291.172,265.094,343.164
-0.153,-6.738,1004.930,-266.087,212.660,451.959
0.874,-5.036,1000.427,-296.771,217.859,467.574
0.469,-6.432,998.851,-236.012,327.270,404.514
-1.506,-7.732,995.781,-204.549,70.321,472.077
-5.800,-9.994,1002.496,-263.298,141.508,445.232
-2.073,-9.849,995.757,-286.597,371.370,398.710
-2.917,-8.632,1001.663,-110.281,323.453,374.584
-3.585,-9.061,1003.322,-95.483,294.353,396.146
1.578,-10.317,1006.136,-139.564,394.801,368.511
-3.729,-9.945,996.524,-176.297,359.352,441.655
0.987,-7.744,997.061,-265.347,150.886,358.482
3.421,-11.693,1000.951,-345.473,199.270,351.742
-1.583,-9.255,1000.656,-272.211,149.537,416.871
0.252,-8.465,1000.045,-218.170,214.771,422.409
-2.757,-8.037,1000.959,-295.403,207.764,417.589
-1.379,-6.092,1008.420,-264.670,208.185,422.397
-1.320,-10.446,996.506,-335.416,250.841,417.543
-2.752,-12.294,995.355,-299.532,294.900,422.264
1.061,-11.159,1004.303,-271.801,265.588,479.151
1.546,-5.572,1000.199,-366.817,299.551,414.809
-1.542,-12.272,998.051,-314.537,228.276,332.284
-0.686,-11.174,1002.744,-311.858,150.085,389.125
