acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
1004.792,-9.76,1.464,-210.0,210.0,420.0
1001.864,-12.2,-3.416,-140.0,350.0,420.0
999.424,-7.808,-0.488,-280.0,280.0,420.0
998.448,-7.32,-3.904,-210.0,210.0,420.0
1001.376,-7.32,-3.416,-140.0,350.0,420.0
1004.304,-10.736,-0.976,-210.0,280.0,420.0
1000.4,-8.784,-4.392,-350.0,280.0,420.0
996.496,-3.416,1.464,-280.0,210.0,420.0
996.984,-10.736,-2.44,-280.0,280.0,420.0
1000.4,-10.736,-5.856,-210.0,140.0,490.0
1001.864,-5.856,-2.44,-280.0,210.0,490.0
1000.4,-4.88,0.488,-280.0,140.0,350.0
996.496,-7.808,-1.464,-140.0,210.0,420.0
1002.84,-11.224,-0.0,-210.0,210.0,490.0
1002.352,-6.832,-0.0,-350.0,210.0,280.0
1000.888,-8.784,-2.928,-420.0,210.0,280.0
997.96,-9.272,0.976,-280.0,280.0,280.0
1003.328,-4.392,-3.904,-280.0,280.0,490.0
1004.792,-8.296,2.928,-210.0,350.0,420.0
999.424,-8.784,-2.44,-280.0,280.0,420.0
996.008,-6.832,-1.464,-350.0,280.0,280.0
998.448,-5.856,-0.976,-350.0,210.0,490.0
1004.792,-8.784,-1.464,-280.0,210.0,350.0
1006.256,-8.296,-0.976,-280.0,210.0,420.0
996.984,-12.688,-3.904,-280.0,350.0,350.0
996.008,-7.808,-3.904,-280.0,350.0,490.0
999.912,-12.2,-3.904,-280.0,210.0,420.0
998.448,-8.784,-3.416,-210.0,350.0,490.0
997.472,-9.76,-2.928,-210.0,350.0,350.0
996.984,-9.76,-0.976,-210.0,350.0,420.0
998.448,-8.296,-0.488,-210.0,210.0,420.0
1005.768,-10.248,-2.928,-350.0,140.0,420.0
993.08,-9.76,-1.952,-350.0,210.0,420.0
994.056,-8.784,-2.928,-350.0,280.0,420.0
1000.888,-8.784,-0.488,-280.0,210.0,420.0
1005.768,-9.76,-0.488,-280.0,280.0,420.0
1003.816,-9.272,-2.44,-210.0,350.0,420.0
994.056,-7.32,0.976,-210.0,210.0,420.0
