# STEVAL-MKI234KA (LSM6DSV16BX)

time[us],acc_x[mg],acc_y[mg],acc_z[mg]
60059874,-7.442,54.473,1088.91
60092584,-5.307,55.083,1088.12
60125292,-5.673,53.924,1089.03
60157999,-6.222,52.826,1089.15
60190705,-5.856,52.521,1087.93
60223412,-6.1,55.205,1088.24
60256129,-7.625,55.571,1089.89
60288789,-6.405,54.534,1087.75
60321496,-6.283,56.181,1088.36
60354204,-6.832,55.571,1089.58
60386911,-5.49,52.826,1088
60419620,-6.771,53.009,1088.85
60452327,-3.965,53.192,1089.09
60485039,-6.71,53.985,1087.81
60517747,-6.405,54.778,1089.58
60550455,-7.076,54.961,1089.95
60583113,-6.344,54.534,1088.42
60615821,-6.039,54.351,1088.85
60648531,-5.551,54.656,1089.34
60681239,-6.405,54.168,1088
60713949,-6.222,53.924,1088.97
60746656,-6.283,53.741,1089.22
60779365,-6.832,55.022,1088.06
60812072,-7.32,54.412,1089.28
60844780,-4.88,52.826,1088.79
60877441,-5.734,53.924,1088.36
60910186,-6.771,55.449,1089.83
60942844,-5.978,52.826,1088.42
60975552,-6.039,54.046,1088.24
61008258,-7.686,56.425,1089.64
61040965,-6.039,53.68,1087.75
61073673,-5.978,54.107,1088.73
61106381,-7.198,54.656,1089.95
61139091,-6.222,52.338,1088.12
61171801,-5.917,54.168,1089.83
61204509,-7.747,53.741,1088.61
61237216,-5.185,52.216,1089.58
61269873,-4.575,52.948,1088.79
61302618,-5.673,53.436,1087.87
61335325,-6.222,51.789,1087.2
61367984,-6.832,51.789,1088.18
61400694,-5.307,51.606,1090.31
61433402,-5.49,54.473,1087.51
61466109,-6.161,54.839,1088.36
61498816,-5.978,50.874,1088.85
61531524,-6.649,51.789,1088.91
61564231,-5.856,52.521,1088.18
61596940,-5.185,52.582,1088.91
61629650,-6.161,52.643,1087.39
61662358,-6.649,54.717,1090.68
61695031,-5.551,52.46,1087.75
61727738,-5.917,53.497,1088.61
61760446,-6.649,53.863,1089.34
61793142,-5.49,50.691,1089.4
61825849,-5.551,51.606,1089.09
61858557,-5.551,54.046,1089.28
61891264,-6.039,53.375,1088.12
61923971,-6.71,53.253,1089.77
61956629,-6.344,53.619,1087.08
61989374,-5.978,54.168,1089.7
62022085,-4.209,50.996,1089.46
62054743,-5.185,50.691,1087.39
62087451,-5.978,54.595,1089.83
62120159,-5.856,51.972,1089.89
62152871,-5.49,52.948,1087.57
62185579,-7.015,55.632,1089.46
62218289,-5.856,53.009,1089.03
62251012,-5.002,51.728,1089.15
62283671,-5.978,53.375,1087.75
62316380,-5.063,52.643,1090.25
62349088,-4.209,49.593,1088.91
62381794,-6.527,53.802,1088.48
62414502,-5.734,54.839,1089.28
62447209,-5.734,52.399,1088.3
62479917,-6.405,53.985,1088.73
62512578,-6.1,53.436,1088.97
62545285,-5.063,52.521,1088.73
62577994,-6.1,53.558,1088.36
62610701,-7.076,53.131,1093.06
62643412,-4.209,51.362,1084.52
62676140,-5.551,53.558,1090.38
62708801,-6.161,52.155,1087.51
62741512,-5.429,52.155,1090.01
62774222,-4.514,54.046,1088.67
62806932,-5.917,52.582,1087.93
62839643,-5.185,52.643,1089.4
62872303,-5.551,54.778,1087.51
62905015,-5.978,52.704,1089.34
62937711,-5.856,52.094,1088.3
62970421,-4.88,55.815,1088.18
63003139,-4.88,53.314,1089.34
63035850,-6.161,51.24,1088.91
63068563,-6.222,55.388,1087.63
63101226,-5.673,53.558,1089.52
63133940,-4.514,50.142,1088.06
63166648,-5.917,54.351,1088.91
63199355,-5.429,53.009,1089.03
63232076,-5.246,52.338,1088.36
63264738,-5.734,54.29,1088.55
63297447,-6.405,54.534,1088.48
